b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HRM-500","Human Resource Strategy","MC","2.0 units","Lecture","13800D","988","5:30-6:30pm","Thursday","40","0","0","Robert Ostrov,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13801D","988","5:30-6:30pm","Thursday","40","0","0","Christine Hernandez,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13802D","988","5:30-6:30pm","Thursday","40","0","0","<a href="http://bovardcollege.usc.edu/hr/faculty/wanda-cumberlander/">Wanda Cumberlander,</a>Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13803D","988","5:30-6:30pm","Thursday","40","0","0","Roberto Blain","ONLINE"
"","","","","Lecture","13807D","988","5:30-6:30pm","Tuesday","40","0","0","Carlos Adame,<br />Sara Matin,<br />Karena Ward","ONLINE"
"HRM-505","Organizational Culture and Employee Outcomes","MC","2.0 units","Lecture","13804D","988","6:30-7:30pm","Wednesday","40","0","0","<a href="https://www.marshall.usc.edu/personnel/michael-mcgrath">Michael McGrath,</a>Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13805D","981","5:30-6:30pm","Wednesday","40","0","0","Robin Elledge,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13806D","988","6:30-7:30pm","Wednesday","40","0","0","Jamie Jacobs,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13816D","981","5:30-6:30pm","Tuesday","40","0","0","Ella Washington,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13817D","981","5:30-6:30pm","Wednesday","40","0","0","Douglas Bender","ONLINE"
"HRM-510","Leadership in Human Resources","MC","2.0 units","Lecture","13808D","988","5:30-6:30pm","Wednesday","40","0","0","Keith Earley,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13809D","981","6:30-7:30pm","Wednesday","40","0","0","Susan Berg,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13810D","981","5:30-6:30pm","Thursday","40","0","0","Keith Earley,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13811D","988","5:30-6:30pm","Wednesday","40","0","0","Robert Turner,<br />Sara Matin,<br />Karena Ward","ONLINE"
"HRM-520","Talent Management","MC","2.0 units","Lecture","13822D","988","6:30-7:30pm","Thursday","40","0","0","Ed Johnson","ONLINE"
