b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IML-104","Introduction to Digital Studies","","2.0 units","Lecture-Lab","37402R","001","10:00-11:50am","Thursday","20","4","0","Jeanne Jo","SCI L105"
"IML-140","Workshop in Multimedia Authoring","","2.0 units"
"","Short Form Video Storytelling for the Web","","2.0","Lecture-Lab","37405R","001","4:00-5:50pm","Thursday","20","3","0","Jeanne Jo","SCI L105"
"IML-201","The Languages of Digital Media","","4.0 units","Lecture-Lab","37410D","001","1:00-3:50pm","Tuesday","20","0","0","Gabriel Peters-Lazaro","SCI L105"
"IML-202","Media Arts and Practice Studio I","PM","4.0 units","Lecture-Lab","37412D","001","1:00-3:50pm","Wednesday","30","0","0","<a href="https://cinema.usc.edu/directories/profile.cfm?id=30297&first=&last=&title=&did=63&referer=%2Fiml%2Ffaculty.cfm&startpage=1&startrow=1">Gabriel Peters-Lazaro,</a><a href="http://map.usc.edu/evanhughes">Evan Hughes</a>","SCI L106"
"IML-230","Fundamentals of Media Design","","4.0 units","Lecture-Lab","37414D","001","10:00-12:50pm","Monday","20","3","0","Evan Hughes","SCI L104"
"IML-288","Critical Thinking and Procedural Media","","4.0 units","Lecture-Lab","37415D","001","4:00-6:50pm","Monday","20","2","0","John Carpenter","SCI L105"
"IML-295Lm","Race, Class and Gender in Digital Culture","","4.0 units","Lecture-Lab","37416D","001","1:00-3:50pm","Thursday","20","1","0","Kiki Benzon","SCI207"
"IML-300","Reading and Writing the Web","","4.0 units","Lecture-Lab","37420D","001","6:00-8:50pm","Thursday","20","2","0","Eric Fanghanel Santibanez","SCI L105"
"IML-310","Professionalism for Media Arts","P","2.0 units","Lecture-Lab","37422D","001","10:00-11:50am","Wednesday","20","5","0","Ashley York","SCI209"
"IML-320","Designing and Writing for Transmedia Narratives","","4.0 units","Lecture-Lab","37423R","001","1:00-3:50pm","Tuesday","20","10","0","Vicki Callahan","SCI207"
"IML-328","Sonic Media Art","","2.0 units","Lecture-Lab","37424D","001","2:00-4:50pm","Monday","20","6","0","Evan Hughes","SCI L104"
"IML-335","Digital Narrative Design I","","2.0 units","Lecture-Lab","37425D","001","4:00-6:50pm","Wednesday","20","4","0","Ashley York","SCI L105"
"IML-340","Remixing the Archive","","4.0 units, max 8","Lecture-Lab","37426R","001","10:00-12:50pm","Thursday","20","12","0","Virginia Kuhn",""
"IML-346","Methods in Digital Research","PC","2.0 units","Lecture-Lab","37427D","001","4:00-5:50pm","Thursday","20","12","0","David Johnson","SCI L106"
"IML-354","Introduction to 3-D Modeling","","2.0 units","Lecture-Lab","37428D","001","10:00-12:50pm","Friday","20","3","0","Silvia Rigon","SCI L104"
"IML-365","Future Cinema","","4.0 units","Lecture","37429R","001","10:00-12:50pm","Wednesday","20","5","0","Gabriel Peters-Lazaro","SCI207"
"IML-422","Information Visualization","","4.0 units","Lecture-Lab","37439R","001","10:00-12:50pm","Monday","20","4","0","Kristin McWharter","SCI L105"
"IML-428","Exploring and Creating Sonic Environments","P","4.0 units","Lecture-Lab","37440R","001","1:00-3:50pm","Friday","20","2","0","Alberto Ortega","SCI L104"
"IML-430","Visual Communication and Experience Design","P","4.0 units","Lecture-Lab","37441R","001","10:00-12:50pm","Thursday","20","8","0","Catherine Bell",""
"IML-435","Digital Narrative Design II","P","4.0 units","Lecture-Lab","37442R","001","10:00-12:50pm","Tuesday","20","2","0","Michael Bodie","SCI L105"
"IML-441","Thesis Project I","PM","2.0 units","Lecture-Lab","37445D","001","4:00-5:50pm","Tuesday","15","8","0","Elizabeth Ramsey","SCI L106"
"","","","","Lecture-Lab","37446D","001","4:00-5:50pm","Tuesday","15","15","0","David Johnson","SCI L105"
"IML-458","The Embedded Story: Designing Digital Landscapes and Languages","","2.0 units","Lecture-Lab","37450R","001","10:00-12:50pm","Wednesday","15","1","0","Pablo Frasconi","SCI L105"
"IML-466","Digital Studies Symposium","","2.0 units","Lecture-Lab","37451D","001","6:00-8:50pm","Tuesday","30","19","0","Holly Willis","SCI207"
"IML-475","Media Arts Research Lab","","2.0-4.0 units, max 8"
"","IMAX: The Art and Practice of Giant Screen Cinema","","2.0","Lecture-Lab","37452R","001","7:00-8:50pm","Monday","30","9","0","Matthew Scott","RZC119"
