b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INTD-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","0","0","<a href="http://uscmmi.com/josephlandolphlab/">Joseph Landolph,</a>David Cobrinik",""
"INTD-522","Infection and Host Responses","","4.0 units","Lecture","40653D","046","9:00-10:50am","Tue, Thu","100","0","0","Jie Li",""
"INTD-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"INTD-550","Introduction to Pathology","","4.0 units","Lecture","40661D","046","11:00-12:50pm","Tue, Thu","25","0","0","Louis Dubeau","OFFICE"
"INTD-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"INTD-572","Medical Physiology I","C","4.0 units","Lecture","40673D","046","1:00-2:50pm","Mon, Thu","46","0","0","Robert Farley",""
"INTD-574","Medical Biology Seminar","C","1.0 units, max 16","Lecture","40671D","046","11:00-11:50am","Monday","35","0","0","W Kast","OFFICE"
"INTD-600","Student Research Presentation","C","1.0 units, max 12","Lecture","40667D","046","12:00-12:50pm","Friday","75","0","0","Young-Kwon Hong",""
"INTD-622","Pre-clinical System Block for Health, Technology &amp; Engineeri","M","4.0-9.0 units","Lecture","40652D","001","8:00-12:00pm","MTuWThF","12","0","0","",""
"INTD-630","Viral Oncology","","2.0 units","Lecture","40658D","046","9:00-10:50am","Wednesday","25","0","0","Suraiya Rasheed",""
"INTD-790","Research","C","1.0-12.0 units","Lecture","40675D","046","9:00-9:50am","Wednesday","40","0","0","Ite Offringa","OFFICE"
'
