b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IR-101xgw","International Relations","","4.0 units","Lecture","37710R","001","3:30-4:50pm","Tue, Thu","20","20","0","Wayne Sandholtz","THH201"
"","","","","Discussion","37711R","001","1:00-1:50pm","Monday","25","2","0","","VKC154"
"","","","","Discussion","37712R","001","10:00-10:50am","Monday","25","10","0","","VKC155"
"","","","","Discussion","37713R","001","10:00-10:50am","Friday","25","4","0","","VKC154"
"","","","","Discussion","37714R","001","10:00-10:50am","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","37715R","001","1:00-1:50pm","Wednesday","25","2","0","","VKC109"
"","","","","Discussion","37716R","001","1:00-1:50pm","Friday","25","2","0","","VKC158"
"IR-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","2:00-3:20pm","Tue, Thu","75","51","0","Robert English","THH208"
"","","","","Lecture","33006R","001","11:00-12:20pm","Tue, Thu","75","3","0","Douglas Becker","SOS B46"
"","","","","Discussion","33007R","001","4:00-4:50pm","Thursday","25","5","0","","VKC157"
"","","","","Discussion","33008R","001","5:00-5:50pm","Thursday","25","1","0","","VKC155"
"","","","","Discussion","33009R","001","4:00-4:50pm","Tuesday","25","25","0","","VKC154"
"","","","","Discussion","33010R","001","5:00-5:50pm","Tuesday","25","5","0","","VKC154"
"","","","","Discussion","33011R","001","4:00-4:50pm","Wednesday","25","15","0","","VKC155"
"","","","","Discussion","33012R","001","5:00-5:50pm","Wednesday","25","3","0","","VKC155"
"IR-210gw","International Relations: Introductory Analysis","","4.0 units","Lecture","37720D","001","12:00-1:50pm","Mon, Wed","50","12","0","Brian Rathbun","THH201"
"","","","","Discussion","37721R","001","1:00-1:50pm","Friday","25","5","0","","VKC154"
"","","","","Discussion","37722R","001","11:00-11:50am","Monday","25","0","0","","VKC154"
"","","","","Discussion","37723R","001","9:00-9:50am","Tuesday","30","2","0","","THH110"
"","","","","Discussion","37724R","001","1:00-1:50pm","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","37725R","001","9:00-9:50am","Wednesday","25","3","0","","VKC154"
"","","","","Discussion","37726R","001","9:00-9:50am","Friday","25","1","0","","VKC154"
"","","","","Discussion","37727R","001","11:00-11:50am","Wednesday","25","1","0","","VKC154"
"","","","","Discussion","37728R","001","11:00-11:50am","Friday","25","0","0","","VKC154"
"IR-211g","International Relations: Approaches to Research","","4.0 units","Lecture","37733R","001","11:00-11:50am","MWF","100","11","0","Megan Becker","WPHB27"
"","","","","Discussion","37734R","001","1:00-1:50pm","Friday","25","1","0","","VKC157"
"","","","","Discussion","37735R","001","1:00-1:50pm","Tuesday","25","4","0","","THH217"
"","","","","Discussion","37736R","001","9:00-9:50am","Wednesday","25","3","0","","VKC157"
"","","","","Discussion","37737R","001","12:00-12:50pm","Friday","25","3","0","","VKC154"
"IR-212","Historical Approaches to International Relations","","4.0 units","Lecture","37740R","001","12:30-1:50pm","Tue, Thu","100","6","0","Jacques Hymans","WPH B27"
"","","","","Discussion","37741R","001","12:00-12:50pm","Monday","25","1","0","","VKC154"
"","","","","Discussion","37742R","001","10:00-10:50am","Wednesday","25","2","0","","VKC157"
"","","","","Discussion","37743R","001","12:00-12:50pm","Wednesday","25","3","0","","VKC154"
"","","","","Discussion","37744R","001","10:00-10:50am","Friday","25","0","0","","VKC157"
"IR-213","The Global Economy","","4.0 units","Lecture","37747R","001","9:30-10:50am","Tue, Thu","100","14","0","Iva Bozovic","WPHB27"
"","","","","Discussion","37748R","001","1:00-1:50pm","Wednesday","25","8","0","","VKC157"
"","","","","Discussion","37749R","001","1:00-1:50pm","Monday","25","2","0","","VKC157"
"","","","","Discussion","37750R","001","9:00-9:50am","Friday","25","1","0","","VKC157"
"","","","","Discussion","37751R","001","10:00-10:50am","Friday","25","3","0","","VKC158"
"IR-303","Leadership and Diplomacy","","4.0 units","Lecture","37758R","001","9:30-10:50am","Tue, Thu","48","5","0","Jeffrey Fields","WPH B28"
"IR-304","National Intelligence and the Shaping of Policy","","4.0 units","Lecture","37765R","001","3:30-4:50pm","Mon, Wed","48","47","0","Gregory Treverton","VKC156"
"IR-308w","Economic Globalization","","4.0 units","Lecture","37787R","001","11:00-12:20pm","Tue, Thu","48","47","0","Nina Rathbun","VKC102"
