b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ISE-105","Introduction to Industrial and Systems Engineering","","2.0 units","Lecture","31600R","001","10:00-11:50am","Friday","50","0","0","","KAP146"
"ISE-220","Probability Concepts in Engineering","P","3.0 units","Lecture","31601D","001","9:30-10:50am","Tue, Thu","20","3","0","","KAP148"
"","","","","Lecture","31638D","001","9:30-10:50am","Tue, Thu","25","9","0","","GFS223"
"ISE-225","Engineering Statistics I","P","3.0 units","Lecture","31602D","001","12:30-1:50pm","Tue, Thu","38","24","0","","VHE217"
"ISE-315L","Engineering Project Management","P","3.0 units","Lecture-Lab","31683D","001","11:00-12:20pm","Tue, Thu","40","21","0","","VHE217"
"ISE-327","Six Sigma and Lean Operations","P","3.0 units","Lecture","31681D","001","3:30-4:50pm","Tue, Thu","30","12","0","","KAP140"
"ISE-330","Introduction to Operations Research: Deterministic Models","P","3.0 units","Lecture","31605D","001","3:30-4:50pm","Mon, Wed","30","7","0","","KAP147"
"","","","","Lecture","31609D","001","11:00-12:20pm","Tue, Thu","25","20","0","","KAP148"
"ISE-331","Introduction to Operations Research: Stochastic Models","P","3.0 units","Lecture","31606D","001","11:00-12:20pm","Tue, Thu","45","21","0","","KAP145"
"ISE-335L","Supply Chain Design","P","3.0 units","Lecture","31646D","001","3:30-4:50pm","Tue, Thu","35","16","0","","KAP147"
"","","","","Lab","31644R","001","12:00-12:50pm","Wednesday","30","16","0","","SAL126"
"ISE-370L","Human Factors in Work Design","","4.0 units","Lecture","31607D","001","2:00-3:20pm","Tue, Thu","35","15","0","","KAP147"
"","","","","Lab","31637R","001","4:00-6:20pm","Wednesday","30","15","0","","SAL127"
"ISE-375L","Facilities Design","P","3.0 units","Lecture","31527D","001","12:00-1:50pm","Mon, Wed","35","14","0","","KAP145"
"","","","","Lab","31572R","001","2:00-2:50pm","Wednesday","30","14","0","","SAL126"
"ISE-382","Database Systems: Concepts, Design and Implementation","","4.0 units","Lecture","31628D","001","10:00-11:50am","Mon, Wed","40","19","0","","KAP156"
