b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITAL-012x","Italian 120 Language Practicum","","1.0 unit","Lecture","34412D","716","TBA","TBA","12","0","0","Antonio Idini","OFFICE"
"ITAL-015x","Italian 150 Language Practicum","","1.0 unit","Lecture","34425D","716","TBA","TBA","12","0","0","Antonio Idini","OFFICE"
"ITAL-020x","Course in Reading Italian","","2.0 units","Lecture","34400D","001","6:00-7:40pm","Wednesday","12","3","0","Antonio Idini","THH113"
"ITAL-120","Italian I","","4.0 units","Lecture","34403D","001","10:00-10:50am","MTuWTh","19","2","0","James Fortney","VKC111"
"","","","","Lecture","34404D","001","11:00-11:50am","MTuWTh","19","0","0","Alessio Filippi","VKC111"
"","","","","Lecture","34405D","001","1:00-1:50pm","MTuWTh","19","3","0","Alessio Filippi","VKC111"
"","","","","Lecture","34406D","001","2:00-2:50pm","MTuWTh","19","0","0","Francesca Leardini","VKC111"
"ITAL-150","Italian II","P","4.0 units","Lecture","34418R","001","10:00-10:50am","TuWThF","19","4","0","Antonio Idini","VKC108"
"","","","","Lecture","34420R","001","11:00-11:50am","TuWThF","19","6","0","Antonio Idini","THH106"
"ITAL-220","Italian III","P","4.0 units","Lecture","34427R","001","11:00-11:50am","MTuWTh","19","11","0","Francesca Italiano","VKC108"
"","","","","Lecture","34429R","001","1:00-1:50pm","MTuWTh","19","5","0","Francesca Italiano","VKC108"
"","","","","Lecture","34430R","001","2:00-2:50pm","MTuWTh","19","2","0","Francesca Italiano","VKC109"
"ITAL-224","Italian Composition and Conversation","","4.0 units","Lecture","34435R","001","4:00-5:50pm","Tue, Thu","16","1","0","Francesca Leardini","VKC111"
"ITAL-320","Critical Writing in Italian","P","4.0 units","Lecture","34437R","001","12:00-1:20pm","Tue, Thu","12","0","0","Jonathan Mullins",""
"ITAL-340g","Italian and French Cinema and Society","","4.0 units","Lecture","34438R","001","2:00-3:20pm","Wed, Fri","48","6","0","Gian-Maria Annovi","THH208"
"","","","","Discussion","34439R","001","12:00-12:50pm","Friday","24","1","0","","VKC105"
"","","","","Discussion","34440R","001","1:00-1:50pm","Friday","24","5","0","","VKC105"
"ITAL-350g","Gender and Sexuality in Renaissance Italy","","4.0 units","Lecture","34441R","001","2:00-3:20pm","Tue, Thu","48","5","0","Margaret Rosenthal","SOSB44"
"","","","","Discussion","34442R","001","11:00-11:50am","Friday","25","1","0","","WPH201"
"","","","","Discussion","34443R","001","12:00-12:50pm","Friday","24","4","0","","WPH201"
"ITAL-403","Studies in Colonialism and Postcolonialism","P","4.0 units, max 8","Lecture","34444R","001","10:00-11:50am","Wed, Fri","16","4","0","Gian-Maria Annovi","THH209"
"ITAL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34450D","001","TBA","TBA","1","0","0","","OFFICE"
"ITAL-590","Directed Research","","1.0-12.0 units","Lecture","34455D","001","TBA","TBA","2","0","0","","OFFICE"
'
