b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITP-101","Introduction to Business Information Technologies","","2.0 units","Lecture","31801R","001","12:30-1:50pm","Tue, Thu","37","2","0","Lance Winkel","OHE540"
"","","","","Lecture","32001R","001","2:00-3:20pm","Mon, Wed","37","9","0","Tom Sloper","OHE540"
"","","","","Lab","31808R","001","10:00-10:50am","Friday","40","4","0","","KAP163"
"","","","","Lab","31810R","001","11:00-11:50am","Friday","40","5","0","","KAP163"
"","","","","Lab","31813R","001","4:00-4:50pm","Friday","40","2","0","","KAP163"
"ITP-104L","Web Publishing","","2.0 units","Lecture-Lab","31809R","001","5:00-7:50pm","Monday","53","8","0","Bo Wang","LVL17"
"","","","","Lecture-Lab","32034R","001","11:00-12:20pm","Tue, Thu","61","21","0","Zune Nguyen","SOS B44"
"ITP-115","Programming in Python","","2.0 units","Lecture-Lab","31825R","001","3:30-4:50pm","Tue, Thu","65","34","0","Nathan Greenfield","VPD105"
"","","","","Lecture-Lab","31826R","001","3:30-4:50pm","Mon, Wed","69","42","0","Barrett Koster","THH210"
"","","","","Lecture-Lab","31828R","001","12:30-1:50pm","Tue, Thu","60","60","0","Robert Parke","KAP160"
"","","","","Lecture-Lab","32023R","001","11:00-12:20pm","Tue, Thu","60","60","0","Robert Parke","KAP160"
"","","","","Lecture-Lab","32089R","001","10:00-11:20am","Mon, Wed","60","60","0","Trina Gregory","KAP160"
"ITP-125L","From Hackers to CEOs: Introduction to Information Security","","2.0 units","Lecture","31803R","001","6:00-7:20pm","Thursday","27","6","0","Stefan McGregor","OHE406"
"","","","","Lab","31804R","001","7:30-8:50pm","Thursday","27","6","0","","OHE406"
"","","","","Lecture","31838R","001","6:00-7:20pm","Tuesday","27","5","0","Joseph Greenfield","OHE406"
"","","","","Lab","31839R","001","7:30-8:50pm","Tuesday","27","5","0","","OHE406"
"","","","","Lecture","31840R","001","9:00-10:20am","Wednesday","27","11","0","Joseph Greenfield","OHE406"
"","","","","Lab","31841R","001","10:30-11:50am","Wednesday","27","11","0","","OHE406"
"","","","","Lecture","31833R","001","2:00-3:20pm","Wednesday","27","13","0","Joseph Greenfield","OHE406"
"","","","","Lab","31834R","001","3:30-4:50pm","Wednesday","27","13","0","","OHE406"
"","","","","Lecture","31836R","001","6:00-7:20pm","Monday","27","6","0","John Furay","OHE406"
"","","","","Lab","31837R","001","7:30-8:50pm","Monday","27","6","0","","OHE406"
"ITP-165","Introduction to C++ Programming","","2.0 units","Lecture-Lab","31891R","001","11:00-12:20pm","Tue, Thu","57","11","0","Barrett Koster","THH114"
"ITP-168","Introduction to MATLAB","","2.0 units","Lecture-Lab","31821R","001","11:00-12:20pm","Tue, Thu","45","9","0","Raymond Kim","LVL16"
"","","","","Lecture-Lab","32058R","001","5:00-7:50pm","Tuesday","57","6","0","Raymond Kim","GFS101"
"ITP-190","Tools for Digital Graphics","","2.0 units","Lecture-Lab","31800R","001","5:00-7:50pm","Monday","27","6","0","Lance Winkel","SAL109"
"","","","","Lecture-Lab","31885R","001","3:30-6:20pm","Monday","27","11","0","Chander Burgos","SAL126"
"ITP-211","Power-Tools for Visual Communication","","2.0 units","Lecture-Lab","32016R","001","3:30-4:50pm","Mon, Wed","16","3","0","Larry Jordan","OHE542"
"ITP-215L","Introduction to 3D Modeling, Animation, and Visual Effects","","2.0 units","Lecture-Lab","31869R","001","10:00-11:50am","Tue, Thu","25","8","0","Lance Winkel","KAP107"
"ITP-228","Computer-Aided Modeling for 3D Product Design","","2.0 units","Lecture-Lab","31815R","001","2:00-3:20pm","Tue, Thu","25","5","0","Raymond Kim","KAP166"
"ITP-250","Database Systems for Analytics","M","2.0 units","Lecture-Lab","31827R","001","3:30-6:50pm","Tuesday","57","18","0","Calvin Nguyen","GFS118"
"","","","","Lecture-Lab","31830R","001","2:00-3:50pm","Mon, Wed","60","31","0","Nitin Kal\xc3\x83\xc2\xa9","KAP160"
"","","","","Lecture-Lab","32068R","001","5:00-8:20pm","Monday","57","28","0","Nazam Nageer","GFS101"
"","","","","Lecture-Lab","32081R","001","5:00-8:20pm","Wednesday","65","7","0","Eric Coe","LVL17"
"ITP-256","Blockchain","","4.0 units","Lecture","31824R","001","5:00-6:50pm","Mon, Wed","41","2","0","Chaz Hales","GFS207"
"ITP-265","Object-Oriented Programming","P","4.0 units","Lecture","31848R","001","10:00-11:50am","Mon, Wed","36","10","0","Kendra Walther","OHE540"
"","","","","Lecture","31849R","001","2:00-3:50pm","Tue, Thu","41","13","0","Kendra Walther","KAP163"
"","","","","Lecture","31850R","001","10:00-11:50am","Tue, Thu","37","8","0","Nathan Greenfield","KAP144"
"ITP-280","Video Game Production","","4.0 units","Lecture","31846R","001","5:00-8:50pm","Wednesday","19","2","0","Tom Sloper","OHE542"
"","","","","Lab","31852R","001","1:00-2:50pm","Friday","17","1","0","","OHE542"
