b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JOUR-200w","The Power and Responsibility of the Press","","4.0 units","Lecture","21000R","001","11:00-12:20pm","Tue, Thu","100","13","0","Geoffrey Cowan","ASC G26"
"JOUR-201","Culture of Journalism: Past, Present and Future","","4.0 units","Lecture-Lab","21012R","001","12:00-1:50pm","Tue, Thu","64","9","0","William Celis","ANN L101"
"JOUR-205","Journalism Practicum","","1.0-2.0 units, max 4","Lecture","21040D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture","21041D","166","TBA","TBA","15","0","0","","OFFICE"
"JOUR-206","Reporting and Writing Practicum","M","1.0 units, max 2","Lecture","21001R","001","8:00-11:50am","Monday","4","1","0","","ANN102"
"","","","","Lecture","21002R","001","8:00-11:50am","Monday","4","1","0","","ANN102"
"","","","","Lecture","21003R","001","11:00-2:50pm","Monday","4","2","0","","ANN102"
"","","","","Lecture","21004R","001","11:00-2:50pm","Monday","4","1","0","","ANN102"
"","","","","Lecture","21005R","001","2:00-5:50pm","Monday","4","0","0","","ANN102"
"","","","","Lecture","21006R","001","2:00-5:50pm","Monday","4","0","0","","ANN102"
"","","","","Lecture","21007R","001","8:00-11:50am","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21008R","001","8:00-11:50am","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21009R","001","11:00-2:50pm","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21010R","001","11:00-2:50pm","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21011R","001","2:00-5:50pm","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21013R","001","2:00-5:50pm","Tuesday","4","0","0","","ANN102"
"","","","","Lecture","21014R","001","8:00-11:50am","Wednesday","4","1","0","","ANN102"
"","","","","Lecture","21015R","001","8:00-11:50am","Wednesday","4","0","0","","ANN102"
"","","","","Lecture","21016R","001","11:00-2:50pm","Wednesday","4","1","0","","ANN102"
"","","","","Lecture","21017R","001","11:00-2:50pm","Wednesday","4","1","0","","ANN102"
"","","","","Lecture","21018R","001","2:00-5:50pm","Wednesday","4","0","0","","ANN102"
"","","","","Lecture","21019R","001","2:00-5:50pm","Wednesday","4","1","0","","ANN102"
"","","","","Lecture","21020R","001","8:00-11:50am","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21021R","001","8:00-11:50am","Thursday","4","1","0","","ANN102"
"","","","","Lecture","21022R","001","11:00-2:50pm","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21023R","001","11:00-2:50pm","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21024R","001","2:00-5:50pm","Thursday","4","2","0","","ANN102"
"","","","","Lecture","21025R","001","2:00-5:50pm","Thursday","4","1","0","","ANN102"
"JOUR-207","Reporting and Writing I","M","3.0 units","Lecture","21093D","001","9:00-11:30am","Monday","12","1","0","","ANN307"
"","","","","Lecture","21094D","001","9:00-11:30am","Monday","12","0","0","","ANN308"
"","","","","Lecture","21095D","001","2:00-4:30pm","Monday","12","2","0","Alan Mittelstaedt","ANN307"
"","","","","Lecture","21096D","001","2:00-4:30pm","Monday","12","0","0","","ANN308"
"","","","","Lecture","21097D","001","9:00-11:30am","Wednesday","12","1","0","Myra Turner","ANN307"
"","","","","Lecture","21098D","001","9:00-11:30am","Wednesday","12","0","0","Laura Castaneda","ANN308"
"JOUR-210x","Basics of News Production for Non-Majors","M","2.0 units, max 6","Lecture","21080D","001","TBA","TBA","15","0","0","Christina Bellantoni","OFFICE"
"JOUR-307","Reporting and Writing II","PM","3.0 units","Lecture","21100D","001","2:00-4:30pm","Tuesday","15","7","0","","ANN305"
"JOUR-320","Introduction to Coding for Storytelling","PM","2.0 units","Lecture","21164D","001","6:00-8:20pm","Wednesday","15","8","0","","ANN308"
"JOUR-321","Visual Journalism","M","2.0 units","Lecture","21168D","001","4:00-5:40pm","Tuesday","12","1","0","","ANN413"
"","","","","Lecture","21169D","001","2:30-4:10pm","Wednesday","12","0","0","","ANN307"
"","","","","Lecture","21170D","001","4:00-5:40pm","Thursday","12","0","0","","ANN413"
"","","","","Lecture","21171D","001","12:30-2:10pm","Wednesday","12","2","0","Amara Aguilar","ANN413"
"","","","","Lecture","21173D","001","4:00-5:40pm","Tuesday","12","0","0","","ANN307"
"","","","","Lecture","21174D","001","12:00-1:40pm","Tuesday","12","1","0","","ANN307"
"JOUR-322","Data Journalism","P","2.0 units","Lecture","21175D","001","10:00-11:40am","Wednesday","12","12","0","Dana Chinn","ANN408"
"","","","","Lecture","21176D","001","2:00-3:40pm","Wednesday","12","7","0","Dana Chinn","ANN408"
"","","","","Lecture","21177D","001","12:00-1:40pm","Tuesday","12","11","0","Dana Chinn","ANN408"
"","","","","Lecture","21178D","001","6:00-7:40pm","Wednesday","12","8","0","","ANN405"
"JOUR-323","Journalism and the Audience","P","2.0 units","Lecture","21326D","001","10:00-11:40am","Thursday","15","4","0","","ANN307"
"","","","","Lecture","21327D","001","2:00-3:40pm","Tuesday","15","13","0","Robert Hernandez","ANN307"
"","","","","Lecture","21328D","001","2:00-3:40pm","Wednesday","15","10","0","","ANN405"
"","","","","Lecture","21329D","001","9:00-10:40am","Thursday","15","3","0","","ANN308"
"JOUR-330","Photojournalism","","4.0 units","Lecture","21130R","001","9:00-12:20pm","Tuesday","20","11","0","Myra Turner","ANN209"
"JOUR-350","Introduction to Sports Media","","4.0 units","Lecture","21179R","001","10:00-1:20pm","Monday","30","4","0","","ANN L116"
"","","","","Lecture","21180R","001","6:30-9:50pm","Tuesday","33","15","0","Jeffrey Fellenzer","ANN L116"
"JOUR-371","Censorship and the Law: From the Press to Cyberspace","","4.0 units","Lecture","20572R","001","3:30-6:20pm","Tuesday","25","5","0","Michael Overing","ANN309"
"JOUR-372","Engaging Diverse Communities","PM","2.0 units","Lecture-Lab","21105D","001","9:00-10:40am","Tuesday","14","9","0","Laura Castaneda","ANN308"
"","","","","Lecture-Lab","21106D","001","12:00-1:40pm","Monday","14","11","0","Amara Aguilar","ANN308"
"","","","","Lecture-Lab","21107D","001","6:30-8:10pm","Monday","14","7","0","","ANN307"
"","","","","Lecture-Lab","21108D","001","11:00-12:40pm","Tuesday","14","9","0","Allissa Richardson","ANN308"
"JOUR-380","Sports, Business and Media in Today\'s Society","","4.0 units","Lecture","21203R","001","6:30-9:50pm","Wednesday","200","37","0","Jeffrey Fellenzer","ASC G26"
"JOUR-381","Entertainment, Business and Media in Today\'s Society","","4.0 units","Lecture","21224R","001","6:30-9:50pm","Monday","33","13","0","Mary Murphy","ANN L116"
"JOUR-402","Advanced Video Reporting","P","6.0 units","Lecture","21199R","001","6:00-9:20pm","Thursday","15","2","0","Natalie Brunell","ANN406"
"","","","","Lab","21183R","001","10:00-6:00pm","Monday","4","1","0","","ANN102"
"","","","","Lab","21189R","001","10:00-6:00pm","Wednesday","4","0","0","","ANN102"
"","","","","Lab","21196R","001","10:00-6:00pm","Tuesday","4","1","0","","ANN102"
"","","","","Lab","21197R","001","9:30-5:30pm","Thursday","4","0","0","","ANN102"
"JOUR-403","Television News Production","P","6.0 units","Lecture","21232R","001","9:00-12:20pm","Thursday","12","8","0","Stacy Scholder","ANN210"
"","","","","Lab","21191R","001","10:30-6:30pm","Monday","3","3","0","","ANN102"
"","","","","Lab","21193R","001","10:30-6:30pm","Tuesday","3","1","0","","ANN102"
"","","","","Lab","21194R","001","10:30-6:30pm","Wednesday","3","2","0","","ANN102"
"","","","","Lab","21195R","001","12:30-8:30pm","Thursday","3","2","0","","ANN102"
"JOUR-404","Produce and Host Sports Content in Studio A","","2.0 units","Lecture","21113R","001","4:00-6:20pm","Monday","12","4","0","","ANN405"
"JOUR-405","Non-Fiction Television","P","4.0 units","Lecture","21239R","001","9:00-12:20pm","Tuesday","15","2","0","Daniel Birman","ANN210"
"JOUR-406","Social Media Storytelling for Latinx Audiences","","2.0 units","Lecture","21198D","001","2:00-3:40pm","Monday","20","2","0","Amara Aguilar","ANN408"
"JOUR-408","Advanced Media Law in the Digital Age","P","2.0 units","Lecture","21121D","001","12:00-1:40pm","Thursday","25","20","0","","ASC331"
"","","","","Lecture","21122D","001","6:00-7:40pm","Wednesday","25","9","0","","ASC331"
"","","","","Lecture","21123D","001","6:00-7:40pm","Monday","25","17","0","","ASC328"
"JOUR-411","Broadcast and Digital Writing for Video and Audio for Non-Ma","M","2.0 units","Lecture","21454R","001","9:00-10:40am","Wednesday","20","2","0","","ANN305"
"JOUR-414","Advanced Digital Media Storytelling","P","2.0 units","Lecture","21457D","001","12:00-1:40pm","Monday","20","9","0","Rebecca Haggerty","ANN307"
"JOUR-432","Sports Commentary","","4.0 units","Lecture","21260R","001","6:30-9:50pm","Monday","20","19","0","","ANN405"
"","","","","Lecture","21261R","001","6:30-9:50pm","Tuesday","20","10","0","","ANN309"
"JOUR-441","Sports Reporting","","2.0 units","Lecture","21226R","001","2:00-3:40pm","Tuesday","20","16","0","Alan Abrahamson","ANN408"
"JOUR-446","Entertainment Reporting","","2.0 units","Lecture","21265R","001","12:00-1:40pm","Wednesday","16","16","0","Mary Murphy","ANN408"
"JOUR-448","Government and Public Affairs Reporting","P","4.0 units","Lecture","21230R","001","9:00-12:20pm","Tuesday","20","2","0","Richard Reeves","ASC328"
"JOUR-458","Media, Food and Culture","","4.0 units","Lecture","21286R","001","6:00-9:20pm","Wednesday","64","12","0","","ANN L101"
"JOUR-460","Social Responsibility of the News Media","","4.0 units","Lecture-Lab","21287R","001","9:00-12:20pm","Monday","20","7","0","","ASC228"
"JOUR-462","Law of Mass Communication","","4.0 units","Lecture","21227D","001","2:00-5:20pm","Wednesday","15","0","0","","ASC228"
"","","","","Lecture","21289D","001","6:00-9:20pm","Wednesday","15","0","0","","ASC328"
"JOUR-469","Money, Markets and Media","","4.0 units","Lecture","21300R","001","9:00-10:50am","Tue, Thu","33","11","0","Gabriel Kahn","ANN L116"
"JOUR-475","Print and Digital Design for 21st Century Storytelling","","4.0 units","Lecture","21279R","001","6:30-9:50pm","Monday","15","14","0","","ANN305"
"JOUR-476","Reporting Urban Affairs","","4.0 units","Lecture","21285R","001","2:00-5:20pm","Thursday","20","0","0","Gabriel Kahn","ANN408"
