b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JS-100gp","Jewish History","","4.0 units","Lecture","38250R","001","2:00-3:20pm","Mon, Wed","20","20","0","Candice Levy,<br />Leah Hochman","MRF340"
"","","","","Discussion","38251R","001","3:30-4:20pm","Wednesday","25","3","0","","THH B9"
"","","","","Discussion","38252R","001","3:30-4:20pm","Monday","25","9","0","","THH B9"
"","","","","Discussion","38253R","001","4:00-4:50pm","Tuesday","25","6","0","","THHB9"
"","","","","Discussion","38260R","001","4:30-5:20pm","Wednesday","25","2","0","","THH B9"
"JS-180gp","Judaism","","4.0 units","Lecture","38261R","001","2:00-3:20pm","Mon, Wed","8","8","0","Leah Hochman","VKC151"
"JS-211gw","The Holocaust","","4.0 units","Lecture","38255R","001","12:30-1:50pm","Tue, Thu","20","20","0","Sharon Gillerman,<br />Leah Hochman","MRF340"
"","","","","Discussion","38256R","001","4:00-4:50pm","Tuesday","25","9","0","","THHB10"
"","","","","Discussion","38257R","001","4:00-4:50pm","Wednesday","25","4","0","","WPHB26"
"","","","","Discussion","38258R","001","3:00-3:50pm","Tuesday","25","6","0","","THH217"
"","","","","Discussion","38259R","001","3:00-3:50pm","Thursday","25","1","0","","VKC109"
"JS-361","Scripture and Polemic in Judaism, Christianity, and Islam","","4.0 units","Lecture","38262R","001","2:00-3:20pm","Tue, Thu","20","2","0","Joshua Garroway,<br />Leah Hochman","VKC210"
"JS-389","Culture and Society in Israel: Inventing the Dream","","4.0 units","Lecture","38263R","001","11:00-12:20pm","Tue, Thu","25","4","0","Bruce Phillips,<br />Leah Hochman","VKC203"
"JS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","38265D","001","TBA","TBA","10","0","0","Leah Hochman","OFFICE"
"JS-590","Directed Research","","1.0-12.0 units","Lecture","38266D","001","TBA","TBA","5","0","0","Leah Hochman","OFFICE"
'
