b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LAW-200w","Law and Society","","4.0 units","Lecture","02603R","001","12:00-1:20pm","Mon, Wed","150","29","0","Susan Estrich","MHP101"
"","","","","Discussion","02606R","001","3:00-3:50pm","Monday","25","1","0","Susan Estrich",""
"","","","","Discussion","02608R","001","2:00-2:50pm","Monday","25","19","0","Susan Estrich",""
"","","","","Discussion","02611R","001","3:00-3:50pm","Wednesday","25","0","0","Susan Estrich",""
"","","","","Discussion","02612R","001","2:00-2:50pm","Wednesday","25","8","0","Susan Estrich",""
"","","","","Discussion","02620R","001","2:00-2:50pm","Monday","25","0","0","Susan Estrich",""
"","","","","Discussion","02662R","001","2:00-2:50pm","Wednesday","25","1","0","Susan Estrich",""
"LAW-202","Wrongful Convictions","","4.0 units","Lecture","02664R","001","10:00-11:50am","Mon, Wed","36","2","0","Dan Simon","KAP145"
"LAW-210","Fundamentals of the U.S. Legal System","","4.0 units","Lecture","02665R","001","12:00-1:40pm","Tue, Thu","110","7","0","Mark Haddad","LAW3"
"LAW-220","The Legal Profession","","2.0 units","Lecture","02640R","001","12:00-1:40pm","Friday","75","8","0","<a href="http://gould.usc.edu/faculty/?id=72117">Andrew Guzman,</a><a href="http://gould.usc.edu/faculty/?id=23758">Robert Rasmussen</a>","LAW7"
"LAW-300","Concepts in American Law","","4.0 units","Lecture","02607D","001","2:00-3:50pm","Tue, Thu","56","13","0","Dan Klerman","LAW130"
"LAW-402","Psychology and Law","","4.0 units","Lecture","02615R","001","3:30-6:50pm","Wednesday","60","28","0","Rakel Larson",""
"LAW-503","Contracts","M","2.0-4.0 units","Lecture","04011D","968","5:00-6:50pm","Thursday","100","0","0","","SOSB2"
"LAW-520","Introduction to U.S. Legal System","M","2.0 units","Lecture","04008D","968","2:00-3:50pm","Friday","160","0","0","","SGM101"
"","","","","Lecture","04009D","968","12:00-1:50pm","Wednesday","150","0","0","","GFS106"
"","","","","Lecture","04023D","968","12:00-1:50pm","Monday","100","0","0","","SAL101"
"","","","","Lecture","04203D","968","7:00-8:50pm","Tuesday","35","0","0","","VKC210"
"","","","","Lecture","04207D","529","7:00-8:50pm","Tuesday","35","0","0","",""
"LAW-560","Academic and Professional Skills for U.S. Law Studies I","MC","2.0 units","Lecture","04300D","968","10:00-11:50am","Friday","40","0","0","","VPD106"
"LAW-563","Presentation Skills for International Lawyers","MC","2.0 units","Lecture","04303D","968","10:00-11:50am","Monday","40","0","0","","WPH102"
"LAW-565","U.S. Common Law Analysis and Skills","MC","2.0 units","Lecture","04304D","968","10:00-11:50am","Wednesday","40","0","0","","VPD106"
"LAW-598","Regulatory Compliance","M","2.0-3.0 units","Lecture","04204D","968","5:00-7:50pm","Wednesday","35","0","0","","VKC210"
"","","","","Lecture","04208D","529","5:00-7:50pm","Wednesday","35","0","0","",""
"LAW-603","Business Organizations","M","3.0-5.0 units","Lecture","04001D","968","8:00-9:50am","Mon, Wed","100","0","0","","MHP101"
"","","","","Lecture","04002D","968","4:00-5:50pm","Mon, Wed","150","0","0","","MHP101"
"","","","","Lecture","04201D","968","5:00-7:50pm","Monday","35","0","0","","VKC151"
"","","","","Lecture","04205D","529","5:00-7:50pm","Monday","35","0","0","",""
"LAW-708","Contract Drafting, Analysis and Negotiation","M","2.0-4.0 units","Lecture","04003D","968","10:00-11:50am","Monday","30","0","0","","WPH203"
"","","","","Lecture","04004D","968","5:00-6:50pm","Wednesday","30","0","0","","WPH205"
"","","","","Lecture","04005D","968","10:00-11:50am","Monday","40","0","0","","VPD106"
"","","","","Lecture","04025D","968","5:00-7:50pm","Tuesday","30","0","0","","VKC200"
"LAW-772","Intellectual Property","M","2.0-3.0 units","Lecture","04006D","968","8:00-9:20am","Tue, Thu","100","0","0","","MHP101"
"","","","","Lecture","04026D","968","9:30-10:50am","Tue, Thu","100","0","0","",""
"LAW-845","Negotiation Skills","M","2.0-3.0 units","Lecture","04202D","968","5:00-6:50pm","Tuesday","35","0","0","","VKC151"
"","","","","Lecture","04206D","529","5:00-6:50pm","Tuesday","35","0","0","",""
'
