b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LING-110g","In a Word","","4.0 units","Lecture","38802R","001","11:00-12:20pm","Tue, Thu","120","36","0","Hajime Hoji","ZHS159"
"","","","","Lab","38804R","001","8:30-9:50am","Monday","20","3","0","","KOH208"
"","","","","Lab","38805R","001","10:00-11:50am","Monday","20","10","0","","KOH208"
"","","","","Lab","38806R","001","12:00-1:50pm","Monday","20","12","0","","KOH208"
"","","","","Lab","38807R","001","8:30-9:50am","Friday","20","2","0","","KOH208"
"","","","","Lab","38808R","001","10:00-11:50am","Friday","20","8","0","","KOH208"
"","","","","Lab","38809R","001","12:00-1:50pm","Friday","20","1","0","","KOH208"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","9:30-10:50am","Tue, Thu","20","20","0","Andrew Simpson","GFS106"
"","","","","Discussion","38813R","001","11:00-11:50am","Monday","20","8","0","","GFS213"
"","","","","Discussion","38814R","001","9:00-9:50am","Monday","20","2","0","","KAP113"
"","","","","Discussion","38815R","001","10:00-10:50am","Monday","20","1","0","","KAP137"
"","","","","Discussion","38816R","001","8:00-8:50am","Monday","20","1","0","","GFS213"
"","","","","Discussion","38817R","001","9:00-9:50am","Monday","20","3","0","","GFS213"
"","","","","Discussion","38819R","001","10:00-10:50am","Monday","20","5","0","","GFS213"
"","","","","Lecture","38837R","001","12:30-1:50pm","Tue, Thu","20","20","0","Andrew Simpson","SAL101"
"","","","","Discussion","38844R","001","11:00-11:50am","Friday","20","11","0","","GFS213"
"","","","","Discussion","38846R","001","9:00-9:50am","Friday","20","1","0","","KAP113"
"","","","","Discussion","38848R","001","10:00-10:50am","Friday","20","8","0","","GFS210"
"","","","","Discussion","38850R","001","8:00-8:50am","Friday","20","0","0","","GFS213"
"","","","","Discussion","38922R","001","9:00-9:50am","Friday","20","0","0","","GFS210"
"","","","","Discussion","38924R","001","10:00-10:50am","Friday","20","0","0","","GFS213"
"LING-210g","Introduction to Linguistics","","4.0 units","Discussion","38927R","001","9:30-10:50am","Friday","25","7","0","","GFS108"
"","","","","Discussion","38928R","001","11:00-12:20pm","Friday","25","14","0","","GFS108"
