b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MASC-110L","Materials Science","","4.0 units","Lecture","32100D","001","10:00-10:50am","MWF","56","2","0","","ZHS252"
"","","","","Lecture","32101D","001","11:00-11:50am","MWF","56","0","0","","SLH100"
"","","","","Discussion","32102R","001","3:30-4:20pm","Monday","30","1","0","","KAP140"
"","","","","Discussion","32104R","001","3:30-4:20pm","Tuesday","30","0","0","","KAP113"
"","","","","Discussion","32106R","001","3:30-4:20pm","Wednesday","30","1","0","","KAP140"
"","","","","Discussion","32108R","001","3:30-4:20pm","Thursday","30","0","0","","KAP148"
"","","","","Lab","32118R","001","1:00-2:50pm","Wednesday","16","1","0","","PCE103"
"","","","","Lab","32120R","001","1:00-2:50pm","Monday","16","0","0","","PCE103"
"","","","","Lab","32122R","001","1:00-2:50pm","Tuesday","16","1","0","","PCE103"
"","","","","Lab","32124R","001","1:00-2:50pm","Thursday","16","0","0","","PCE103"
"","","","","Lab","32128R","001","10:30-12:20pm","Thursday","16","0","0","","PCE103"
"","","","","Lab","32130R","001","1:00-2:50pm","Friday","16","0","0","","PCE103"
"","","","","Lab","32126R","001","4:00-5:50pm","Tuesday","16","0","0","","PCE103"
"MASC-334L","Mechanical Behavior of Materials","P","4.0 units","Lecture","29636D","001","2:00-3:20pm","Mon, Wed","38","0","0","","KAP163"
"","","","","Lab","29635D","001","1:00-3:50pm","Friday","9","0","0","","KAP B39"
"","","","","Lab","29638D","001","11:00-1:50pm","Tuesday","9","0","0","","KAP B39"
"","","","","Lab","29640D","001","2:00-4:50pm","Thursday","9","0","0","","KAP B39"
"","","","","Lab","29641D","001","11:00-1:50pm","Monday","9","0","0","","KAP B39"
"MASC-471","Applied Quantum Mechanics for Engineers","P","4.0 units","Lecture","30554R","001","9:00-10:50am","Tue, Thu","25","1","0","Martin Gundersen","GFS222"
"MASC-506","Semiconductor Physics","P","4.0 units","Lecture","30530R","048","12:30-1:50pm","Tue, Thu","30","2","0","Paul Dapkus","WPH106"
"MASC-508","Nano-Fabrication Lithography","","3.0 units","Lecture","30772R","048","2:00-3:20pm","Mon, Wed","55","3","0","Wei Wu","VKC152"
"MASC-539","Engineering Quantum Mechanics","","4.0 units","Lecture","30702R","048","9:00-10:50am","Tue, Thu","30","4","0","Tony Levi","THH214"
"","","","","Quiz","30733R","048","TBA","TBA","30","4","0","","OFFICE"
"MASC-590","Directed Research","","1.0-12.0 units","Lecture","32154D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-594a","Master\'s Thesis","C","2.0 units","Lecture","32156D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-594b","Master\'s Thesis","PC","2.0 units","Lecture","32158D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-594z","Master\'s Thesis","PC","0.0 units","Lecture","32160D","048","TBA","TBA","5","0","0","","OFFICE"
"MASC-598","Materials Science Seminar","","1.0 unit","Lecture","32175D","048","4:00-5:20pm","Tuesday","37","0","0","",""
"MASC-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32162D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-790","Research","","1.0-12.0 units","Lecture","32164D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-794a","Doctoral Dissertation","C","2.0 units","Lecture","32166D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32168D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32170D","048","TBA","TBA","20","0","0","","OFFICE"
"MASC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32172D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32174D","048","TBA","TBA","15","0","0","","OFFICE"
'
