b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MATH-108g","Contemporary Precalculus","P","4.0 units","Lecture","39403R","001","9:00-9:50am","MWF","49","5","0","","KAP156"
"","","","","Discussion","39404R","001","10:00-10:50am","Tue, Thu","25","3","0","","GFS212"
"","","","","Discussion","39405R","001","11:00-11:50am","Tue, Thu","25","2","0","","GFS212"
"","","","","Lecture","39406R","001","12:00-12:50pm","MWF","49","3","0","","LVL17"
"","","","","Discussion","39407R","001","8:00-8:50am","Tue, Thu","25","0","0","","WPH201"
"","","","","Discussion","39408R","001","9:00-9:50am","Tue, Thu","25","3","0","","WPH201"
"MATH-114xg","Foundations of Statistics","","4.0 units","Lecture","39410R","001","10:00-10:50am","MWF","49","4","0","","THH212"
"","","","","Discussion","39411R","001","8:00-8:50am","Tue, Thu","25","1","0","","VHE206"
"","","","","Discussion","39412R","001","9:00-9:50am","Tue, Thu","25","3","0","","VHE206"
"","","","","Lecture","39413R","001","11:00-11:50am","MWF","49","2","0","","SOS B46"
"","","","","Discussion","39414R","001","2:00-2:50pm","Tue, Thu","25","1","0","","GFS113"
"","","","","Discussion","39415R","001","3:00-3:50pm","Tue, Thu","25","1","0","","GFS113"
"","","","","Lecture","39416R","001","1:00-1:50pm","MWF","49","11","0","","LVL17"
"","","","","Discussion","39417R","001","12:00-12:50pm","Tue, Thu","25","5","0","","KAP134"
"","","","","Discussion","39418R","001","1:00-1:50pm","Tue, Thu","25","6","0","","KAP134"
"MATH-117g","Introduction to Mathematics for Business and Economics","P","4.0 units","Lecture","39419R","001","10:00-10:50am","MWF","49","1","0","","LVL17"
"","","","","Discussion","39420R","001","8:00-8:50am","Tue, Thu","25","0","0","","WPHB26"
"","","","","Discussion","39421R","001","9:00-9:50am","Tue, Thu","25","1","0","","WPHB26"
"","","","","Lecture","39422R","001","11:00-11:50am","MWF","49","4","0","","LVL17"
"","","","","Discussion","39423R","001","10:00-10:50am","Tue, Thu","25","0","0","","WPHB26"
"","","","","Discussion","39424R","001","11:00-11:50am","Tue, Thu","25","4","0","","KAP140"
"MATH-118xg","Fundamental Principles of Calculus","P","4.0 units","Lecture","39426R","001","9:00-9:50am","MWF","49","0","0","","LVL16"
"","","","","Discussion","39427R","001","8:00-8:50am","Tue, Thu","25","1","0","","GFS108"
"","","","","Discussion","39428R","001","9:00-9:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Lecture","39429R","001","9:00-9:50am","MWF","49","1","0","","THH116"
"","","","","Discussion","39430R","001","10:00-10:50am","Tue, Thu","25","1","0","","GFS108"
"","","","","Discussion","39431R","001","11:00-11:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Lecture","39432R","001","10:00-10:50am","MWF","49","1","0","","THH116"
"","","","","Discussion","39433R","001","2:00-2:50pm","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39434R","001","3:00-3:50pm","Tue, Thu","25","1","0","","GFS108"
"","","","","Lecture","39435R","001","10:00-10:50am","MWF","49","0","0","","LVL16"
"","","","","Discussion","39436R","001","12:00-12:50pm","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39437R","001","1:00-1:50pm","Tue, Thu","25","0","0","","GFS108"
"","","","","Lecture","39438R","001","11:00-11:50am","MWF","49","2","0","","LVL16"
"","","","","Discussion","39439R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP134"
"","","","","Discussion","39440R","001","9:00-9:50am","Tue, Thu","25","2","0","","KAP134"
"","","","","Lecture","39441R","001","12:00-12:50pm","MWF","49","0","0","","LVL16"
"","","","","Discussion","39442R","001","8:00-8:50am","Tue, Thu","25","0","0","","SOSB37"
"","","","","Discussion","39443R","001","9:00-9:50am","Tue, Thu","25","0","0","","SOSB37"
