b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MBPH-550","Seminar in Medical Biophysics","","1.0 units, max 4","Lecture","70015D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-590","Directed Research","","1.0-12.0 units","Lecture","70005D","046","TBA","TBA","30","0","0","","TBA"
"","","","","Lecture","70011D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-594a","Master\'s Thesis","C","2.0 units","Lecture","70012D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-594b","Master\'s Thesis","PC","2.0 units","Lecture","70013D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-594z","Master\'s Thesis","PC","0.0 units","Lecture","70014D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","70016D","046","TBA","TBA","30","0","0","","OFFICE"
"MBPH-790","Research","C","1.0-12.0 units, max 12","Lecture","70017D","046","TBA","TBA","50","0","0","Ralf Langen","OFFICE"
"MBPH-794a","Doctoral Dissertation","C","2.0 units","Lecture","70006D","046","TBA","TBA","30","0","0","Ralf Langen","OFFICE"
"MBPH-794b","Doctoral Dissertation","PC","2.0 units","Lecture","70007D","046","TBA","TBA","30","0","0","Ralf Langen","OFFICE"
"MBPH-794c","Doctoral Disseration","PC","2.0 units","Lecture","70008D","046","TBA","TBA","30","0","0","Ralf Langen","OFFICE"
"MBPH-794d","Doctoral Disseration","C","2.0 units","Lecture","70009D","046","TBA","TBA","30","0","0","Ralf Langen","OFFICE"
"MBPH-794z","Doctoral Dissertation","PC","0.0 units","Lecture","70010D","046","TBA","TBA","30","0","0","Ralf Langen","OFFICE"
'
