b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MEDS-220","Preparation for the Clinical Experience","","2.0 units","Lecture","41402R","001","12:00-1:50pm","Monday","100","35","0","Emily Rose","SOSB2"
"MEDS-280","The History of Medicine: a Doctor\'s Perspective","","2.0 units","Lecture","41403R","001","10:00-11:50am","Wednesday","25","5","0","Dennis Green",""
"MEDS-315","Human Anatomy, Physiology, and the Technology of Medicine","P","2.0 units","Lecture","41407R","001","10:00-11:50am","Monday","22","14","0","Emily Rose",""
"MEDS-320","Human Cadaveric Anatomy","P","4.0 units","Lecture","41406D","001","2:00-3:50pm","Tue, Thu","45","10","0","Michael Habib","WPH102"
"MEDS-330","Bionics: Solutions to Enable the Disabled","","2.0 units","Lecture","41408R","001","12:00-1:50pm","Wednesday","20","7","0","Raymond Goldsworthy",""
"MEDS-335","Human Development: From Stem to Sternum","P","2.0 units","Lecture","41444R","001","12:00-1:50pm","Monday","30","16","0","Neil Segil",""
"MEDS-350","Neurochemistry of Addiction: Drugs, Brain, and Behavior","P","2.0 units","Lecture","41434R","001","4:00-5:50pm","Thursday","30","10","0","Lina Augius",""
"MEDS-360","Bench to Bedside: Application of the Basic Sciences","P","2.0 units","Lecture","41412R","001","8:00-9:50am","Friday","20","8","0","Maximo Marin,<br />Allison Chambliss","THH110"
"MEDS-370","Organ Failure: Non-Communicable Chronic Disease","P","2.0 units","Lecture","41438R","001","8:00-9:50am","Wednesday","20","8","0","Janak Chandrasoma","THH214"
"MEDS-420","Clinical Pediatrics","P","2.0 units","Lecture","41410D","001","8:00-9:50am","Monday","12","6","0","Parul Bhatia,<br />Kira Molas-Torreblanca,<br />Derek Halet,<br />Patricia Castillo",""
"MEDS-425","Medical Examiner-Coroner: Investigating Death","PC","2.0 units","Lecture","41440R","001","2:00-3:50pm","Wednesday","30","13","0","Lakshmanan Sathyavagiswaran","THH214"
"MEDS-445","Cancer: Introduction to Oncology in the Modern Era","P","2.0 units","Lecture","41430R","001","10:00-11:50am","Friday","15","4","0","Diane Da Silva",""
"MEDS-455","Integrative Health Care","","2.0 units","Lecture","41411R","001","11:00-12:50pm","Friday","20","7","0","Madhu Hardasmalani","WPH202"
"MEDS-460","Emergency Health Care","P","2.0 units","Lecture","41426R","001","9:00-10:50am","Friday","20","9","0","Madhu Hardasmalani","VKC259"
"MEDS-490","Directed Research in Biomedical Science","P","1.0-8.0 units, max 12","Lecture","41414D","001","3:00-5:00pm","Friday","30","0","0","Joyce Richey",""
"","","","","Lecture","41416D","001","3:00-5:50pm","Friday","27","0","0","Danica Liberman",""
"MEDS-500","Basic Concepts in Global Health","","4.0 units","Lecture","41396D","046","3:00-4:50pm","Tue, Thu","90","0","0","","MCA149"
"MEDS-503L","Core Principles System I","","4.0 units","Lecture-Lab","41353D","871","TBA","TBA","60","0","0","Elahe Nezami","OFFICE"
"MEDS-504L","Core Principles System II","P","4.0 units","Lecture-Lab","41354D","872","TBA","TBA","60","0","0","Elahe Nezami","OFFICE"
"MEDS-510","Global Health Modules, Malaria","","2.0 units","Lecture","41367D","046","1:00-2:50pm","Monday","40","0","0","","MCH156"
"MEDS-514","Global Health Modules, Tropical Disease","","2.0 units","Lecture","41392D","046","1:00-2:50pm","Tuesday","40","0","0","","MCH256"
"MEDS-516","Cultural Humility in Health and Medicine","","2.0 units","Lecture","41361D","046","5:30-7:20pm","Thursday","32","0","0","","MCH156"
"MEDS-530a","Foundation of Medicine: Anatomy, Physiology, and Pathology","","4.0 units","Lecture","41364D","046","9:00-10:50am","Mon, Wed","35","1","0","","MCH156"
"MEDS-532","Non-communicable Diseases","","2.0 units","Lecture","41377D","046","11:00-12:50pm","Wednesday","40","0","0","","MCH149"
"MEDS-581","Case Studies in Interprofessional Healthcare","","4.0 units","Lecture","41365D","046","6:00-7:50pm","Mon, Wed","40","0","0","","MCA149"
"MEDS-590","Directed Research","","1.0-12.0 units, max 12","Lecture","41398D","046","TBA","TBA","10","0","0","","OFFICE"
"MEDS-597a","Health Technology Internship","M","1.0 unit","Lecture","41375D","046","TBA","TBA","10","0","0","","OFFICE"
"MEDS-597b","Health Technology Internship","P","1.0 unit","Lecture","41376D","046","TBA","TBA","10","0","0","","OFFICE"
'
