b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MICB-502","Molecular and Cellular Immunology","P","2.0 units, max 8","Lecture","40702D","001","1:00-2:50pm","Wednesday","30","0","0","",""
"MICB-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","0","0","<a href="http://uscmmi.com/josephlandolphlab/">Joseph Landolph,</a>David Cobrinik",""
"MICB-522","Infection and Host Responses","","4.0 units","Lecture","40653D","046","9:00-10:50am","Tue, Thu","100","0","0","Jie Li",""
"MICB-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"MICB-549","Student Seminar Series","","1.0 units, max 8","Lecture","40712D","046","11:00-11:50am","Wednesday","75","0","0","Axel Schonthal",""
"MICB-560","Recent Advances in Microbiology","","1.0 units, max 6","Lecture","40715D","046","12:00-12:50pm","Wednesday","50","0","0","",""
"MICB-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"MICB-570","Microbiology Research Seminar","MC","1.0 units, max 10","Lecture","40736D","046","TBA","TBA","25","0","0","Axel Schonthal","OFFICE"
"","","","","Lecture","40742D","046","TBA","TBA","25","0","0","","OFFICE"
"MICB-572","Medical Physiology I","C","4.0 units","Lecture","40673D","046","1:00-2:50pm","Mon, Thu","46","0","0","Robert Farley",""
"MICB-590","Directed Research","","1.0-12.0 units","Lecture","40800D","046","TBA","TBA","50","0","0","Axel Schonthal","OFFICE"
"MICB-594a","Master\'s Thesis","C","2.0 units","Lecture","40803D","046","TBA","TBA","50","0","0","","OFFICE"
"MICB-594b","Master\'s Thesis","PC","2.0 units","Lecture","40810D","046","TBA","TBA","50","0","0","Axel Schonthal","OFFICE"
"MICB-594z","Master\'s Thesis","PC","0.0 units","Lecture","40815D","046","TBA","TBA","50","0","0","Axel Schonthal","OFFICE"
'
