b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MKT-402","Research Skills for Marketing Insights","","4.0 units","Lecture","16508R","001","12:00-1:50pm","Mon, Wed","48","38","0","Sha Yang","JFF322"
"","","","","Lecture","16509R","001","10:00-11:50am","Mon, Wed","48","20","0","Sha Yang","JFF322"
"MKT-405","Advertising and Promotion Management","P","4.0 units","Lecture","16470R","001","10:00-11:50am","Tue, Thu","48","19","0","Arianna Uhalde","JFF316"
"","","","","Lecture","16472R","001","12:00-1:50pm","Tue, Thu","48","10","0","Arianna Uhalde","JFF316"
"","","","","Lecture","16474R","001","2:00-3:50pm","Tue, Thu","48","23","0","Therese Wilbur","JFF322"
"MKT-410","Professional Selling","PC","4.0 units","Lecture","16476R","001","2:00-3:50pm","Mon, Wed","48","18","0","Gary Frazier","JFF322"
"MKT-425","Marketing in a Digital World","PC","4.0 units","Lecture","16478R","001","12:00-1:50pm","Tue, Thu","48","48","0","","JFF241"
"MKT-440","Marketing Analysis and Strategy","PC","4.0 units","Lecture","16495R","001","10:00-11:50am","Mon, Wed","48","48","0","Lan Luo","JFF239"
"MKT-445","New Product Development and Branding","P","4.0 units","Lecture","16494R","001","4:00-5:50pm","Mon, Wed","48","28","0","Therese Wilbur","JFF316"
"","","","","Lecture","16496R","001","12:00-1:50pm","Tue, Thu","48","23","0","Therese Wilbur","JFF322"
"MKT-450","Consumer Behavior and Marketing","","4.0 units","Lecture","16498R","001","12:00-1:50pm","Mon, Wed","48","48","0","Linda Hagen","JFF316"
"","","","","Lecture","16500R","001","2:00-3:50pm","Mon, Wed","48","17","0","Linda Hagen","JFF316"
"","","","","Lecture","16502R","001","4:00-5:50pm","Tue, Thu","48","21","0","","JFF316"
"","","","","Lecture","16503R","001","2:00-3:50pm","Tue, Thu","48","14","0","","JFF316"
"MKT-461","Marketing Blockbuster Entertainment","","4.0 units","Lecture","16504R","001","6:00-7:50pm","Tue, Thu","48","48","0","Gene Delvecchio","JFF322"
"MKT-465","Global Marketing Management","C","4.0 units","Lecture","16505R","001","4:00-5:50pm","Mon, Wed","36","7","0","Dennis Schorr","BRI5"
"MKT-499","Special Topics","P","2.0-4.0 units, max 8"
"","Changing Consumer Behavior","","4.0","Lecture","16506R","001","2:00-3:50pm","Mon, Wed","36","3","0","Wendy Wood","ACC205"
"","Effective Advertising and Social Media Strategy","","4.0","Lecture","16507R","001","12:00-1:50pm","Tue, Thu","40","13","0","Gerard Tellis","BRI202"
"","Happiness and Wellbeing in the Marketplace","","4.0","Lecture","16510R","001","10:00-11:50am","Mon, Wed","40","10","0","Arianna Uhalde","ACC310"
"MKT-512","Customer Insights and Analysis","M","3.0 units","Lecture","16522D","033","3:30-4:50pm","Mon, Wed","30","0","0","Sha Yang","JKP112"
"","","","","Lecture","16523R","033","3:30-4:50pm","Mon, Wed","30","0","0","Sha Yang","JKP112"
