b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MOR-461","Design of Effective Organizations","","4.0 units","Lecture","16666R","001","10:00-11:50am","Mon, Wed","48","15","0","Michael McGrath","JFF LL102"
"MOR-462","Management Consulting","","4.0 units","Lecture","16668R","001","2:00-3:50pm","Tue, Thu","48","21","0","Michael Mische","JFF239"
"","","","","Lecture","16669R","001","10:00-11:50am","Mon, Wed","48","35","0","Michael Mische","JFF241"
"MOR-469","Negotiation and Persuasion","","4.0 units","Lecture","16671R","001","2:00-3:50pm","Mon, Wed","48","48","0","Peter Carnevale","JFF241"
"","","","","Lecture","16672R","001","12:00-1:50pm","Tue, Thu","48","38","0","Michael Coombs","JFF LL102"
"MOR-470","Global Leadership","","4.0 units","Lecture","16673R","001","2:00-3:50pm","Tue, Thu","48","38","0","Quentin Fleming","JFF LL102"
"MOR-471","Managing and Developing People","","4.0 units","Lecture","16674R","001","12:00-1:50pm","Mon, Wed","48","29","0","Michael Coombs","JFF241"
"MOR-472","Power, Politics and Influence","","4.0 units","Lecture","16675R","001","4:00-5:50pm","Tue, Thu","48","16","0","Chris Bresnahan","JFF239"
"MOR-475","The Art of Leadership - Self Discovery","C","1.0 unit","Lecture","16670D","001","2:00-2:50pm","Friday","25","0","0","Chris Bresnahan","JFF241"
"MOR-477","The Art of Leadership - Change Leadership","PC","1.0 unit","Lecture","16690D","001","3:00-3:50pm","Friday","25","1","0","Adlai Wertman","JFF241"
"MOR-479","The Business of Sports","","4.0 units","Lecture","16725R","001","8:00-9:50am","Mon, Wed","48","47","0","David Carter","JFF241"
"MOR-492","Global Strategy","","4.0 units","Lecture","16677R","001","2:00-3:50pm","Mon, Wed","36","32","0","Carl Voigt","JFF328"
"","","","","Lecture","16678R","001","4:00-5:50pm","Mon, Wed","36","15","0","Carl Voigt","JFF328"
"MOR-545","Corporate Governance and Board Leadership","MC","1.5-3.0 units","Lecture","16698D","033","2:00-3:20pm","Thursday","41","0","0","Norman Zukis","BRI202"
"MOR-554","Leading Innovation and Change","MC","3.0 units","Lecture","16700D","033","6:30-9:30pm","Wednesday","78","0","0","Michael Mische","JKP212"
"MOR-557","Strategy and Organization Consulting","MC","3.0 units","Lecture","16694D","033","3:30-4:50pm","Mon, Wed","56","0","0","Michael Mische","JKP104"
"MOR-559","Strategic Renewal and Transformation","MC","3.0 units","Lecture","16696D","033","6:30-9:30pm","Monday","56","0","0","Michael Mische","JKP104"
"MOR-562","Strategic Choice and Valuation Analysis","MC","3.0 units","Lecture","16704D","033","6:30-9:30pm","Monday","52","0","0","Carl Voigt","JKP102"
"MOR-567","Interpersonal Influence and Power","MC","3.0 units","Lecture","16709D","033","6:30-9:30pm","Wednesday","56","0","0","Nathanael Fast","JKP104"
"","","","","Lecture","16713D","033","12:30-3:20pm","Tuesday","56","0","0","Nathanael Fast","JKP112"
"MOR-569","Negotiation and Deal-Making","MC","3.0 units","Lecture","16703D","033","6:30-9:30pm","Thursday","57","0","0","Michael Coombs","JKP204"
"","","","","Lecture","16718D","001","12:30-1:50pm","Mon, Wed","57","0","0","Scott Wiltermuth","JKP204"
"","","","","Lecture","16720D","033","3:30-4:50pm","Tue, Thu","57","0","0","Michael Coombs","JKP212"
"MOR-571","Leadership and Executive Development","MC","3.0 units","Lecture","16707D","033","12:30-3:20pm","Thursday","78","0","0","Chris Bresnahan","JKP112"
"MOR-572","Leadership and Self-Management","MC","3.0 units","Lecture","16716D","033","6:30-9:30pm","Tuesday","57","0","0","Chris Bresnahan","JKP204"
"MOR-579","The Business of Sports Entertainment","MC","3.0 units","Lecture","16708D","033","12:30-1:50pm","Mon, Wed","78","0","0","David Carter","JKP212"
"MOR-590","Directed Research","","1.0-12.0 units","Lecture","16710D","033","TBA","TBA","10","0","0","Peer Fiss","OFFICE"
"MOR-592","Field Research in Management and Organization","C","0.5-4.0 units, max 12","Lecture","16735D","033","TBA","TBA","15","0","0","Peer Fiss","OFFICE"
"MOR-593","Independent Research in Management and Organization","C","0.5-4.0 units, max 12","Lecture","16712D","001","TBA","TBA","10","0","0","Peer Fiss","OFFICE"
"MOR-595","Internship in Management and Organization","MC","0.5-2.0 units, max 9","Lecture","16737D","033","TBA","TBA","10","0","0","Peer Fiss","OFFICE"
"MOR-596","Research Practicum in Management and Organization","C","0.5-2.0 units, max 8","Lecture","16738D","033","TBA","TBA","15","0","0","Peer Fiss","OFFICE"
"MOR-597","Consulting Project in Management and Organization","C","0.5-5.0 units, max 12","Lecture","16715R","033","TBA","TBA","20","0","0","Peer Fiss","OFFICE"
"MOR-598","Special Topics","MC","1.0-3.0 units, max 9"
"","Practicum for Leading and Coaching.","","1.5","Lecture","16728D","033","12:30-1:50pm","Tuesday","25","0","0","Chris Bresnahan","ACC310"
"MOR-601","Seminar in Organizational Behavior","MC","3.0 units","Lecture","16792R","036","2:00-4:50pm","Wednesday","12","2","0","Nathanael Fast","HOH506"
"MOR-603","Seminar in Strategic Management","MC","3.0 units","Lecture","16635R","033","1:00-3:50pm","Thursday","10","1","0","","HOH706"
"MOR-790","Research","MC","1.0-12.0 units","Lecture","16799D","033","TBA","TBA","10","0","0","","OFFICE"
'
