b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPGU-120a","Beginning Pop/Rock Guitar","","2.0 units","Lecture","45000R","001","10:00-11:50am","Friday","20","1","0","Nick Stoubis","MUS101"
"","","","","Lecture","45001R","001","12:00-1:50pm","Monday","20","5","0","Nick Stoubis","BMH200"
"","","","","Lecture","45002R","001","12:00-1:50pm","Tuesday","20","5","0","Nick Stoubis","BMH200"
"","","","","Lecture","45003R","001","12:00-1:50pm","Thursday","20","1","0","Nick Stoubis","BMH200"
"","","","","Lecture","45005R","001","11:00-12:50pm","Friday","20","0","0","Nick Stoubis","BMH200"
"","","","","Lecture","45010R","001","2:00-3:50pm","Monday","20","5","0","Nick Stoubis","BMH200"
"","","","","Lecture","45015R","001","2:00-3:50pm","Tuesday","20","4","0","Nick Stoubis","BMH200"
"","","","","Lecture","45020R","001","2:00-3:50pm","Wednesday","20","2","0","Nick Stoubis","BMH200"
"","","","","Lecture","45025R","001","2:00-3:50pm","Thursday","20","2","0","Nick Stoubis","BMH200"
"","","","","Lecture","45030R","001","4:00-5:50pm","Monday","20","1","0","Nick Stoubis","BMH200"
"","","","","Lecture","45035R","001","4:00-5:50pm","Wednesday","20","3","0","Nick Stoubis","BMH200"
"","","","","Lecture","45055R","001","6:00-7:50pm","Thursday","20","2","0","Nick Stoubis","BMH200"
"MPGU-120b","Beginning Pop/Rock Guitar","P","2.0 units","Lecture","45060R","001","4:00-5:50pm","Tuesday","20","3","0","Nick Stoubis","BMH200"
"","","","","Lecture","45065R","001","6:00-7:50pm","Tuesday","20","3","0","Nick Stoubis","BMH200"
"MPGU-121","Intensive Beginning Pop/Rock Guitar","","4.0 units","Lecture","45105R","001","10:00-11:50am","Tue, Thu","20","1","0","Nick Stoubis","MUS101"
"MPGU-125","Beginning Fingerstyle/Chord Guitar","","2.0 units","Lecture","45140R","001","8:00-9:50pm","Tuesday","20","0","0","Brian Head","BMH200"
"","","","","Lecture","45142R","001","6:00-7:50pm","Wednesday","20","2","0","Brian Head","BMH200"
"MPGU-126","Easy Fingerstyle Beatles","","2.0 units","Lecture","45145R","001","2:00-3:50pm","Monday","12","4","0","Brian Head","MUS208"
"MPGU-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Classical Guitar","","1.0-2.0","Lecture","45150D","001","TBA","TBA","15","0","0","Brian Head,<br /><a href="http://www.scott-tennant.net">Scott Tennant</a>","RHM112, BMH100"
"MPGU-160a","Functional Skills for the Jazz Guitarist","","2.0 units","Lecture","45165D","001","2:00-3:50pm","Monday","15","0","0","Steve Trovato","MUS101"
"MPGU-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Classical Guitar","","1.0-2.0","Lecture","45180D","001","TBA","TBA","15","0","0","Brian Head,<br /><a href="http://www.scott-tennant.net">Scott Tennant</a>","RHM112, BMH100"
"MPGU-260","Improvising and Arranging for Jazz Guitar","","2.0 units","Lecture","45197D","001","12:00-1:50pm","Friday","20","0","0","Frank Potenza","MUS101"
"MPGU-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Classical Guitar","","1.0-2.0","Lecture","45200D","001","TBA","TBA","20","0","0","Brian Head","RHM112"
"","Studio Guitar","","1.0-2.0","Lecture","45205D","001","TBA","TBA","35","0","0","Nick Stoubis","TMC118"
