b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPPM-100","Popular Music Forum","","1.0 units, max 4","Lecture","47300D","001","2:00-3:50pm","Friday","140","16","0","Christopher Sampson","CTV136A"
"MPPM-120","Popular Music Performance I","","2.0 units, max 8","Lecture","47320D","001","4:00-5:50pm","Tuesday","30","0","0","Andy Abad","CTV136A"
"","","","","Lecture","47321D","001","6:00-7:50pm","Tuesday","30","0","0","Sean Holt","CTV136A"
"","","","","Lecture","47322R","001","4:00-5:50pm","Wednesday","20","5","0","Timothy Kobza","CTV136A"
"","","","","Lecture","47323R","001","4:00-5:50pm","Thursday","15","7","0","Timothy Kobza","CTV136A"
"MPPM-153","Individual Instruction","","1.0-2.0 units, max 8","Lecture","47340D","001","TBA","TBA","35","0","0","Patrice Rushen","TMC118"
"MPPM-240","Drumming Proficiency for the Popular Musician","","2.0 units","Lecture","47370D","001","9:00-9:50am","Mon, Wed","8","0","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47371D","001","10:00-10:50am","Mon, Wed","8","0","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47372D","001","1:00-1:50pm","Mon, Wed","8","2","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47373D","001","2:00-2:50pm","Mon, Wed","8","1","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47374D","001","10:00-11:50am","Tuesday","8","0","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47375D","001","4:00-5:50pm","Thursday","8","1","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47376D","001","10:00-11:50am","Thursday","8","0","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47377D","001","2:00-3:50pm","Thursday","8","0","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47378D","001","10:00-11:50am","Friday","8","0","0","Peter Erskine","TMC G122B"
"MPPM-250","Keyboard Proficiency for the Popular Musician","","2.0 units","Lecture","47386D","001","4:00-4:50pm","MWF","16","1","0","Michael Arrom","MUS213"
"MPPM-253","Individual Instruction","","1.0-2.0 units, max 8","Lecture","47395D","001","TBA","TBA","50","0","0","Patrice Rushen","TMC118"
"MPPM-301","Individual Instruction","M","1.0-2.0 units, max 16","Lecture","47425D","001","TBA","TBA","70","0","0","Patrice Rushen","TMC118"
"MPPM-320","Popular Music Performance II","PC","2.0 units, max 8","Lecture","47440D","001","6:00-7:50pm","Wednesday","32","5","0","Patrice Rushen,<br />Paul Jackson Jr ","CTV136A"
"MPPM-325a","Arranging in Popular Music","","2.0 units","Lecture","47450D","001","12:00-1:50pm","Wednesday","32","6","0","Rick Schmunk","TMC AUD"
"MPPM-340","Intermediate Drum Set Proficiency","","2.0 units","Lecture","47465D","001","11:00-11:50am","Mon, Wed","8","1","0","Peter Erskine","TMC G122B"
"","","","","Lecture","47466D","001","3:00-4:50pm","Monday","8","0","0","Aaron Serfaty","TMC G122B"
"MPPM-350g","A History of Popular Music","","4.0 units","Lecture","47475D","001","2:00-3:50pm","Mon, Wed","40","10","0","Nathaniel Sloan","TMC G156"
"MPPM-370","The Vocal Edge: Contemporary Vocal Performance Techniques","","2.0 units, max 4","Lecture","47490D","001","2:00-3:50pm","Tuesday","20","4","0","Sean Holt","TMC AUD"
"MPPM-420","Popular Music Performance Styles and Genres","","2.0 units, max 8"
"","Americana","","2.0","Lecture","47510D","001","4:00-5:50pm","Wednesday","20","5","0","Steve Trovato","MUS101"
"","Latin Pop","","2.0","Lecture","47511D","001","8:00-9:50pm","Tuesday","20","3","0","Andy Abad","CTV136A"
"","Pop String Ensemble","","2.0","Lecture","47512D","001","5:00-6:50pm","Thursday","8","0","0","Robert Anderson","TMC G139"
"MPPM-450a","Final Project","","1.0 unit","Lecture","47525D","001","TBA","TBA","30","17","0","Patrice Rushen","TMC118"
"MPPM-450b","Final Project","P","1.0 unit","Lecture","47528D","001","TBA","TBA","10","1","0","Patrice Rushen","TMC118"
"MPPM-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","47540D","001","TBA","TBA","10","0","0","Patrice Rushen","TMC118"
"MPPM-590","Directed Research","","1.0-12.0 units","Lecture","47570D","001","TBA","TBA","10","0","0","Patrice Rushen","TMC118"
"MPPM-790","Research","","1.0-12.0 units","Lecture","47595D","001","TBA","TBA","10","0","0","Patrice Rushen","TMC118"
'
