b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPTX-502","Pharmacology","","4.0 units","Lecture","48802D","005","TBA","TBA","20","0","0","","TBA"
"","","","","Lecture","48902D","005","10:00-11:50am","Tue, Thu","30","0","0","","OFFICE"
"MPTX-510","Topics in Pharmacology: the Other Side of Drugs","","2.0-3.0 units","Lecture","48810D","005","1:00-2:50pm","Monday","26","0","0","Martine Culty","OFFICE"
"","","","","Lecture","48812D","005","TBA","TBA","20","0","0","Martine Culty","OFFICE"
"MPTX-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"MPTX-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"MPTX-572","Medical Physiology I","C","4.0 units","Lecture","40673D","046","1:00-2:50pm","Mon, Thu","46","0","0","Robert Farley",""
"MPTX-590","Directed Research","","1.0-12.0 units","Lecture","48900D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-594a","Master\'s Thesis","","2.0 units","Lecture","48904D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-594b","Master\'s Thesis","P","2.0 units","Lecture","48906D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-594z","Master\'s Thesis","P","0.0 units","Lecture","48908D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","48946D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-700","Seminar in Molecular Pharmacology and Toxicology","","1.0 units, max 8","Lecture","48920D","005","12:00-12:50pm","Friday","30","0","0","","OFFICE"
"MPTX-790","Research","","1.0-12.0 units","Lecture","48922D","005","TBA","TBA","30","0","0","","OFFICE"
"MPTX-794a","Doctoral Dissertation","C","2.0 units","Lecture","48924D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-794b","Doctoral Dissertation","PC","2.0 units","Lecture","48926D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-794c","Doctoral Dissertation","PC","2.0 units","Lecture","48928D","005","TBA","TBA","30","0","0","","OFFICE"
"MPTX-794d","Doctoral Dissertation","PC","2.0 units","Lecture","48930D","005","TBA","TBA","20","0","0","","OFFICE"
"MPTX-794z","Doctoral Dissertation","PC","0.0 units","Lecture","48932D","005","TBA","TBA","20","0","0","","OFFICE"
'
