b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPVA-141","Class Voice","","2.0 units, max 4","Lecture","46320R","001","10:00-11:50am","Wednesday","12","4","0","Lynn Helding","MUS208"
"","","","","Lecture","46321R","001","6:00-7:50pm","Wednesday","12","5","0","Lynn Helding","MUS208"
"","","","","Lecture","46322R","001","10:00-11:50am","Thursday","12","7","0","Lynn Helding","MUS208"
"","","","","Lecture","46323R","001","4:00-5:50pm","Thursday","12","7","0","Lynn Helding","MUS208"
"MPVA-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46330D","001","TBA","TBA","25","0","0","Lisa Sylvester","RHM112, MUS106"
"MPVA-203a","Acting for Singers","","2.0 units","Lecture","46340D","001","12:00-1:50pm","Monday","20","1","0","Ken Cazan","BMH100"
"MPVA-241","Intermediate Class Voice","P","2.0 units, max 4","Lecture","46355R","001","2:00-3:50pm","Wednesday","12","2","0","Lynn Helding","MUS208"
"MPVA-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46360D","001","TBA","TBA","25","0","0","Lisa Sylvester","RHM112, MUS106"
"MPVA-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Voice","","1.0-2.0","Lecture","46378D","001","TBA","TBA","65","4","0","Lynn Helding","RHM112"
"MPVA-301","Individual Instruction","M","1.0-2.0 units, max 16"
"","Vocal Coaching","","1.0-2.0","Lecture","46385D","001","TBA","TBA","20","0","0","Lisa Sylvester","RHM112"
"","Voice","","1.0-2.0","Lecture","46388D","001","TBA","TBA","50","6","0","Lynn Helding","RHM112"
"","Choral","","1.0-2.0","Lecture","46391D","001","TBA","TBA","30","0","0","Mike Scheibe","MUS416"
"","Musical Theatre","","1.0-2.0","Lecture","46394D","001","TBA","TBA","15","0","0","Lisa Sylvester","RHM112"
"MPVA-353","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46400D","001","TBA","TBA","20","1","0","Lisa Sylvester","RHM112"
"MPVA-402","Musical Theatre Workshop I","","3.0 units","Lecture","46420D","001","2:00-3:50pm","Tue, Thu","20","2","0","Parmer Fuller","MUS204"
"MPVA-403","Acting for Singers II","","2.0 units, max 8","Lecture","46423D","001","10:00-11:50am","Tue, Thu","15","2","0","Ken Cazan","AES138A"
"MPVA-404","Word and Music in Opera","","2.0 units, max 8","Lecture","46426D","001","12:00-1:50pm","Wednesday","12","0","0","Brent McMunn","TMC G156"
"MPVA-405","USC Opera","","2.0 units, max 12","Lecture","46429D","001","4:00-10:50pm","MWF","40","0","0","<a href="http://www.usc.edu/schools/music/private/faculty/mcmunn.php">Brent McMunn,</a>Ken Cazan","MUS105, MUS105"
"MPVA-407","Directing for the Operatic Stage","","2.0 units, max 8","Lecture","46435D","001","TBA","TBA","10","0","0","Ken Cazan","RHM112"
"MPVA-438","Foundations of Vocology","","2.0 units","Lecture","46447D","001","4:00-5:50pm","Thursday","20","3","0","Lynn Helding","MUS204"
"MPVA-440","Italian and French Diction","","2.0 units","Lecture","46451D","001","12:00-1:50pm","Monday","20","0","0","Lisa Sylvester","MUS204"
"MPVA-442","Introduction to the International Phonetic Alphabet","","2.0 units","Lecture","46457D","001","12:00-1:50pm","Wednesday","12","2","0","Lisa Sylvester","MUS319"
"MPVA-443","Cantata and Oratorio","","2.0 units","Lecture","46460D","001","10:00-11:50am","Friday","12","4","0","Tram Sparks","MUS208"
"MPVA-453","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46467D","001","TBA","TBA","20","1","0","Lisa Sylvester","RHM112"
"MPVA-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","46486D","001","TBA","TBA","10","0","0","Lisa Sylvester","RHM112"
"MPVA-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Vocal Coaching","","1.0-2.0","Lecture","46495D","001","TBA","TBA","20","1","0","Lisa Sylvester","RHM112"
"","Voice","","1.0-2.0","Lecture","46498D","001","TBA","TBA","30","0","0","Lynn Helding","RHM112"
"","Choral","","1.0-2.0","Lecture","46501D","001","TBA","TBA","25","0","0","Mike Scheibe","MUS416"
"MPVA-541","Advanced Vocology","","2.0 units","Lecture","46513D","001","12:00-1:50pm","Wednesday","15","2","0","Lynn Helding","MUS303"
"MPVA-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46521D","001","TBA","TBA","40","3","0","Lisa Sylvester","RHM112"
"MPVA-554","Graduate Certificate Performance","","4.0 units, max 16","Lecture","46531D","001","TBA","TBA","20","0","0","Lisa Sylvester","RHM112"
"MPVA-560","Graduate Italian Diction","","2.0 units","Lecture","46537D","001","10:00-11:50am","Monday","8","0","0","Rakefet Hak","MUS208"
"MPVA-590","Directed Research","","1.0-12.0 units","Lecture","46548D","001","TBA","TBA","20","0","0","Lisa Sylvester","RHM112"
"MPVA-653","Individual Instruction","","1.0-2.0 units, max 12"
"","Voice","","1.0-2.0","Lecture","46570D","001","TBA","TBA","20","1","0","Lisa Sylvester","RHM112"
"MPVA-790","Research","","1.0-12.0 units","Lecture","46595D","001","TBA","TBA","10","0","0","Lisa Sylvester","RHM112"
'
