b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MSCR-474","The Organ in Worship and Congregational Life","","2.0 units","Lecture","42615D","001","TBA","TBA","15","0","0","Ladd Thomas","MUS416"
"MSCR-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","42620D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-571","Music of the Great Liturgies","","2.0 units","Lecture","42628D","001","12:00-1:50pm","Friday","15","2","0","Nick Strimple","MUS319"
"MSCR-590","Directed Research","","1.0-12.0 units","Lecture","42635D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-790","Research","","1.0-12.0 units","Lecture","42640D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-794a","Doctoral Dissertation","C","2.0 units","Lecture","42645D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-794b","Doctoral Dissertation","PC","2.0 units","Lecture","42650D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-794c","Doctoral Dissertation","PC","2.0 units","Lecture","42655D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-794d","Doctoral Dissertation","PC","2.0 units","Lecture","42660D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"MSCR-794z","Doctoral Dissertation","PC","0.0 units","Lecture","42665D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
'
