b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MTAL-481","Contemporary Pedagogy, Larger Instrumental Ensembles","","3.0 units","Lecture","43544D","001","3:15-4:45pm","Monday","15","1","0","Vincent Womack","MUS317, MUS317"
"","","","","Lab","43545D","001","TBA","TBA","15","1","0","Vincent Womack","MUS317"
"MTAL-482","Contemporary Pedagogy, Vocal and General Music","","2.0 units","Lecture","43546D","001","10:00-11:50am","Wednesday","15","1","0","Judy Lewis","MUS101"
"","","","","Lab","43547D","001","TBA","TBA","15","1","0","Judy Lewis","MUS317"
"MTAL-490","Directed Research","C","1.0-8.0 units, max 12","Lecture","43550D","001","TBA","TBA","10","0","0","Beatriz Ilari","MUS317"
"MTAL-500","Research Foundations in Music Teaching and Learning","","3.0 units","Lecture","43560D","001","5:00-7:50pm","Monday","15","1","0","Beatriz Ilari","MUS204"
"MTAL-503","Philosophical and Advocacy Issues in Music Teaching and Learning","","3.0 units","Lecture","43566D","001","5:00-7:50pm","Tuesday","15","0","0","Judy Lewis","MUS204"
"MTAL-505","Teaching and Learning Music","","2.0 units","Lecture","43571D","001","12:00-1:50pm","Thursday","15","2","0","Peter Webster","MUS303"
"MTAL-535","Community Engagement Through Music","","2.0 units","Lecture","43579D","622","6:00-8:05pm","Monday","15","0","0","Susan Helfter","MUS303"
"MTAL-588","Guided Practice","","3.0 units","Lecture","43606D","001","5:00-6:50pm","Thursday","15","0","0","Judy Lewis","MUS319"
"","","","","Lab","43607D","001","TBA","TBA","15","0","0","Judy Lewis","MUS317"
"MTAL-590","Directed Research","","1.0-12.0 units","Lecture","43610D","001","TBA","TBA","10","0","0","Beatriz Ilari","MUS317"
"MTAL-592","Final Project","P","2.0 units","Lecture","43615D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-594a","Master\'s Thesis","C","2.0 units","Lecture","43619D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-594b","Master\'s Thesis","PC","2.0 units","Lecture","43622D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-594z","Master\'s Thesis","PC","0.0 units","Lecture","43625D","001","TBA","TBA","2","0","0","Beatriz Ilari","MUS317"
"MTAL-605","College Teaching in Music Education","","2.0 units","Lecture","43632D","001","6:00-7:50pm","Thursday","15","1","0","Beatriz Ilari","MUS303"
"MTAL-608","Creative Thinking in Music","","3.0 units","Lecture","43638D","001","5:00-7:50pm","Wednesday","15","1","0","Peter Webster","MUS204"
"MTAL-650","Pedagogy for Collegiate Music Appreciation and Fundamentals","","2.0 units","Lecture","43648D","001","12:00-1:50pm","Wednesday","15","3","0","Susan Helfter","MUS204"
"MTAL-790","Research","","1.0-12.0 units","Lecture","43679D","001","TBA","TBA","5","0","0","Beatriz Ilari","MUS317"
"MTAL-794a","Doctoral Dissertation","C","2.0 units","Lecture","43685D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","43688D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","43691D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","43694D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
"MTAL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","43697D","001","TBA","TBA","6","0","0","Beatriz Ilari","MUS317"
'
