b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MTEC-175","Fundamentals of Audio Recording","","2.0 units","Lecture","43403D","001","12:00-1:50pm","Wednesday","60","1","0","Charles Gutierrez","KDC240"
"MTEC-176","Critical Listening","","2.0 units","Lecture","43404D","001","12:00-1:50pm","Monday","50","5","0","Charles Gutierrez","TMC AUD"
"MTEC-237a","Music Production I","","2.0 units","Lecture","43407D","001","2:00-3:50pm","Thursday","8","0","0","Rick Schmunk","TMC G110"
"MTEC-245","Introduction to MIDI Sequencing","","1.0 unit","Lecture","43410D","177","12:00-1:50pm","Tuesday","20","2","0","Charles Gutierrez","TMC G147"
"","","","","Lecture","43411D","177","12:00-1:50pm","Thursday","20","3","0","Timo Preece","TMC G147"
"","","","","Lecture","43412D","177","2:00-3:50pm","Thursday","20","4","0","Timo Preece","TMC G147"
"","","","","Lecture","43413D","177","10:00-11:50am","Monday","20","3","0","Charles Gutierrez","TMC G147"
"MTEC-246","Introduction to Audio Recording and Editing","","1.0 unit","Lecture","43416D","213","12:00-1:50pm","Tuesday","20","2","0","Charles Gutierrez","TMC G147"
"","","","","Lecture","43417D","213","12:00-1:50pm","Thursday","20","2","0","Timo Preece","TMC G147"
"","","","","Lecture","43418D","213","2:00-3:50pm","Thursday","20","3","0","Timo Preece","TMC G147"
"","","","","Lecture","43419D","213","10:00-11:50am","Monday","20","4","0","Charles Gutierrez","TMC G147"
"MTEC-275","Fundamentals of Audio Engineering","","4.0 units","Lecture","43427D","001","10:00-11:50am","Tuesday","18","13","9","Brian Malouf","MUS103"
"","","","","Lab","43428D","001","10:00-11:50am","Thursday","18","13","0","Brian Malouf","MUS103"
"MTEC-277x","Introduction to Music Technology","","4.0 units","Lecture","43430R","001","4:00-5:50pm","Mon, Wed","60","14","0","Charles Gutierrez","TMC G156"
"MTEC-301","Individual Instruction","","1.0-2.0 units, max 16","Lecture","43432D","001","TBA","TBA","10","0","0","Donald Crockett","MUS308"
"","","","","Lecture","43433D","001","TBA","TBA","20","0","0","Rick Schmunk","TMC118"
"MTEC-337a","Music Production II","P","2.0 units","Lecture","43435D","001","4:00-5:50pm","Thursday","8","2","0","Rick Schmunk","MUS103"
"MTEC-378","Introduction to Mixing and Mastering","P","2.0 units","Lecture","43438D","001","4:00-5:50pm","Thursday","20","8","0","Timo Preece","TMC G147"
"MTEC-430","Advanced Instrumental Recording","P","2.0 units","Lecture","43448D","001","6:00-7:50pm","Monday","18","1","0","Richard Mc Ilvery","MUS103"
"MTEC-437","Advanced Music Production for Non-Majors","","2.0 units","Lecture","43450D","001","10:00-11:50am","Thursday","8","6","0","Sean Holt","TMC G110"
"MTEC-443","Desktop Music Production","","2.0 units","Lecture","43452D","001","2:00-3:50pm","Monday","20","1","0","Michael Dennis Smith","TMC G147"
"","","","","Lecture","43453D","001","2:00-3:50pm","Wednesday","20","18","11","Michael Dennis Smith","TMC G147"
"MTEC-444","Non-Linear MIDI Sequencing","","2.0 units","Lecture","43454D","001","2:00-3:50pm","Tuesday","20","12","0","Timo Preece","TMC G147"
"MTEC-445","Advanced Desktop Music Production","","2.0 units","Lecture","43455D","001","2:00-3:50pm","Friday","20","1","0","Jae Deal","TMC G147"
"MTEC-446a","Computer Assisted Recording and Editing","","2.0 units","Lecture","43457D","001","10:00-11:50am","Tuesday","10","0","0","Rick Schmunk","TMC G147"
"","","","","Lecture","43458D","001","12:00-1:50pm","Wednesday","20","13","2","Jae Deal","TMC G147"
"","","","","Lecture","43459D","001","4:00-5:50pm","Tuesday","20","16","2","Charles Gutierrez","TMC G147"
"MTEC-446b","Computer Assisted Recording and Editing","P","2.0 units","Lecture","43460D","001","4:00-5:50pm","Wednesday","20","4","0","Michael Dennis Smith","TMC G147"
"MTEC-474a","Electronic Synthesizer Techniques","","2.0-4.0 units","Lecture","43464D","001","12:00-1:50pm","Monday","20","13","0","Michael Dennis Smith","TMC G147"
"MTEC-474b","Electronic Synthesizer Techniques","P","2.0-4.0 units","Lecture","43465D","001","4:00-5:50pm","Monday","20","7","0","Timo Preece","TMC G147"
"MTEC-478","Advanced Multichannel Remix","P","2.0 units","Lecture","43467D","001","4:00-5:50pm","Tuesday","12","5","0","Brian Malouf","MUS103"
"MTEC-479","Audio Mastering","P","2.0 units","Lecture","43468D","001","7:00-8:50pm","Thursday","18","1","0","Brian Malouf","MUS103"
"MTEC-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","43473D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-491","The Recording Console","P","4.0 units","Lecture","43476D","001","2:00-3:50pm","Mon, Wed","18","0","0","Richard Mc Ilvery","MUS103"
"MTEC-493","Audio Signal Processing Equipment","P","2.0 units","Lecture","43477D","001","7:00-8:50pm","Tuesday","18","0","0","Brian Malouf","MUS103"
"MTEC-498a","Senior Project","","1.0 unit","Lecture","43479D","001","TBA","TBA","10","2","0","Rick Schmunk,<br />Christopher Sampson","TMC118"
"MTEC-501","Individual Instruction","","1.0-2.0 units, max 8","Lecture","43485D","001","TBA","TBA","10","0","0","Donald Crockett","MUS308"
"","","","","Lecture","43486D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-590","Directed Research","","1.0-12.0 units","Lecture","43492D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-790","Research","","1.0-12.0 units","Lecture","43497D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
'
