b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCD-340","Choral Conducting I","","2.0 units","Lecture","43215D","001","8:30-9:50am","Tue, Thu","14","1","0","Mike Scheibe","MUS106"
"MUCD-343","Instrumental Conducting I","","2.0 units","Lecture","43220D","001","9:00-9:50am","MWF","14","1","0","Troy Quinn","MUS105"
"","","","","Lecture","43225D","001","12:00-12:50pm","Mon, Wed","14","6","0","Sharon Lavery","MUS105, AES138A"
"MUCD-441","Choral Conducting II","P","2.0 units","Lecture","43245D","001","8:00-9:50am","Tue, Thu","12","2","0","Cristian Grases","BMH100"
"MUCD-443","Instrumental Conducting II","","2.0 units","Lecture","43255D","001","12:00-1:50pm","Mon, Wed","12","1","0","Troy Quinn","MUS208"
"","","","","Lecture","43256D","001","10:00-11:50am","Mon, Wed","12","10","3","Sharon Lavery","MUS105"
"","","","","Lecture","43257D","001","10:00-11:50am","Tue, Thu","12","1","0","Larry Livingston","MUS105"
"MUCD-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","43260D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","","","","Lecture","43263D","001","TBA","TBA","10","0","0","Larry Livingston","MUS308"
"MUCD-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Choral Conducting","","1.0-2.0","Lecture","43280D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","Instrumental Conducting","","1.0-2.0","Lecture","43285D","001","TBA","TBA","12","2","0","Larry Livingston","MUS308"
"MUCD-541","Choral Conducting III","P","2.0 units, max 6","Lecture","43295D","001","10:00-11:50am","Mon, Wed","10","0","0","Tram Sparks","AES138A"
"MUCD-543","Instrumental Conducting III","P","2.0 units, max 4","Lecture","43300D","001","12:00-1:50pm","Tue, Thu","10","1","0","Larry Livingston","MUS208"
"MUCD-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Choral Conducting","","1.0-2.0","Lecture","43310D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","Instrumental Conducting","","1.0-2.0","Lecture","43315D","001","TBA","TBA","10","0","0","Larry Livingston","MUS308"
"MUCD-590","Directed Research","","1.0-12.0 units","Lecture","43320D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","","","","Lecture","43323D","001","TBA","TBA","10","0","0","Larry Livingston","MUS308"
"MUCD-641","Choral Conducting IV","P","2.0 units, max 8","Lecture","43330D","001","10:00-11:50am","Mon, Wed","6","0","0","Tram Sparks","AES138A"
"MUCD-653","Performance","","1.0-2.0 units, max 12"
"","Choral Conducting","","1.0-2.0","Lecture","43335D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","Instrumental Conducting","","1.0-2.0","Lecture","43338D","001","TBA","TBA","10","0","0","Larry Livingston","MUS308"
"MUCD-790","Research","","1.0-12.0 units","Lecture","43360D","001","TBA","TBA","10","0","0","Mike Scheibe","MUS416"
"","","","","Lecture","43365D","001","TBA","TBA","10","0","0","Larry Livingston","MUS308"
'
