b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCO-101x","Fundamentals of Music Theory","","2.0 units","Lecture","42700R","001","8:00-8:50am","Mon, Wed","25","2","0","Mark Weiser","MUS204"
"MUCO-130ax","Basics of Music Theory","","3.0 units","Lecture","42705D","001","2:00-3:20pm","Mon, Wed","25","20","3","Mark Weiser","MUS303"
"MUCO-131a","Harmony in Popular Music","P","2.0 units","Lecture","42709D","001","9:00-9:50am","Tue, Thu","16","0","0","Mark Weiser","TMC G150"
"","","","","Lecture","42710D","001","11:00-11:50am","Tue, Thu","16","1","0","Mark Weiser","TMC G150"
"MUCO-132a","Aural Skills I","","2.0 units","Lecture","42712D","001","10:00-10:50am","Mon, Wed","16","0","0","Mark Weiser","TMC G156"
"","","","","Lab","42713D","001","10:00-10:50am","Friday","8","0","0","Mark Weiser","TMC G156"
"","","","","Lab","42714D","001","1:00-1:50pm","Friday","8","0","0","Mark Weiser","TMC G156"
"","","","","Lecture","42716D","001","10:00-10:50am","Mon, Wed","16","0","0","Chris Roze","MUS303"
"","","","","Lab","42717D","001","8:00-8:50am","Friday","8","0","0","Chris Roze","MUS303"
"","","","","Lab","42718D","001","9:00-9:50am","Friday","8","0","0","Chris Roze","MUS303"
"","","","","Lecture","42720D","001","10:00-10:50am","Mon, Wed","16","0","0","Mark Weiser","BMH200"
"","","","","Lab","42721D","001","8:00-8:50am","Friday","8","0","0","Mark Weiser","BMH200"
"","","","","Lab","42722D","001","9:00-9:50am","Friday","8","0","0","Mark Weiser","BMH200"
"","","","","Lecture","42724D","001","10:00-10:50am","Mon, Wed","16","0","0","Veronika Krausas","MUS204"
"","","","","Lab","42725D","001","10:00-10:50am","Friday","8","0","0","Veronika Krausas","MUS204"
"","","","","Lab","42726D","001","1:00-1:50pm","Friday","8","0","0","Veronika Krausas","MUS204"
"","","","","Lecture","42728D","001","10:00-10:50am","Mon, Wed","16","0","0","Mark Weiser","TMC G128"
"","","","","Lab","42729D","001","8:00-8:50am","Friday","8","0","0","Mark Weiser","TMC G128"
"","","","","Lab","42730D","001","9:00-9:50am","Friday","8","0","0","Mark Weiser","TMC G128"
"MUCO-133a","Theory I","","3.0 units","Lecture","42768D","001","8:00-9:50am","Tue, Thu","16","0","0","Mark Weiser","TMC G156"
"","","","","Lecture","42769D","001","8:00-9:50am","Tue, Thu","16","0","0","Chris Roze","MUS303"
"","","","","Lecture","42770D","001","8:00-9:50am","Tue, Thu","16","0","0","Mark Weiser","BMH200"
"","","","","Lecture","42771D","001","8:00-9:50am","Tue, Thu","16","0","0","Veronika Krausas","MUS204"
"","","","","Lecture","42772D","001","8:00-9:50am","Tue, Thu","16","0","0","Mark Weiser","TMC G128"
"MUCO-135","Counterpoint I","","2.0 units","Lecture","42785D","001","12:00-1:50pm","Wednesday","18","0","0","Mark Weiser","BMH200"
"MUCO-137a","Composition I","","4.0 units","Lecture","42789D","001","12:00-1:50pm","Tuesday","15","0","0","Andrew Norman","MUS204, MUS308"
"","","","","Lab","42790D","001","11:00-12:20pm","Friday","15","0","0","Andrew Norman","BMH100"
"MUCO-221ax","Composition for Non-Majors","","2.0 units","Lecture","42796D","001","4:00-5:50pm","Monday","16","0","0","Mark Weiser","MUS303"
"MUCO-232a","Aural Skills II","","2.0 units","Lecture","42801D","001","9:00-9:50am","Mon, Wed","20","1","0","Chris Roze","MUS303"
"","","","","Lab","42802D","001","10:00-10:50am","Friday","10","1","0","Chris Roze","MUS303"
"","","","","Lab","42803D","001","1:00-1:50pm","Friday","10","0","0","Chris Roze","MUS303"
"","","","","Lecture","42805D","001","9:00-9:50am","Mon, Wed","20","2","0","Veronika Krausas","MUS204"
"","","","","Lab","42806D","001","8:00-8:50am","Friday","10","2","0","Veronika Krausas","MUS204"
"","","","","Lab","42807D","001","9:00-9:50am","Friday","10","0","0","Veronika Krausas","MUS204"
"","","","","Lecture","42813D","001","8:00-8:50am","Mon, Wed","16","0","0","Mark Weiser","TMC G150"
"","","","","Lab","42814D","001","10:00-10:50am","Friday","8","0","0","Mark Weiser","TMC G150"
"","","","","Lab","42815D","001","1:00-1:50pm","Friday","8","0","0","Mark Weiser","TMC G150"
"","","","","Lecture","42817D","001","9:00-9:50am","Mon, Wed","16","1","0","Mark Weiser","TMC G150"
"","","","","Lab","42818D","001","8:00-8:50am","Friday","8","0","0","Mark Weiser","TMC G150"
"","","","","Lab","42819D","001","9:00-9:50am","Friday","8","1","0","Mark Weiser","TMC G150"
"MUCO-233a","Theory II","P","3.0 units","Lecture","42854D","001","10:00-11:50am","Tue, Thu","20","2","0","Chris Roze","MUS303"
"","","","","Lecture","42856D","001","10:00-11:50am","Tue, Thu","20","2","0","Veronika Krausas","MUS204"
"MUCO-237a","Composition II","P","4.0 units","Lecture","42880D","001","12:00-1:50pm","Thursday","14","0","0","Ted Hearne","MUS204, MUS308"
"","","","","Lab","42881D","001","11:00-12:20pm","Friday","14","0","0","Ted Hearne","BMH100"
"MUCO-300","Theory Review","","1.0 unit","Lecture","42910D","001","10:00-11:50am","Thursday","20","0","0","Neal Desby","BMH200"
"MUCO-321","Composition for Non-Majors II","PM","1.0-2.0 units, max 8","Lecture","42916D","001","TBA","TBA","10","1","0","Mark Weiser","MUS308"
"MUCO-333","Aural Skills Review","","1.0 unit","Lecture","42920D","001","10:00-11:50am","Tuesday","20","1","0","Neal Desby","BMH200"
"MUCO-337a","Composition III","P","2.0 units","Lecture","42940D","001","TBA","TBA","8","1","0","Donald Crockett","MUS308"
"","","","","Lab","42941D","001","11:00-12:20pm","Friday","8","1","0","Donald Crockett","BMH100"
"MUCO-338x","Elementary Orchestration","","2.0 units","Lecture","42950D","001","1:00-1:50pm","Tue, Thu","20","6","0","Neal Desby","TMC G156"
"","","","","Lecture","42951D","001","11:00-11:50am","Mon, Wed","20","12","0","Frank Ticheli","TMC G156"
"MUCO-339","Orchestration Review","","1.0 unit","Lecture","42955D","001","9:00-9:50am","Mon, Wed","15","0","0","Frank Ticheli","MUS319"
