b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUEN-222","Trojan Marching Band","","1.0 unit","Lecture","43700R","001","4:00-5:50pm","TuThF","80","11","0","Arthur Bartner","OFFICE, OFFICE"
"MUEN-305","Vocal Jazz Ensemble","","1.0 unit","Lecture","43705D","001","4:00-5:50pm","Tue, Thu","20","0","0","Sara Gazarek","TMC G128"
"MUEN-307","University Chorus","","1.0 units, max 8","Lecture","43710R","001","7:00-8:50pm","Wednesday","60","3","0","Yen-Hsiang Nieh","BMH100"
"MUEN-308","USC Apollo Chorus","","1.0 units, max 8","Lecture","43715R","001","4:00-5:50pm","Mon, Wed","60","0","0","Mike Scheibe","MUS106"
"MUEN-310","University Concert Choir","","1.0 units, max 8","Lecture","43725D","001","2:00-3:50pm","TuThF","60","0","0","Cristian Grases","MUS106"
"MUEN-311","USC Oriana Choir","","1.0 units, max 8","Lecture","43730R","001","4:00-5:50pm","Tue, Thu","60","2","0","Daniel Strychacz","MUS106"
"MUEN-312","Chamber Singers","","1.0 units, max 8","Lecture","43735D","001","2:00-3:50pm","MWF","25","0","0","Mike Scheibe","MUS106"
"MUEN-314","Opera Chorus","","1.0 units, max 8","Lecture","43740D","001","7:00-9:50pm","Tuesday","20","0","0","<a href="http://www.usc.edu/schools/music/private/faculty/mcmunn.php">Brent McMunn,</a>Ken Cazan","MUS105"
"MUEN-320","USC Symphony","","1.0 units, max 8","Lecture","43745D","001","2:00-4:50pm","MWF","60","3","0","Sharon Lavery","AES138A"
"MUEN-322","Trojan Marching Band","","1.0 units, max 4","Lecture","43755R","001","4:00-5:50pm","TuThF","80","1","0","Arthur Bartner","OFFICE, OFFICE"
"MUEN-323","University Wind Ensemble","","1.0 units, max 8","Lecture","43760D","001","2:00-4:50pm","MWF","70","7","0","Sharon Lavery","AES138A"
"MUEN-325","Wind and Percussion Chamber Music","","1.0 units, max 8","Lecture","43770D","001","TBA","TBA","70","7","0","Kristy Morrell","MUS308"
"","","","","Lecture","43771D","001","TBA","TBA","70","0","0","Kristy Morrell,<br />Joel Timm","MUS308"
"MUEN-326","Guitar Ensemble","","1.0 units, max 8","Lecture","43774D","001","2:00-4:50pm","Tue, Thu","20","0","0","<a href="https://music.usc.edu/william-kanengiser/">William Kanengiser,</a><a href="http://www.scott-tennant.net">Scott Tennant</a>","BMH100"
"","","","","Lecture","43776D","001","TBA","TBA","30","0","0","Nick Stoubis","TMC118"
"MUEN-327","String Chamber Music","","1.0 units, max 8","Lecture","43800D","001","TBA","TBA","30","3","0","Lina Bahn","RHM112"
"","","","","Lecture","43801D","001","TBA","TBA","30","0","0","Lina Bahn","RHM112"
"MUEN-328","Keyboard Collaboration","","1.0 units, max 4","Lecture","43804D","001","TBA","TBA","30","9","0","Alan Smith","RHM112"
"MUEN-329","Jazz Ensemble","","1.0 units, max 8","Lecture","43812D","001","TBA","TBA","50","1","0","Bob Mintzer","TMC118"
"MUEN-330","Contemporary Music Ensemble","","1.0 units, max 8","Lecture","43830D","001","2:00-3:50pm","Tue, Thu","20","0","0","Donald Crockett","AES138A"
"","","","","Lecture","43831D","001","4:30-6:20pm","Tuesday","20","0","0","Donald Crockett","AES138A"
"MUEN-331","Guitar Big Band","","1.0 units, max 8","Lecture","43832D","001","TBA","TBA","12","0","0","Nick Stoubis","TMC118"
"MUEN-332","Jazz Chamber Music","","1.0 units, max 8","Lecture","43835D","001","TBA","TBA","70","5","0","Bob Mintzer","TMC118"
"MUEN-344","Vocal Chamber Music","","1.0 units, max 8","Lecture","43845D","001","TBA","TBA","16","0","0","Lisa Sylvester","RHM112"
"MUEN-350","Early Music Ensemble","","1.0 units, max 8","Lecture","43855D","001","2:00-4:50pm","Tue, Thu","10","1","0","Rotem Gilbert","UGW120"
"MUEN-505","Vocal Jazz Ensemble","C","1.0 unit","Lecture","43870D","001","4:00-5:50pm","Tue, Thu","20","0","0","Sara Gazarek","TMC G128"
"MUEN-507","University Chorus","C","1.0 unit","Lecture","43875R","001","7:00-8:50pm","Wednesday","60","0","0","Yen-Hsiang Nieh","BMH100"
"MUEN-508","USC Apollo Chorus","","1.0 units, max 4","Lecture","43880R","001","4:00-5:50pm","Mon, Wed","60","0","0","Mike Scheibe","MUS106"
"MUEN-510","University Concert Choir","C","1.0 units, max 4","Lecture","43886D","001","2:00-3:50pm","TuThF","60","0","0","Cristian Grases","MUS106"
"MUEN-511","USC Oriana Choir","","1.0 units, max 4","Lecture","43890R","001","4:00-5:50pm","Tue, Thu","60","0","0","Daniel Strychacz","MUS106"
"MUEN-512","Chamber Singers","","1.0 units, max 4","Lecture","43896D","001","2:00-3:50pm","MWF","25","0","0","Mike Scheibe","MUS106"
"MUEN-514","Opera Chorus","C","1.0 units, max 4","Lecture","43899D","001","7:00-9:50pm","Tuesday","20","0","0","<a href="http://www.usc.edu/schools/music/private/faculty/mcmunn.php">Brent McMunn,</a>Ken Cazan","MUS105"
"MUEN-520","USC Symphony","C","1.0 units, max 4","Lecture","43902D","001","2:00-4:50pm","MWF","100","6","0","Sharon Lavery","AES138A"
"MUEN-523","University Wind Ensemble","C","1.0 units, max 4","Lecture","43908D","001","2:00-4:50pm","MWF","100","4","0","Sharon Lavery","AES138A"
"MUEN-525","Wind and Percussion Chamber Music","","1.0 units, max 4","Lecture","43918D","001","TBA","TBA","100","4","0","Kristy Morrell","MUS308"
"","","","","Lecture","43919D","001","TBA","TBA","100","0","0","Kristy Morrell,<br />Joel Timm","MUS308"
"MUEN-526","Guitar Ensemble","","1.0 units, max 4","Lecture","43922D","001","2:00-4:50pm","Tue, Thu","20","2","0","<a href="https://music.usc.edu/william-kanengiser/">William Kanengiser,</a><a href="http://www.scott-tennant.net">Scott Tennant</a>","BMH100"
"","","","","Lecture","43926D","001","TBA","TBA","15","5","0","Nick Stoubis","TMC118"
"MUEN-527","String Chamber Music","","1.0 units, max 4","Lecture","43942D","001","TBA","TBA","30","3","0","Lina Bahn","RHM112"
"","","","","Lecture","43943D","001","TBA","TBA","30","0","0","Lina Bahn","RHM112"
"MUEN-528","Keyboard Collaboration","","1.0 units, max 4","Lecture","43945D","001","TBA","TBA","30","1","0","Alan Smith","RHM112"
"MUEN-529","Jazz Ensemble","C","1.0 units, max 4","Lecture","43947D","001","TBA","TBA","30","2","0","Bob Mintzer","TMC118"
"MUEN-530","Contemporary Music Ensemble","","1.0 units, max 4","Lecture","43965D","001","2:00-3:50pm","Tue, Thu","20","1","0","Donald Crockett","AES138A"
"","","","","Lecture","43966D","001","4:30-6:20pm","Tuesday","20","1","0","Donald Crockett","AES138A"
"MUEN-531","Guitar Big Band","","1.0 units, max 4","Lecture","43968D","001","TBA","TBA","10","0","0","Nick Stoubis","TMC118"
"MUEN-532","Jazz Chamber Music","","1.0 units, max 4","Lecture","43970D","001","TBA","TBA","20","2","0","Bob Mintzer","TMC118"
"MUEN-544","Vocal Chamber Music","C","1.0 units, max 4","Lecture","43975D","001","TBA","TBA","16","0","0","Lisa Sylvester","RHM112"
"MUEN-550","Early Music Ensemble","C","1.0 units, max 4","Lecture","43989D","001","2:00-4:50pm","Tue, Thu","10","1","0","Rotem Gilbert","UGW120"
"MUEN-628","Keyboard Collaboration","","1.0 units, max 4","Lecture","43990D","001","TBA","TBA","20","0","0","Alan Smith","RHM112"
"MUEN-650","Early Music Ensemble","","1.0 units, max 8","Lecture","43995D","001","2:00-4:50pm","Tue, Thu","10","1","0","Rotem Gilbert","UGW120"
'
