b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUHL-250g","Music and Ideas","","4.0 units","Lecture-Discussion","44000D","001","10:00-11:50am","Mon, Wed","80","5","0","Lisa Vest","BMH100"
"MUHL-350g","Western Art Music History I","","4.0 units","Lecture","44009D","001","10:00-11:50am","Tue, Thu","45","14","0","Bruce Brown","TMC G156"
"MUHL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","44031D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-570","Research Materials and Techniques","","2.0 units","Lecture","44058D","001","12:00-1:50pm","Monday","20","0","0","Leah Morrison","KDC241"
"","","","","Lecture","44059D","001","12:00-1:50pm","Tuesday","20","1","0","Joanna Demers","MUS303"
"","","","","Lecture","44060D","001","6:00-7:50pm","Tuesday","20","0","0","Bruce Brown","MUS303"
"MUHL-575","Music of the Baroque Era","P","2.0 units","Lecture","44074D","001","12:00-1:50pm","Wednesday","25","9","0","Rotem Gilbert","KDC241"
"MUHL-588","Special Studies in Music Since 1900","P","2.0 units, max 6","Lecture","44109D","001","4:00-5:50pm","Thursday","25","4","0","Joanna Demers","MUS303"
"","","","","Lecture","44110D","001","12:00-1:50pm","Tuesday","25","20","2","Tim Page","KDC236"
"MUHL-590","Directed Research","P","1.0-12.0 units","Lecture","44115D","001","TBA","TBA","5","0","0","Joanna Demers","MUS308"
"MUHL-591","Seminar in Baroque Repertories and Performance Practice","","2.0 units","Lecture","44118D","001","10:00-11:50am","Tuesday","17","5","0","Rotem Gilbert","UGW120"
"MUHL-594a","Master\'s Thesis","C","2.0 units","Lecture","44122D","001","TBA","TBA","5","1","0","Rotem Gilbert","MUS308"
"MUHL-594b","Master\'s Thesis","PC","2.0 units","Lecture","44125D","001","TBA","TBA","5","0","0","Rotem Gilbert","MUS308"
"MUHL-594z","Master\'s Thesis","PC","0.0 units","Lecture","44128D","001","TBA","TBA","5","0","0","Rotem Gilbert","MUS308"
"MUHL-681","Studies in Musicology","P","4.0 units, max 16","Lecture","44149D","001","5:00-7:50pm","Tuesday","15","1","0","Sean Nye","MUS319"
"MUHL-790","Research","P","1.0-12.0 units","Lecture","44180D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794a","Doctoral Dissertation","C","2.0 units","Lecture","44185D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","44188D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","44191D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","44194D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
"MUHL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","44197D","001","TBA","TBA","10","0","0","Joanna Demers","MUS308"
'
