b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUIN-270","Introduction to the Music Industry","M","4.0 units","Lecture","44205D","001","12:00-1:50pm","Tue, Thu","60","1","0","Paul Young","KDC240"
"MUIN-272x","Basics of the Music Industry","","4.0 units","Lecture","44209R","001","4:00-5:50pm","Tue, Thu","60","31","0","Michael Garcia","KDC240"
"MUIN-280","Communications in the Music Industry","P","4.0 units","Lecture","44213D","001","6:30-10:00pm","Monday","60","26","0","Loren Medina","KDC240"
"MUIN-360","Introduction to Music Law","P","4.0 units","Lecture","44240D","001","6:00-7:50pm","Tue, Thu","36","9","0","Mark Goldstein","TMC G156"
"MUIN-372","Business and Legal Aspects of the Music Industry","P","4.0 units","Lecture","44247D","001","2:00-3:50pm","Tue, Thu","60","32","0","Paul Young","KDC240"
"MUIN-410","Marketing, Branding and Strategic Alliances in Music","P","2.0 units","Lecture","44256D","001","6:00-7:50pm","Tuesday","40","25","1","Kevin Lyman","KDC240"
"MUIN-420","DIY Music Marketing","P","2.0 units","Lecture","44260D","001","6:00-7:50pm","Thursday","35","25","5","Trudy Green","KDC240"
"MUIN-425","Live Music Production and Promotion","","4.0 units","Lecture","44264D","001","12:00-1:50pm","Tue, Thu","60","32","0","<a href="http://faculty evaluation template">Michael Garcia,</a><a href="http://www.kmgmt.com">Michael Kaminsky</a>","CTV136A"
"MUIN-444","Music Supervision","P","4.0 units","Lecture","44282D","001","6:30-10:00pm","Wednesday","30","20","0","Lindsay Wolfington","KDC240"
"MUIN-450","Practicum in Music Industry Issues (Internship)","PC","2.0-4.0 units, max 8","Lecture","44290D","001","12:00-1:50pm","Friday","60","22","0","Mark Goldstein","KDC240"
"MUIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","44306D","001","TBA","TBA","30","0","0","Michael Garcia","TMC118"
"MUIN-496","Music Media Solutions","C","4.0 units","Lecture","44314D","001","4:00-5:50pm","Tue, Thu","12","0","0","Kevin Lyman","TMC G150"
"MUIN-497","Current Topics, Case Studies, and Analysis","P","2.0 units, max 6"
"","Big Data, Ticketing and Marketing in Live Music Promotion","","2.0","Lecture","44318D","001","8:00-9:50pm","Thursday","20","15","16","Vivian Wang,<br /><a href="http://www.kmgmt.com">Michael Kaminsky</a>","TMC112"
"","Music Festival Design and Management","","2.0","Lecture","44319D","001","6:00-7:50pm","Thursday","20","11","4","Kevin Lyman","TMC112"
"","Music Industry Toolkit","","2.0","Lecture","44320D","001","10:00-11:50am","Wednesday","20","16","29","Michael Garcia","TMC112"
"MUIN-498a","Final Capstone Project","P","1.0 unit","Lecture","44324D","001","TBA","TBA","75","63","0","Michael Garcia","TMC118"
"MUIN-498b","Final Capstone Project","P","1.0 unit","Lecture","44327D","001","TBA","TBA","10","8","0","Michael Garcia","TMC118"
"MUIN-510","The Music Industry: Careers, Rights and Income Streams","","4.0 units","Lecture","44336D","001","10:00-11:50am","Tue, Thu","24","0","0","Paul Young","KDC241"
"MUIN-512","The Management of Live Performances","","2.0 units","Lecture","44342D","001","2:00-3:50pm","Tuesday","24","0","0","Michael Garcia","TMC112"
"MUIN-515","Live Touring Strategy","","2.0 units","Lecture","44346D","001","2:00-3:50pm","Thursday","24","0","0","Trudy Green","TMC112"
"MUIN-522","Music Marketing, Branding and Campaigns","","3.0 units","Lecture","44356D","001","12:00-1:20pm","Tue, Thu","24","0","0","Kevin Lyman","TMC112"
"MUIN-540","Artist Management: Campaign Execution and Hindsight Analysis","P","2.0 units","Lecture","44374D","001","6:00-7:50pm","Tuesday","24","12","0","Trudy Green","KDC241"
"MUIN-541","Data Analytics: Music Marketing Decisions and Presentations","P","2.0 units","Lecture","44377D","001","6:00-7:50pm","Thursday","24","12","0","Michael Garcia","KDC241"
"MUIN-542","Developing Copyright Laws and Business Models","P","3.0 units","Lecture","44380D","001","4:30-5:50pm","Tue, Thu","24","12","0","Mark Goldstein","TMC112"
"MUIN-590","Directed Research","","1.0-12.0 units","Lecture","44386D","001","TBA","TBA","15","0","0","Michael Garcia","TMC118"
"MUIN-598","Internship","P","1.0 units, max 4","Lecture","44390D","001","TBA","TBA","24","11","0","Mark Goldstein","TMC118"
"MUIN-790","Research","","1.0-12.0 units","Lecture","44397D","001","TBA","TBA","10","0","0","Michael Garcia","TMC118"
'
