b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUSC-102gw","World Music","","4.0 units","Lecture","47203R","001","6:00-7:50pm","Tue, Thu","140","25","0","Joanna Demers","THH202"
"MUSC-115gp","Western Music as Sounding History","","4.0 units","Lecture","47208R","001","10:00-11:50am","Tue, Thu","100","16","0","Nathaniel Sloan","BMH100"
"MUSC-200mgw","The Broadway Musical: Reflections of American Diversity","","4.0 units","Lecture","47213R","001","4:00-5:50pm","Tue, Thu","150","37","0","Parmer Fuller","THH202"
"MUSC-210g","Electronic Music and Dance Culture","","4.0 units","Lecture","47216R","001","2:00-3:50pm","Mon, Wed","100","6","0","Sean Nye","BMH100"
"MUSC-250mgw","The Music of Black Americans","","4.0 units","Lecture","47220R","001","2:00-3:50pm","Mon, Wed","60","7","0","Ron Mc Curdy","KDC240"
"MUSC-255","Songwriting I","","2.0 units","Lecture","47223D","001","5:00-6:50pm","Monday","25","0","0","Christopher Sampson","TMC AUD"
"","","","","Lecture","47224D","001","4:00-5:50pm","Thursday","25","2","0","David Poe","TMC AUD"
"","","","","Lecture","47225D","001","4:00-5:50pm","Wednesday","25","1","0","Andrea Stolpe","TMC AUD"
"","","","","Lecture","47226D","001","12:00-1:50pm","Thursday","25","0","0","David Poe","TMC AUD"
"","","","","Lecture","47227D","001","4:00-5:50pm","Tuesday","25","1","0","Andrea Stolpe","TMC AUD"
"MUSC-320mgw","Hip-hop Music and Culture","","4.0 units","Lecture","47229R","001","2:00-3:50pm","Tue, Thu","140","45","0","Joanna Demers","MRF340"
"MUSC-355","Songwriting II","P","2.0 units","Lecture","47234R","001","6:00-7:50pm","Tuesday","25","21","0","Andrea Stolpe","TMC AUD"
"MUSC-422","The Beatles: Their Music and Their Times","","4.0 units","Lecture","47249R","001","4:00-5:50pm","Mon, Wed","120","22","0","Bill Biersach","THH202"
"MUSC-423","Classic Rock: Popular Music of the Sixties and Seventies","","2.0 units","Lecture","47252R","001","6:00-7:50pm","Monday","120","16","0","Bill Biersach","THH202"
"MUSC-424","Iconic Figures of Popular Music","","2.0 units, max 8"
"","The Music of the Grateful Dead","","2.0","Lecture","47255R","001","10:00-11:50am","Monday","20","12","0","Bill Biersach","KDC241"
"","The Music of The Doors","","2.0","Lecture","47256R","001","10:00-11:50am","Wednesday","20","11","0","Bill Biersach","KDC241"
"MUSC-455","Songwriting III: The Performing Songwriter","P","2.0 units","Lecture","47263R","001","6:00-7:50pm","Wednesday","25","3","0","David Poe","TMC AUD"
"","","","","Lecture","47264D","001","2:00-3:50pm","Thursday","25","2","0","Sean Holt","TMC AUD"
"MUSC-460","Film Music: History and Function From 1930 to the Present","","4.0 units","Lecture","47266R","001","4:00-5:50pm","Tue, Thu","60","14","0","Jon Burlingame","TMC G156"
"MUSC-496","Careers in Music","C","2.0 units","Lecture","47277D","001","12:00-1:50pm","Thursday","30","20","0","Christopher Sampson","KDC236"
"MUSC-498x","Internship in Music","MC","1.0-4.0 units, max 8","Lecture","47280D","001","TBA","TBA","20","0","0","Brian Head","MUS308"
"MUSC-598","Internship in Music","M","1.0-4.0 units, max 4","Lecture","47286D","001","TBA","TBA","20","0","0","Brian Head","MUS308"
"","","","","Lecture","47289D","001","TBA","TBA","10","0","0","Kenneth Foster","MUS415"
"MUSC-798","Internship in Music","MC","1.0-4.0 units, max 4","Lecture","47294D","001","TBA","TBA","20","0","0","Brian Head","MUS308"
"MUSC-800","Studies for the Qualifying Examination in Music","MC","0.0 units","Lecture","47297D","001","TBA","TBA","30","3","0","Brian Head","MUS308"
'
