b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NEUR-421","Neurobiology","P","4.0 units","Lecture","13033R","001","11:00-11:50am","MWF","200","68","0","<a href="http://dornsife.usc.edu/cf/bisc/faculty_display.cfm?Person_ID=1003354">Judith Hirsch,</a><a href="http://www-rcf.usc.edu/~liman/index.html">Emily Liman,</a><a href="https://dornsife.usc.edu/labs/dickmanlab">Dion Dickman</a>","SAL101"
"","","","","Discussion","13395R","001","2:00-3:50pm","Thursday","25","6","0","","ZHS360"
"","","","","Discussion","13396R","001","2:00-3:50pm","Friday","25","4","0","","ZHS360"
"","","","","Discussion","13397R","001","2:00-3:50pm","Monday","25","14","0","","ZHS360"
"","","","","Discussion","13398R","001","2:00-3:50pm","Wednesday","25","3","0","","ZHS360"
"","","","","Discussion","13399R","001","12:00-1:50pm","Friday","25","9","0","","ZHS360"
"","","","","Discussion","13400R","001","12:00-1:50pm","Wednesday","25","22","0","","ZHS360"
"","","","","Discussion","13401R","001","2:00-3:50pm","Tuesday","25","8","0","","ZHS360"
"","","","","Discussion","13402R","001","8:00-9:50am","Thursday","25","2","0","","ZHS360"
"NEUR-440","Introduction to Cognitive Neuroscience","P","4.0 units","Lecture","52442R","001","2:00-3:50pm","Mon, Wed","40","40","0","Irving Biederman","HNB100"
"NEUR-462","Seminar in Neurobiology","C","2.0 units, max 4"
"","Sensory Circuits and Systems: From Foundational Studies to Current Concepts","","2.0","Lecture","13040D","001","4:00-5:50pm","Monday","15","6","0","Judith Hirsch","HNB120"
"NEUR-490x","Directed Research","","1.0-4.0 units, max 12","Lecture","47600D","001","TBA","TBA","40","0","0","","OFFICE"
"NEUR-493x","Neuroscience Honors Seminar","P","1.0 units, max 4","Lecture","47643D","001","12:00-12:50pm","Thursday","20","12","0","","HNB120"
"NEUR-494x","Honors Thesis","","2.0 units","Lecture","47644D","001","12:00-12:50pm","Thursday","20","1","0","","HNB120"
'
