b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NSCI-524","Advanced Overview of Neurosciences","PC","4.0 units","Lecture","47654D","001","11:00-1:00pm","Tue, Thu","45","0","0","",""
"NSCI-539","Seminar in Neurobiology","C","1.0 units, max 4","Lecture","47659D","001","1:30-2:30pm","Thursday","60","0","0","","OFFICE"
"NSCI-541","Advanced Seminars in Neuroscience","PC","2.0 units, max 12","Lecture","47653D","001","2:00-3:40pm","Friday","8","0","0","",""
"NSCI-790","Research","MC","1.0-12.0 units","Lecture","47660D","001","TBA","TBA","100","0","0","","OFFICE"
"NSCI-794a","Doctoral Dissertation","MC","2.0 units","Lecture","47670D","001","TBA","TBA","50","0","0","","OFFICE"
"NSCI-794b","Doctoral Dissertation","PMC","2.0 units","Lecture","47671D","001","TBA","TBA","50","0","0","","OFFICE"
"NSCI-794c","Doctoral Dissertation","PMC","2.0 units","Lecture","47672D","001","TBA","TBA","50","0","0","","OFFICE"
"NSCI-794d","Doctoral Dissertation","PMC","2.0 units","Lecture","47673D","001","TBA","TBA","50","0","0","","OFFICE"
"NSCI-794z","Doctoral Dissertation","PMC","0.0 units","Lecture","47674D","001","TBA","TBA","50","0","0","","OFFICE"
'
