b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"OT-100","THRIVE: Foundations of Well-Being","","1.0 unit","Lecture","48019R","160","5:00-5:50pm","Tuesday","328","12","0","Ashley Uyeshiro,<br />Kate Crowley","THH101"
"","Connection Session","","0.0","Discussion","48020R","160","6:30-7:20pm","Tuesday","20","2","0","","THH121"
"","Connection Session","","0.0","Discussion","48022R","160","6:30-7:20pm","Tuesday","20","0","0","","THH112"
"","Connection Session","","0.0","Discussion","48023R","160","10:00-10:50am","Wednesday","20","0","0","","KAP164"
"","Connection Session","","0.0","Discussion","48024R","160","11:00-11:50am","Wednesday","20","2","0","","KAP164"
"","Connection Session","","0.0","Discussion","48025R","160","12:00-12:50pm","Wednesday","20","2","0","","SOSB47"
"","Connection Session","","0.0","Discussion","48026R","160","1:00-1:50pm","Wednesday","20","0","0","","SOSB47"
"","Connection Session","","0.0","Discussion","48027R","160","2:00-2:50pm","Wednesday","20","1","0","",""
"","Connection Session","","0.0","Discussion","48028R","160","3:00-3:50pm","Wednesday","20","0","0","",""
"","Connection Session","","0.0","Discussion","48029R","160","4:00-4:50pm","Wednesday","20","2","0","","VKC259"
"","Connection Session","","0.0","Discussion","48032R","160","12:00-12:50pm","Thursday","20","1","0","",""
"","Connection Session","","0.0","Discussion","48033R","160","1:00-1:50pm","Thursday","20","1","0","",""
"","Connection Session","","0.0","Discussion","48034R","160","2:00-2:50pm","Thursday","20","0","0","",""
"","Connection Session","","0.0","Discussion","48035R","160","3:00-3:50pm","Thursday","20","0","0","",""
"","Connection Session","","0.0","Discussion","48036R","160","4:00-4:50pm","Thursday","20","1","0","","THH209"
"","Connection Session","","0.0","Discussion","48037R","160","5:00-5:50pm","Thursday","20","0","0","","THH205"
"","Connection Session","","0.0","Discussion","48038R","160","12:00-12:50pm","Friday","20","0","0","","THH112"
"OT-101x","Caring For Your Self: Engaging in Healthy Habits and Routine","","2.0 units","Lecture-Discussion","47906R","001","12:00-1:20pm","Tuesday","30","25","0","Ashley Uyeshiro",""
"OT-200L","Medical Terminology for Health Professions","","1.0 unit","Lecture-Lab","47702R","001","6:30-7:20pm","Tuesday","65","13","0","","TBA"
"OT-220","Lifestyle Design: Introduction to Occupational Therapy","","2.0 units","Lecture","47700R","001","12:00-1:50pm","Monday","72","12","0","Kristy Payne","THH212"
"","","","","Lecture","47701R","001","6:00-7:50pm","Tuesday","55","6","0","Kimberly Morris","THH114"
"OT-250","Introduction to Occupational Science and Occupational Therapy","","4.0 units","Lecture","47703R","001","11:00-12:20pm","Tue, Thu","72","22","0","","THH208"
"","","","","Lecture","47704R","001","3:30-4:50pm","Tue, Thu","72","10","0","","THH208"
"OT-251","Across the Lifespan: Occupations, Health and Disability","","4.0 units","Lecture","47710R","001","12:00-1:50pm","Mon, Wed","35","17","0","Linsey Smith","WPH106"
"OT-260","Human Functional Anatomy for Allied Health Professions","","3.0 units","Lecture-Lab","47907R","046","1:00-4:50pm","Tuesday","35","11","0","","CHP109"
"OT-261","Human Physiology for Allied Health Professions","","3.0 units","Lecture-Lab","47908R","046","1:00-4:50pm","Monday","35","5","0","","CHP109"
"OT-280","Essential Occupations of Emerging Adulthood","","2.0 units","Lecture","47905R","001","12:00-1:50pm","Thursday","35","21","0","Kimberly Morris","WPH207"
"OT-310","Creativity Workshop","","2.0 units","Lecture","47712R","001","10:00-11:50am","Monday","35","20","0","Kimberly Morris","VKC151"
"","","","","Lecture","47713R","001","10:00-11:50am","Friday","35","4","0","Kimberly Morris","VKC211"
"","","","","Lecture","47714R","001","12:00-1:50pm","Wednesday","65","22","0","Kimberly Morris","THH212"
"OT-312","Creating a Sustainable Lifestyle","","2.0 units","Lecture","47717R","001","10:00-11:50am","Wednesday","35","21","0","Camille Dieterle","VKC207"
"OT-320","The Nature of Human Occupation: Form, Function, and Meaning","","4.0 units","Lecture","47715R","001","9:30-10:50am","Tue, Thu","50","16","0","Kate Crowley,<br />Kristy Payne","GFS118"
"","","","","Lecture","47726R","001","6:00-8:50pm","Wednesday","60","18","0","Kate Crowley","THH210"
"OT-340","Occupational Foundations of Human-Animal Interaction","","4.0 units","Lecture","48050R","001","2:00-3:20pm","Tue, Thu","32","20","0","","WPH101"
"OT-370","Understanding Autism: Participation Across the Lifespan","","4.0 units","Lecture","48021R","001","2:00-3:50pm","Mon, Wed","35","14","0","Linsey Smith","VKC207"
"OT-375","The Narrative Structure of Social Action: Narrative, Healing and Occupation","","4.0 units","Lecture","47725R","001","10:00-11:50am","Mon, Wed","30","0","0","Kate Crowley",""
"OT-405","Foundations: Occupation","MC","2.0 units","Lecture-Discussion","47941R","046","9:00-11:00am","Tuesday","30","6","0","","CENTER"
"OT-440L","Foundations: Kinesiology","MC","2.0 units","Lecture-Lab","47731R","046","8:30-11:50am","Thursday","30","6","0","","CHP109"
"OT-490x","Directed Research","MC","1.0-8.0 units, max 12","Lecture","47792D","046","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","47793D","046","TBA","TBA","5","0","0","","OFFICE"
"OT-500a","Clinical Problems in Occupational Therapy","M","2.0-4.0 units","Lecture","47786D","046","1:00-3:00pm","Friday","37","0","0","","CHP113A"
"","","","","Lecture","47787D","046","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","47788D","046","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","47794D","046","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","47795D","046","TBA","TBA","10","0","0","","OFFICE"
