b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PATH-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"PATH-550","Introduction to Pathology","","4.0 units","Lecture","40661D","046","11:00-12:50pm","Tue, Thu","25","0","0","Louis Dubeau","OFFICE"
"PATH-553","Methods in Cellular and Clinical Pathology","","3.0 units","Lecture","40854D","046","1:00-3:50pm","Wednesday","25","0","0","Florence Hofman","OFFICE"
"PATH-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"PATH-570a","Seminar in Pathology","","1.0 unit","Lecture","40856D","046","1:00-2:30pm","Friday","25","0","0","<a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Andre Ouellette","OFFICE"
"PATH-570b","Seminar in Pathology","P","1.0 unit","Lecture","40859D","046","1:00-2:30pm","Friday","25","0","0","<a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Andre Ouellette","OFFICE"
"PATH-570c","Seminar in Pathology","P","1.0 unit","Lecture","40864D","046","1:00-2:30pm","Friday","25","0","0","","OFFICE"
"PATH-570d","Seminar in Pathology","P","1.0 unit","Lecture","40868D","046","1:00-2:30pm","Friday","25","0","0","","OFFICE"
"PATH-572","Medical Physiology I","C","4.0 units","Lecture","40673D","046","1:00-2:50pm","Mon, Thu","46","0","0","Robert Farley",""
"PATH-590","Directed Research","","1.0-12.0 units","Lecture","40873D","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
"PATH-594a","Master\'s Thesis","","2.0 units","Lecture","40878D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-594b","Master\'s Thesis","P","2.0 units","Lecture","40881D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-594z","Master\'s Thesis","P","0.0 units","Lecture","40885D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-631","Viral Oncology","","2.0 units","Lecture","40658D","046","9:00-10:50am","Wednesday","25","0","0","Suraiya Rasheed",""
"PATH-790","Research","","1.0-12.0 units","Lecture","40896D","046","TBA","TBA","25","0","0","","OFFICE"
"PATH-794a","Doctoral Dissertation","","2.0 units","Lecture","40899D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-794b","Doctoral Dissertation","P","2.0 units","Lecture","40902D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-794c","Doctoral Dissertation","P","2.0 units","Lecture","40907D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-794d","Doctoral Dissertation","P","2.0 units","Lecture","40901D","046","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","40910D","046","TBA","TBA","10","0","0","","OFFICE"
"PATH-794z","Doctoral Dissertation","P","0.0 units","Lecture","40915D","046","TBA","TBA","10","0","0","","OFFICE"
'
