b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHED-102a","Weight Training","","1.0 unit","Lecture","49700R","001","8:00-8:50am","Mon, Wed","19","6","0","Kevin Robinson","PED210"
"","","","","Lecture","49701R","001","8:00-8:50am","Tue, Thu","19","9","0","Steve Vankanegan","PED210"
"","","","","Lecture","49702R","001","9:00-9:50am","Mon, Wed","19","14","0","Sarah McGill","PED210"
"","","","","Lecture","49703R","001","9:00-9:50am","Tue, Thu","19","8","0","Kevin Robinson","PED210"
"","","","","Lecture","49704R","001","10:00-10:50am","Mon, Wed","19","5","0","Steve Vankanegan","PED210"
"","","","","Lecture","49705R","001","10:00-10:50am","Tue, Thu","19","1","0","John Jessee","PED210"
"","","","","Lecture","49706R","001","11:00-11:50am","Mon, Wed","19","7","0","Steve Vankanegan","PED210"
"","","","","Lecture","49707R","001","11:00-11:50am","Tue, Thu","19","6","0","Sarah McGill","PED210"
"","","","","Lecture","49708R","001","12:00-12:50pm","Mon, Wed","19","3","0","John Jessee","PED210"
"","","","","Lecture","49710R","001","1:00-1:50pm","Mon, Wed","19","9","0","Sarah McGill","PED210"
"","","","","Lecture","49711R","001","1:00-1:50pm","Tue, Thu","19","6","0","John Jessee","PED210"
"","","","","Lecture","49712R","001","2:00-2:50pm","Mon, Wed","19","2","0","Kevin Robinson","PED210"
"","","","","Lecture","49713R","001","2:00-2:50pm","Tue, Thu","19","5","0","Kevin Robinson","PED210"
"","","","","Lecture","49908R","001","10:00-11:50am","Friday","19","5","0","Kevin Robinson","PED210"
"PHED-104a","Self-Defense","","1.0 unit","Lecture","49716R","001","9:00-9:50am","Mon, Wed","16","5","0","Arthur Chivichyan","PED201"
"","","","","Lecture","49717R","001","9:00-9:50am","Tue, Thu","16","2","0","Carl Collins","PED201"
"","","","","Lecture","49718R","001","10:00-10:50am","Mon, Wed","16","9","0","Arthur Chivichyan","PED201"
"","","","","Lecture","49719R","001","10:00-10:50am","Tue, Thu","16","2","0","Carl Collins","PED201"
"","","","","Lecture","49720R","001","11:00-11:50am","Mon, Wed","16","0","0","Carl Collins","PED201"
"","","","","Lecture","49721R","001","11:00-11:50am","Tue, Thu","16","4","0","Carl Collins","PED201"
"","","","","Lecture","49722R","001","12:00-12:50pm","Mon, Wed","16","2","0","Carl Collins","PED201"
"","","","","Lecture","49724R","001","1:00-1:50pm","Mon, Wed","16","2","0","Carl Collins","PED210"
"","","","","Lecture","49920R","001","10:00-11:50am","Friday","16","12","0","Arthur Chivichyan","PED201"
"","","","","Lecture","49921R","001","12:00-1:50pm","Friday","16","5","0","Arthur Chivichyan","PED201"
"PHED-106a","Physical Conditioning","","1.0 unit","Lecture","49727R","001","8:00-8:50am","Tue, Thu","19","8","0","Kevin Robinson","PED210"
"","","","","Lecture","49728R","001","9:00-9:50am","Mon, Wed","19","9","0","Kevin Robinson","PED210"
"","","","","Lecture","49730R","001","10:00-10:50am","Mon, Wed","19","2","0","Kevin Robinson","PED210"
"","","","","Lecture","49733R","001","11:00-11:50am","Tue, Thu","19","3","0","Kevin Robinson","PED210"
"","","","","Lecture","49734R","001","12:00-12:50pm","Mon, Wed","19","3","0","Kevin Robinson","PED210"
"PHED-110a","Swimming","","1.0 unit","Lecture","49739R","001","8:00-8:50am","Tue, Thu","19","0","0","William Slaughter","PED210"
"","","","","Lecture","49740R","001","9:00-9:50am","Mon, Wed","19","4","0","William Slaughter","PED210"
"","","","","Lecture","49741R","001","9:00-9:50am","Tue, Thu","19","4","0","William Slaughter","PED210"
"","","","","Lecture","49742R","001","10:00-10:50am","Mon, Wed","19","3","0","Sarah McGill","PED210"
"","","","","Lecture","49743R","001","10:00-10:50am","Tue, Thu","19","3","0","William Slaughter","PED210"
"","","","","Lecture","49744R","001","11:00-11:50am","Mon, Wed","19","4","0","Ian Culbertson","PED210"
"","","","","Lecture","49745R","001","11:00-11:50am","Tue, Thu","19","1","0","William Slaughter","PED210"
"","","","","Lecture","49747R","001","1:00-1:50pm","Tue, Thu","19","0","0","Ian Culbertson","PED210"
"","","","","Lecture","49748R","001","2:00-2:50pm","Mon, Wed","19","1","0","Natascha Grundmann","PED210"
"PHED-115","Surfing","","1.0 unit","Lecture","49950R","001","8:00-9:50am","Friday","19","19","0","Ian Culbertson","PED210"
"","","","","Lecture","49951R","001","10:00-11:50am","Friday","19","19","0","Ian Culbertson","PED210"
"PHED-119","Introduction to Mindfulness","","2.0 units","Lecture","49750R","001","2:00-2:50pm","Mon, Wed","19","19","0","Linda Yaron","GFS113"
"","","","","Lecture","49948R","001","3:00-4:50pm","Monday","19","12","0","Linda Yaron","GFS113"
"","","","","Lecture","49952R","001","3:00-4:50pm","Wednesday","19","12","0","Linda Yaron","GFS113"
"PHED-120a","Yoga","","1.0 unit","Lecture","49760R","001","8:00-8:50am","Mon, Wed","25","4","0","David Romero","PED210"
"","","","","Lecture","49761R","001","8:00-8:50am","Tue, Thu","25","5","0","Jennifer Guinter","PED210"
"","","","","Lecture","49762R","001","9:00-9:50am","Mon, Wed","25","9","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49763R","001","9:00-9:50am","Tue, Thu","25","5","0","Jennifer Guinter","PED210"
"","","","","Lecture","49764R","001","10:00-10:50am","Mon, Wed","25","4","0","David Romero","PED210"
"","","","","Lecture","49765R","001","10:00-10:50am","Tue, Thu","25","5","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49766R","001","11:00-11:50am","Mon, Wed","25","4","0","Steve Hsu","PED210"
"","","","","Lecture","49767R","001","11:00-11:50am","Tue, Thu","25","8","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49768R","001","12:00-12:50pm","Mon, Wed","25","7","0","Stephanie Eggert","PED210"
"","","","","Lecture","49769R","001","12:00-12:50pm","Tue, Thu","25","4","0","Steve Hsu","PED210"
"","","","","Lecture","49770R","001","1:00-1:50pm","Mon, Wed","25","15","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49771R","001","1:00-1:50pm","Tue, Thu","25","3","0","Jennifer Guinter","PED210"
"","","","","Lecture","49772R","001","2:00-2:50pm","Mon, Wed","25","2","0","Steve Hsu","PED210"
"","","","","Lecture","49773R","001","2:00-2:50pm","Tue, Thu","25","4","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49963R","001","10:00-11:50am","Friday","25","9","0","Jennifer Guinter","PED210"
"","","","","Lecture","49964R","001","12:00-1:50pm","Friday","25","4","0","Jennifer Guinter","PED210"
"PHED-120b","Yoga","P","1.0 unit","Lecture","49967R","001","2:00-2:50pm","Mon, Wed","19","2","0","Isabelle Pilliere Mazumdar",""
"PHED-122","Kundalini Yoga and Meditation","","1.0 unit","Lecture","49980R","001","3:00-4:50pm","Monday","19","5","0","Stephanie Eggert","PED210"
"","","","","Lecture","49981R","001","3:00-4:50pm","Tuesday","19","11","0","Stephanie Eggert","PED210"
"","","","","Lecture","49982R","001","3:00-4:50pm","Wednesday","19","8","0","Stephanie Eggert","PED210"
"","","","","Lecture","49983R","001","3:00-4:50pm","Thursday","19","10","0","Stephanie Eggert","PED210"
"PHED-123","Yoga Therapy","","2.0 units","Lecture","49984R","001","11:00-11:50am","Mon, Wed","19","6","0","Andre Haralyi","GFS202"
"","","","","Lecture","49985R","001","11:00-11:50am","Tue, Thu","19","12","0","Andre Haralyi","THH205"
"","","","","Lecture","49986R","001","1:00-1:50pm","Mon, Wed","19","15","0","Andre Haralyi","KAP134"
"","","","","Lecture","49987R","001","1:00-1:50pm","Tue, Thu","19","7","0","Andre Haralyi","GFS202"
"PHED-124","Walking for Fitness","","1.0 unit","Lecture","49776R","001","10:00-10:50am","Mon, Wed","19","4","0","Isabelle Pilliere Mazumdar","PED210"
"PHED-125","Restorative Yoga","","1.0 unit","Lecture","49969R","001","2:00-2:50pm","Mon, Wed","19","3","0","Steve Hsu","PED210"
"PHED-129a","Cardio Group Fitness","","1.0 unit","Lecture","49783R","001","9:00-9:50am","Tue, Thu","19","7","0","Isabelle Pilliere Mazumdar","PED210"
"","","","","Lecture","49784R","001","10:00-10:50am","Mon, Wed","19","2","0","Steve Hsu","PED210"
"","","","","Lecture","49787R","001","11:00-11:50am","Tue, Thu","19","3","0","Ian Culbertson","PED210"
"PHED-134","Hiking","","1.0 unit","Lecture","49810R","859","3:00-4:50pm","Monday","16","1","0","Ian Culbertson","THH112"
"","","","","Lecture","49811R","859","3:00-4:50pm","Wednesday","16","3","0","Ian Culbertson","THH112"
"PHED-135","Backpacking","","1.0 unit","Lecture","49812R","802","3:00-4:50pm","Monday","16","7","0","Ian Culbertson","THH112"
"","","","","Lecture","49813R","802","3:00-4:50pm","Wednesday","16","6","0","Ian Culbertson","THH112"
"PHED-138","Beach Volleyball","","1.0 unit","Lecture","49988R","001","10:00-11:50am","Friday","19","7","0","Julia Sprague","PED210"
"","","","","Lecture","49989R","001","12:00-1:50pm","Friday","19","17","0","Julia Sprague","PED210"
"PHED-139a","Volleyball","","1.0 unit","Lecture","49788R","001","10:00-10:50am","Mon, Wed","19","2","0","Julia Sprague","PED210"
"","","","","Lecture","49790R","001","11:00-11:50am","Mon, Wed","19","3","0","Julia Sprague","PED210"
"","","","","Lecture","49792R","001","12:00-12:50pm","Mon, Wed","19","4","0","Julia Sprague","PED210"
"","","","","Lecture","49793R","001","2:00-2:50pm","Tue, Thu","19","3","0","Sarah McGill","PED210"
"","","","","Lecture","49990R","001","3:00-4:50pm","Tuesday","19","2","0","Sarah McGill","PED210"
"PHED-140a","Tennis","","1.0 unit","Lecture","49800R","001","9:00-9:50am","Mon, Wed","19","8","0","John Jessee","PED210"
"","","","","Lecture","49802R","001","10:00-10:50am","Mon, Wed","19","7","0","John Jessee","PED210"
"","","","","Lecture","49803R","001","10:00-10:50am","Tue, Thu","19","3","0","Steve Vankanegan","PED210"
"","","","","Lecture","49805R","001","11:00-11:50am","Tue, Thu","19","1","0","John Jessee","PED210"
"","","","","Lecture","49807R","001","12:00-12:50pm","Tue, Thu","19","4","0","John Jessee","PED210"
"","","","","Lecture","49808R","001","2:00-2:50pm","Mon, Wed","19","5","0","John Jessee","PED210"
"","","","","Lecture","49881R","001","11:00-12:50pm","Friday","19","7","0","Timothy Burton","PED210"
"","","","","Lecture","49882R","001","3:00-4:50pm","Tuesday","19","5","0","John Jessee","PED210"
"","","","","Lecture","49883R","001","3:00-4:50pm","Wednesday","19","8","0","John Jessee","PED210"
"","","","","Lecture","49884R","001","3:00-4:50pm","Thursday","19","2","0","John Jessee","PED210"
"PHED-145","Handball","","1.0 unit","Lecture","49820R","001","2:00-2:50pm","Mon, Wed","19","3","0","Luis Paulo Oliveira","PED210"
"PHED-148","Archery","","1.0 unit","Lecture","49825R","001","10:00-11:50am","Friday","19","19","0","","PED210"
"","Archery","","1.0","Lecture","49827R","001","12:00-1:50pm","Friday","19","7","0","","PED210"
"PHED-150a","Table Tennis","","1.0 unit","Lecture","49831R","001","10:00-10:50am","Tue, Thu","19","9","0","Irina Jestkova","PED200"
"","","","","Lecture","49832R","001","2:00-2:50pm","Mon, Wed","19","6","0","Irina Jestkova","PED200"
