b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHIL-101","Free People, Free Thought and Free Markets","","4.0 units","Lecture-Discussion","49365R","001","11:00-11:50am","MWF","30","4","0","Scott Soames,<br />Romain Ranciere","THH112"
"PHIL-103g","Philosophy, Politics and Economics in Europe, from Renaissan","","4.0 units","Lecture","49679R","001","2:00-3:20pm","Tue, Thu","150","7","0","Jacob Soll","THH301"
"","","","","Discussion","49694R","001","8:00-8:50am","Wednesday","25","0","0","","THH121"
"","","","","Discussion","49695R","001","9:00-9:50am","Wednesday","25","7","0","","VKC256"
"PHIL-122a","Reasoning and Argument","","2.0 units","Lecture","49345R","416","5:00-6:20pm","Tue, Thu","25","9","0","Vishnu Sridharan","VKC157"
"PHIL-122b","Reasoning and Argument","P","2.0 units","Lecture","49346R","664","5:00-6:20pm","Tue, Thu","25","0","0","Vishnu Sridharan","VKC157"
"PHIL-168g","The Meaning of Life","","4.0 units","Lecture","49383R","001","12:30-1:50pm","Tue, Thu","20","20","0","Stephen Finlay","SGM101"
"","","","","Discussion","49384R","001","8:00-8:50am","Monday","25","1","0","","MHP102"
"","","","","Discussion","49385R","001","8:00-8:50am","Wednesday","25","0","0","","MHP102"
"","","","","Discussion","49386R","001","8:00-8:50am","Friday","25","0","0","","VKC259"
"","","","","Discussion","49387R","001","9:00-9:50am","Monday","25","8","0","","THH106"
"","","","","Discussion","49388R","001","9:00-9:50am","Wednesday","25","6","0","","THH106"
"","","","","Discussion","49389R","001","9:00-9:50am","Friday","25","5","0","","VKC205"
"PHIL-222g","Logic and Language","","4.0 units","Lecture-Discussion","49419R","001","12:30-1:50pm","Tue, Thu","30","30","0","Gabriel Uzquiano","VKC201"
"PHIL-255gp","Existentialism in Philosophy, Literature and Film","","4.0 units","Lecture","49686R","001","2:00-3:20pm","Mon, Wed","150","22","0","Edwin McCann","SAL101"
"","","","","Lecture-Discussion","49687D","001","2:00-3:20pm","Mon, Wed","5","0","0","Edwin McCann",""
"","","","","Discussion","49688R","001","8:00-8:50am","Tuesday","25","1","0","","MHP102"
"","","","","Discussion","49689R","001","9:00-9:50am","Tuesday","25","9","0","","MHP102"
"","","","","Discussion","49690R","001","8:00-8:50am","Thursday","25","0","0","","MHP102"
