b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHRD-501","Pharmaceutics I","","3.0 units","Lecture","48551D","171","TBA","TBA","200","0","0","<a href="http://brill">Ian Haworth,</a>Rebecca Romero","OFFICE"
"PHRD-503","Biological Systems I","","4.0 units","Lecture","48514D","145","TBA","TBA","200","0","0","Angel P Tabancay Jr","OFFICE"
"PHRD-508","Pharmacy Literature Analysis and Drug Information","M","3.0 units","Lecture","48575R","004","TBA","TBA","200","0","0","Rory Kim,<br />Rebecca Myerson","OFFICE"
"PHRD-511","Pharmacy Practice and Profesionalism 1","","5.0 units","Lecture","48505D","004","TBA","TBA","200","0","0","Melissa Durham,<br />Edith Mirzaian,<br />Cynthia Lieu","OFFICE"
"PHRD-515","Metabolism and Cell Biology","M","2.0 units","Lecture","48515D","145","TBA","TBA","200","0","0","Enrique Cadenas","OFFICE"
"PHRD-517","Pharmacogenetics","M","2.0 units","Lecture","48517D","145","TBA","TBA","200","0","0","Susie Park,<br />Roger Duncan","OFFICE"
"PHRD-521","Medicinal Chemistry","","2.0 units","Lecture","48521D","147","TBA","TBA","200","0","0","<a href="http://brill">Ian Haworth,</a>Rebecca Romero","OFFICE"
"PHRD-555","Pharmacy Education 1","MC","2.0 units","Lecture","48577D","004","TBA","TBA","20","0","0","Angel P Tabancay Jr","OFFICE"
"PHRD-559","Therapeutics: Pharmacokinetics","M","3.0 units","Lecture","48587R","004","TBA","TBA","200","0","0","Paul Beringer,<br />Andrew MacKay","OFFICE"
"PHRD-563","Case Conference 1","","2.0 units","Lecture","48581R","004","TBA","TBA","200","0","0","Emily Han,<br />Lisa Goldstone","OFFICE"
"PHRD-567","Pharmacy Law","M","2.0 units","Lecture","48585R","004","TBA","TBA","200","0","0","Fred Weissman","OFFICE"
"PHRD-568","Principles and Leadership in Community Health 1","M","2.0 units","Lecture","48589D","004","TBA","TBA","26","0","0","Richard Dang","OFFICE"
"PHRD-572","Therapeutics: General Medicine and Inflammatory Disorders","M","5.0 units","Lecture","48627R","004","TBA","TBA","200","0","0","Cynthia Lieu,<br />Angel P Tabancay Jr","OFFICE"
"PHRD-599","Special Topics","C","1.0-8.0 units, max 8"
"","Medical Marijuana and Other Legal Plant Medicines","","3.0","Lecture","48659D","004","1:00-4:00pm","Monday","60","0","0","James Adams",""
"PHRD-611","Therapeutics: Infectious Diseases","M","5.0 units","Lecture","48662R","437","TBA","TBA","200","0","0","Emi Minejima,<br />Roger Duncan,<br />Susie Park","OFFICE"
"PHRD-619","Therapeutics: Cardiovascular System","M","5.0 units","Lecture","48720R","221","TBA","TBA","200","0","0","Tien Ng,<br />James Adams","OFFICE"
"PHRD-622","Case Conference 3","","2.0 units","Lecture","48663R","004","TBA","TBA","200","0","0","Paul Wong,<br />Lisa Goldstone","OFFICE"
"PHRD-624","Community Pharmacy Practice","","4.0 units","Lecture","48606D","515","TBA","TBA","60","0","0","Richard Dang,<br />Patrick Tabon,<br />Cynthia Lieu","OFFICE"
"PHRD-625","Hospital Pharmacy Practice","","3.0 units","Lecture","48607R","515","TBA","TBA","60","0","0","Emily Han,<br />Cynthia Lieu","OFFICE"
"PHRD-626","Elective Pharmacy Practice","","2.0 units","Lecture","48608D","515","TBA","TBA","60","0","0","Cynthia Lieu","OFFICE"
