b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHYS-100Lxg","The Physical World","","4.0 units","Lecture","50310R","001","10:00-10:50am","MWF","128","5","0","Moh El-Naggar","SLH200"
"","","","","Lab","50311R","001","10:00-11:50am","Tuesday","16","2","0","","SGM300"
"","","","","Lab","50313R","001","10:00-11:50am","Thursday","16","0","0","","SGM300"
"","","","","Lab","50314R","001","12:00-1:50pm","Tuesday","16","0","0","","SGM300"
"","","","","Lab","50315R","001","12:00-1:50pm","Wednesday","16","2","0","","SGM300"
"","","","","Lab","50316R","001","12:00-1:50pm","Thursday","16","0","0","","SGM300"
"","","","","Lab","50317R","001","2:00-3:50pm","Tuesday","16","1","0","","SGM300"
"","","","","Lab","50318R","001","2:00-3:50pm","Wednesday","16","0","0","","SGM300"
"","","","","Lab","50319R","001","2:00-3:50pm","Thursday","16","0","0","","SGM300"
"PHYS-135aLg","Physics for the Life Sciences","P","4.0 units","Lecture","50340R","001","10:00-11:50am","Mon, Wed","93","69","0","Dennis Nemeschansky","SLH102"
"","","","","Lecture","50342R","001","12:00-1:50pm","Tue, Thu","93","19","0","Douglas Burke","SLH102"
"","","","","Quiz","50343R","001","5:00-6:20pm","Wednesday","186","88","0","","TBA"
"","","","","Lab","50347R","001","11:00-1:50pm","Tuesday","22","5","0","","KAP B5"
"","","","","Lab","50348R","001","11:00-1:50pm","Wednesday","14","2","0","","KAP B5"
"","","","","Lab","50349R","001","11:00-1:50pm","Thursday","14","4","0","","KAP B5"
"","","","","Lab","50350R","001","11:00-1:50pm","Friday","22","2","0","","KAP B5"
"","","","","Lab","50351R","001","2:00-4:50pm","Wednesday","22","19","0","","KAP B5"
"","","","","Lab","50352R","001","2:00-4:50pm","Thursday","22","16","0","","KAP B5"
"","","","","Lab","50353R","001","2:00-4:50pm","Friday","22","7","0","","KAP B5"
"","","","","Lab","50354R","001","5:00-7:50pm","Tuesday","22","11","0","","KAP B5"
"","","","","Lab","50355R","001","2:00-4:50pm","Tuesday","22","22","0","","KAP B5"
"PHYS-135bL","Physics for the Life Sciences","P","4.0 units","Lecture","50360R","001","10:00-11:50am","Tue, Thu","90","64","0","Christopher Sutherland","SLH102"
"","","","","Quiz","50361R","001","5:00-6:20pm","Tuesday","90","64","0","","TBA"
