b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PJMT-500","Principles of Project Management","MC","2.0 units","Lecture","13900D","988","5:30-7:00pm","Wednesday","40","0","0","John Jones,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13901D","988","5:30-7:00pm","Wednesday","40","0","0","Bahadir Inozu,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13902D","988","5:30-7:00pm","Wednesday","40","0","0","Cheryl Coleman,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-505","Requirements Elicitation and Business Analysis","MC","2.0 units","Lecture","13904D","988","5:30-7:00pm","Tuesday","40","0","0","Michael Fanning,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13905D","981","5:30-7:00pm","Thursday","40","0","0","Bahadir Inozu,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13906D","981","5:30-7:00pm","Thursday","40","0","0","Michael Faia,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-510","Schedule Management","MC","2.0 units","Lecture","13908D","988","5:30-7:00pm","Wednesday","40","0","0","Dani Beckman,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13909D","988","5:30-7:00pm","Wednesday","40","0","0","Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13910D","981","5:30-7:00pm","Wednesday","40","0","0","Dani Beckman,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-515","Cost Estimation and Forecasting","MC","2.0 units","Lecture","13912D","981","5:30-7:00pm","Thursday","40","0","0","Craig Marek,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13913D","981","5:30-7:00pm","Thursday","40","0","0","Michael Spead,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-520","Risk Management","MC","2.0 units","Lecture","13916D","988","5:30-7:00pm","Thursday","40","0","0","Victoria Beltran,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13917D","988","5:30-7:00pm","Thursday","40","0","0","Shawn Belling,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-525","Agile Project Management Methodologies","MC","2.0 units","Lecture","13920D","988","5:30-7:00pm","Wednesday","40","0","0","Kaali Dass,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13921D","981","5:30-7:00pm","Wednesday","40","0","0","Michael Hannan","ONLINE"
"","","","","Lecture","13922D","981","5:30-7:00pm","Wednesday","40","0","0","<a href="http://bovardcollege.usc.edu/pm/faculty/ralph-garcia-phd-msc-mba/">Ralph Garcia,</a>Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-530","Quality and Process Improvement","MC","2.0 units","Lecture","13924D","981","5:30-7:00pm","Tuesday","40","0","0","Steve Kao,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13925D","988","5:30-7:00pm","Wednesday","40","0","0","James Deiner,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13926D","988","5:30-7:00pm","Wednesday","40","0","0","Michael Spead,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-535","Specialized Project Management","MC","2.0 units","Lecture","13928D","981","5:30-7:00pm","Wednesday","40","0","0","John Jones,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13929D","981","5:30-7:00pm","Wednesday","40","0","0","Douglas Brown,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13930D","981","5:30-7:00pm","Wednesday","40","0","0","Timothy Stanton,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-540","Organizational Change Management and Business Relationships","MC","2.0 units","Lecture","13932D","988","5:30-7:00pm","Thursday","40","0","0","Jennifer Baker,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13933D","988","5:30-7:00pm","Thursday","40","0","0","Laureen Pfizenmaier,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-545","Program Management","MC","2.0 units","Lecture","13936D","988","5:30-7:00pm","Wednesday","40","0","0","Craig Marek,<br />Sara Matin,<br />Karena Ward","ONLINE"
"","","","","Lecture","13937D","981","5:30-7:00pm","Wednesday","40","0","0","Laureen Pfizenmaier,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-550","Portfolio Management","MC","2.0 units","Lecture","13940D","981","5:30-7:00pm","Thursday","40","0","0","Jennifer Baker,<br />Sara Matin,<br />Karena Ward","ONLINE"
"PJMT-555","Project Management Capstone","MC","2.0 units","Lecture","13944D","981","5:30-7:00pm","Wednesday","40","0","0","Kaali Dass,<br />Sara Matin,<br />Karena Ward","ONLINE"
'
