b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PLUS-652","Place, Institutions, and Governance","","4.0 units","Lecture","51557D","001","TBA","TBA","18","1","0","Frank Zerunyan","OFFICE"
"PLUS-660","Economics of a Productive Development - A Public/Private Per","","3.0 units","Lecture","51540D","919","TBA","TBA","20","0","0","Allan Kotin","ONLINE"
"","","","","Lecture","51541D","919","TBA","TBA","20","0","0","","ONLINE"
"PLUS-661","Politics and Process of Urban Development","M","2.0 units","Lecture","51542D","919","5:30-6:30pm","Monday","20","0","0","Donald Spivack","ONLINE"
"","","","","Lecture","51543D","919","5:30-6:30pm","Wednesday","20","0","0","Donald Spivack","ONLINE"
"PLUS-662","Planning and Development Case Study","M","1.0 unit","Lecture","51530D","555","TBA","TBA","25","0","0","Allan Kotin","OFFICE"
"PLUS-663","Designing Livable Environments I","M","1.0 unit","Lecture","51531D","555","TBA","TBA","25","0","0","Elizabeth Falletta","OFFICE"
"PLUS-664","Urban Political Economy and Urban Development","PM","2.0 units","Lecture","51546D","919","TBA","TBA","25","0","0","Nicole Kuklok-Waldman","ONLINE"
"PLUS-665","Economics for a Productive City","M","3.0 units","Lecture","51547D","919","TBA","TBA","25","0","0","","ONLINE"
"PLUS-667","Effective Engagement with Stakeholders","M","3.0 units","Lecture","51548D","919","TBA","TBA","25","0","0","Kelly Rawlings","ONLINE"
"PLUS-668","Big Data for Planning and Development","M","2.0 units","Lecture","51549D","919","TBA","TBA","25","0","0","Kevin Kane","ONLINE"
"PLUS-669","Designing Livable Environments II","PM","1.0 unit","Lecture","51532D","555","TBA","TBA","25","0","0","Elizabeth Falletta","OFFICE"
"PLUS-670","Communicating Data for Planning and Development","M","1.0 unit","Lecture","51533D","555","TBA","TBA","25","0","0","Dowell Myers","OFFICE"
"PLUS-694a","Planning, Design and Development Professional Dissertation","","2.0 units","Lecture","51550D","001","TBA","TBA","15","0","0","","OFFICE"
"PLUS-694z","Planning, Design and Development Professional Dissertation","","0.0 units","Lecture","51554D","001","TBA","TBA","10","0","0","","OFFICE"
'
