b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PM-500","Foundations of Health Behavior","","4.0 units","Lecture","41083D","046","12:30-3:30pm","Thursday","10","0","0","Steven Sussman","SSB303"
"PM-501","Foundations in Health Education and Promotion","","4.0 units","Lecture","41086D","046","1:00-4:30pm","Thursday","66","5","0","","SSB115AB"
"","","","","Lecture","41205D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41209D","407","TBA","TBA","25","0","0","","ONLINE"
"PM-502","Foundations of Public Health","","4.0 units","Lecture","41146D","046","9:00-12:30pm","Thursday","105","10","0","",""
"PM-506","Overcoming Real World Challenges in Global Health","","4.0 units","Lecture","41154D","046","5:00-8:30pm","Monday","30","1","0","",""
"PM-507","Public Health Services Research Methods","P","4.0 units","Lecture","41088D","046","1:00-4:30pm","Thursday","25","0","0","Albert Farias",""
"PM-508","Health Service Delivery in the U.S.","","4.0 units","Lecture","41089D","046","9:00-12:30pm","Thursday","52","0","0","",""
"PM-509","Comparative Health Care Systems","","4.0 units","Lecture","41090D","046","1:00-4:30pm","Tuesday","10","2","0","",""
"PM-510L","Principles of Biostatistics","","4.0 units","Lecture","41200D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41217D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41085D","046","1:30-3:25pm","Wednesday","40","2","0","Donald Barkauskas","SSB114"
"","","","","Lecture","41099D","046","2:25-4:25pm","Wednesday","65","3","0","Farzana Choudhury","SSB115AB"
"","","","","Lecture-Lab","41092D","046","2:25-4:30pm","Wednesday","10","0","0","",""
"","","","","Lecture-Lab","41116D","046","1:25-3:25pm","Wednesday","45","0","0","",""
"","","","","Lab","41095D","046","12:05-2:05pm","Wednesday","40","0","0","Farzana Choudhury","SSB117"
"","","","","Lab","41098D","046","4:30-6:35pm","Wednesday","40","3","0","Farzana Choudhury","SSB115AB"
"","","","","Lab","41102D","046","3:30-5:30pm","Wednesday","25","0","0","",""
"","","","","Lab","41105D","046","3:35-5:30pm","Wednesday","40","2","0","Donald Barkauskas","SSB117"
"","","","","Lab","41211D","407","TBA","TBA","25","0","0","","ONLINE"
