b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PMEP-509","Research Design","","4.0 units","Lecture","48954D","046","2:00-5:50pm","Monday","30","0","0","",""
"PMEP-527","Pharmacoeconomics III","PMC","4.0 units","Lecture","48951D","005","4:00-8:00pm","Tuesday","25","0","0","Joel Hay",""
"PMEP-534","Health Economics I","","4.0 units","Lecture","26249D","001","2:00-3:50pm","Mon, Wed","30","2","0","Dana Goldman","VPD116"
"PMEP-547","Programming Methods for Empirical Analysis of Health Data","","4.0 units","Lecture","48967D","005","3:00-5:50pm","Tue, Thu","25","0","0","",""
"PMEP-552","Advanced Health Econometrics I","PMC","4.0 units","Lecture","48952D","005","8:00-9:50am","Mon, Wed","25","2","0","John Romley",""
"PMEP-590","Directed Research","","1.0-12.0 units","Lecture","48961D","005","TBA","TBA","30","0","0","","OFFICE"
"PMEP-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","48996D","005","TBA","TBA","20","0","0","","OFFICE"
"PMEP-698","Seminar in Pharmaceutical Economics and Policy","","1.0 units, max 4","Lecture","48968D","005","2:00-3:50pm","Tuesday","25","0","0","","VPD116"
"PMEP-790","Research","","1.0-12.0 units","Lecture","48970D","005","TBA","TBA","50","0","0","","OFFICE"
"PMEP-794a","Doctoral Dissertation","","2.0 units","Lecture","48980D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794b","Doctoral Dissertation","P","2.0 units","Lecture","48982D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794c","Doctoral Dissertation","P","2.0 units","Lecture","48984D","005","TBA","TBA","30","0","0","","OFFICE"
"PMEP-794d","Doctoral Dissertation","P","2.0 units","Lecture","48986D","046","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794z","Doctoral Dissertation","P","0.0 units","Lecture","48988D","005","TBA","TBA","30","0","0","","OFFICE"
'
