b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POIR-519","Field Research Methods in Political Science and Internationa","C","4.0 units","Lecture","52324D","001","5:00-7:50pm","Tuesday","15","0","0","","VKC204"
"POIR-548","The International Political Economy of Development","C","4.0 units","Lecture","52328D","001","5:00-7:50pm","Wednesday","15","1","0","Carol Wise","VKC204"
"POIR-581","International Relations of the Middle East","C","4.0 units","Lecture","52334D","001","2:00-4:50pm","Tuesday","15","0","0","Laurie Brand","THH105"
"POIR-590","Directed Research","","1.0-12.0 units","Lecture","52337D","001","TBA","TBA","15","0","0","","OFFICE"
"POIR-593","Practicum in Teaching Politics and International Relations","C","2.0 units","Lecture","52341D","001","2:00-3:50pm","Friday","14","2","0","Jefferey Sellers","VKC204"
"POIR-596","Internship for Curricular Practical Training","MC","1.0-3.0 units, max 3","Lecture","52340D","001","TBA","TBA","8","0","0","","OFFICE"
"POIR-599","Special Topics","M","2.0-8.0 units, max 8"
"","Dissertation Prospectus","","4.0","Lecture","52342D","001","2:00-4:50pm","Monday","15","0","0","",""
"POIR-600","Political Theory","C","4.0 units","Lecture","52300D","001","2:00-4:50pm","Wednesday","20","0","0","Ange-Marie Alfaro","THH211"
"POIR-610","Research Design","C","4.0 units","Lecture","52301D","001","5:00-7:50pm","Thursday","20","0","0","","OFFICE"
"POIR-613","Topics in Quantitative Analysis","C","4.0 units","Lecture","52306D","001","2:00-4:50pm","Wednesday","15","3","0","","VKC204"
"POIR-618","Problems of American Politics","C","4.0 units"
"","Seminar in Problems of American Politics","","4.0","Lecture","52314D","001","5:00-7:50pm","Monday","15","0","0","Christian Phillips","OFFICE"
"POIR-620","American Politics and Policy Processes","C","4.0 units","Lecture","52310D","001","2:00-4:50pm","Monday","12","0","0","Ann Crigler","VKC204"
"POIR-662","Governance in International Relations","C","4.0 units","Lecture","52327R","001","2:00-3:20pm","Tue, Thu","12","0","0","",""
"POIR-794a","Doctoral Dissertation","","2.0 units","Lecture","52345D","001","TBA","TBA","12","0","0","","OFFICE"
"POIR-794b","Doctoral Dissertation","P","2.0 units","Lecture","52346D","001","TBA","TBA","12","0","0","","OFFICE"
"POIR-794c","Doctoral Dissertation","P","2.0 units","Lecture","52347D","001","TBA","TBA","12","0","0","","OFFICE"
"POIR-794d","Doctoral Dissertation","P","2.0 units","Lecture","52348D","001","TBA","TBA","12","0","0","","OFFICE"
"POIR-794z","Doctoral Dissertation","P","0.0 units","Lecture","52349D","001","TBA","TBA","20","0","0","","OFFICE"
'
