b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POSC-100g","Theory and Practice of American Democracy","","4.0 units","Lecture","51900R","001","12:30-1:50pm","Tue, Thu","20","20","0","Morris Levy","THH102"
"","","","","Discussion","51901R","001","8:30-9:20am","Tuesday","28","4","0","","VKC151"
"","","","","Discussion","51902R","001","12:00-12:50pm","Wednesday","24","4","0","","VKC158"
"","","","","Discussion","51903R","001","1:00-1:50pm","Monday","27","5","0","","SOSB52"
"","","","","Discussion","51904R","001","2:00-2:50pm","Thursday","26","7","0","","VKC209"
"POSC-130g","Law, Politics and Public Policy","","4.0 units","Lecture","51920R","001","2:00-3:20pm","Tue, Thu","40","40","0","Jeb Barnes","SGM124"
"","","","","Discussion","51921R","001","11:00-11:50am","Tuesday","26","6","0","","SOSB41"
"","","","","Discussion","51922R","001","1:00-1:50pm","Tuesday","25","6","0","","VKC209"
"","","","","Discussion","51923R","001","4:00-4:50pm","Tuesday","25","4","0","","VKC157"
"","","","","Discussion","51924R","001","1:00-1:50pm","Wednesday","25","9","0","","WPHB26"
"","","","","Discussion","51925R","001","10:00-10:50am","Thursday","25","7","0","","SOSB47"
"","","","","Discussion","51926R","001","1:00-1:50pm","Thursday","25","5","0","","VKC209"
"","","","","Discussion","51927R","001","4:00-4:50pm","Thursday","26","0","0","","THHB9"
"","","","","Discussion","51928R","001","12:00-12:50pm","Friday","25","3","0","","VKC158"
"POSC-190a","Politics and Society","MC","4.0 units","Lecture","51935R","001","5:30-8:10pm","Tuesday","15","0","0","Eliz Sanasarian","VKC104"
"POSC-210mgw","Social Analysis of Gender","","4.0 units","Lecture","34900R","001","12:30-1:50pm","Tue, Thu","20","20","0","Ange-Marie Alfaro","THH202"
"","","","","Discussion","34906R","001","9:00-9:50am","Friday","25","8","0","","THH213"
"","","","","Discussion","34907R","001","10:00-10:50am","Friday","25","3","0","","WPH206"
"","","","","Discussion","34908R","001","11:00-11:50am","Friday","25","4","0","","WPH206"
"","","","","Discussion","34909R","001","1:00-1:50pm","Friday","25","4","0","","THH213"
"","","","","Discussion","34910R","001","2:00-2:50pm","Friday","25","0","0","","THH213"
"","","","","Discussion","34911R","001","3:00-3:50pm","Friday","25","1","0","","THH213"
"POSC-265gw","Environmental Challenges","","4.0 units","Lecture","51940R","001","2:00-3:20pm","Mon, Wed","20","20","0","Jefferey Sellers","THH102"
"","","","","Discussion","51941R","001","1:00-1:50pm","Monday","26","6","0","","THHB10"
"","","","","Discussion","51942R","001","1:00-1:50pm","Wednesday","26","3","0","","VKC158"
"","","","","Discussion","51943R","001","3:30-4:20pm","Monday","25","8","0","","THHB10"
"","","","","Discussion","51944R","001","3:30-4:20pm","Wednesday","26","3","0","","THHB10"
"POSC-311","Political Analysis","","4.0 units","Lecture","51949R","001","8:00-9:20am","Mon, Wed","25","3","0","","VKC211"
"POSC-315","Regulation of Elections and Political Finance","","4.0 units","Lecture","51950R","001","7:00-9:50pm","Wednesday","41","41","0","Darry Sragow","VKC102"
"POSC-323","Applied Politics","","4.0 units, max 12"
"","Media and Message: Great Races from the Senate to the White House","","4.0","Lecture","51960R","001","2:00-3:20pm","Mon, Wed","50","49","0","Robert Shrum","THH116"
