b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPD-225","Public Policy and Management","","4.0 units","Lecture","51101R","001","TBA","TBA","40","5","0","","OFFICE"
"","","","","Lecture","51103R","001","10:00-11:50am","Wed, Fri","40","11","0","","RGL101"
"PPD-227","Urban Planning and Development","","4.0 units","Lecture","51100R","001","8:00-9:50am","Mon, Wed","32","10","0","Dion Jackson","VPD110"
"PPD-240g","Citizenship and Public Ethics","","4.0 units","Lecture","51140D","001","10:00-11:50am","Wed, Fri","45","6","0","","RGL100"
"PPD-245g","The Urban Context for Policy and Planning","","4.0 units","Lecture","51109D","001","2:00-3:50pm","Tue, Thu","60","13","0","Todd Gish","VPD112"
"","","","","Lecture","51127D","001","10:00-11:50am","Tue, Thu","60","18","0","Todd Gish","VPD112"
"PPD-300","Social Justice Issues in Public Policy and Urban Planning .","M","4.0 units","Lecture","51119R","001","4:00-5:50pm","Tue, Thu","40","14","0","Lavonna Lewis","VPD112"
"PPD-301","PPD Practices: Internship Seminar","","2.0 units","Lecture","51126D","001","6:30-8:20pm","Tuesday","35","1","0","Donna Ghalambor","VKC101"
"","","","","Lecture","51129D","001","6:30-8:20pm","Wednesday","35","0","0","Donna Ghalambor","VKC101"
"PPD-303","Statistics for Policy, Planning, and Development","P","4.0 units","Lecture","51102R","001","8:00-9:50am","Wed, Fri","25","1","0","","RGL219"
"","","","","Lecture","51104R","001","8:00-9:50am","Mon, Wed","25","10","0","John Romley","RGL209"
"","","","","Lecture","51112R","001","10:00-11:50am","Mon, Wed","25","25","0","","RGL219"
"PPD-313","Finance of the Public Sector","P","4.0 units","Lecture","51113R","001","12:00-1:50pm","Tue, Thu","32","8","0","Mark Phillips",""
"PPD-315","Analytic Foundations for Public Policy","","4.0 units","Lecture","51106R","001","10:00-11:50am","Tue, Thu","32","23","0","Pamela McCann","VPD110"
"PPD-318","Financial Accounting in Public and Non-Profit Organizations","","4.0 units","Lecture","51115R","001","6:00-9:20pm","Monday","32","12","0","Robert Smythe","VKC201"
"PPD-325","Fundamentals of Health Policy and Management","","4.0 units","Lecture","51108R","001","12:00-1:50pm","Mon, Wed","32","14","0","Neeraj Sood","RGL209"
"PPD-342","Crime and Public Policy","","4.0 units","Lecture","51118R","001","6:00-9:20pm","Tuesday","38","22","0","","THH119"
"PPD-353","Philanthropy and Social Change","","4.0 units","Lecture","51152R","001","6:00-9:20pm","Tuesday","32","12","0","Nicole Esparza","VKC256"
"PPD-357","Government and Business","P","4.0 units","Lecture","51139R","001","12:00-1:50pm","Tue, Thu","32","18","0","Michael Thom",""
"PPD-360","Urban Transportation Planning and Policy","","4.0 units","Lecture","51116R","001","6:00-9:20pm","Tuesday","32","11","0","Michael Kodama","VKC260"
"PPD-361","Sustainable Communities, Policy and Planning","","4.0 units","Lecture","51148R","001","2:00-3:50pm","Tue, Thu","40","40","0","Antonio Bento","VPD110"
"PPD-371","The Nonprofit Sector and the Public Interest","","4.0 units","Lecture","51123R","001","4:00-5:50pm","Tue, Thu","40","22","0","Cara Esposito","RGL100"
"PPD-373","Public Policy and Planning Analysis","P","4.0 units","Lecture","51114R","001","12:00-1:50pm","Tue, Thu","40","19","0","T J McCarthy","VPD112"
"PPD-400","Topics in Public Policy and Urban Studies","M","4.0 units","Lecture","51131R","001","2:00-3:50pm","Mon, Wed","25","18","0","David Sloane","VPD110"
"PPD-413","Administration of Health Care Organizations","","4.0 units","Lecture","51147R","001","10:00-11:50am","Mon, Wed","32","12","0","Philip Dalton","SOSB37"
"PPD-422","Transportation and Technology and the Future of Mobility","","4.0 units","Lecture","51150R","001","TBA","TBA","40","23","0","","OFFICE"
"PPD-431","Undergraduate Policy, Planning, and Development Studio","MC","4.0 units","Lecture","51120R","001","6:00-9:20pm","Wednesday","25","25","0","Jason Neville","VKC200"
"","","","","Lecture","51121R","001","6:00-9:20pm","Thursday","25","11","0","","VKC200"
"","","","","Lecture","51128R","001","8:00-9:50am","Mon, Wed","25","9","0","Donald Spivack","VPD112"
"PPD-439","Housing and Community Development","","4.0 units","Lecture","51132R","001","6:00-9:20pm","Wednesday","40","22","0","Jennifer Thomas","THH118"
"PPD-478","Social Innovation","","4.0 units","Lecture","51125R","001","12:00-1:50pm","Tue, Thu","32","9","0","Alexandra Graddy-Reed","RGL209"
"PPD-485m","U.S. Immigration Policy","","4.0 units","Lecture","51153R","001","6:00-9:20pm","Thursday","32","1","0","Cynthia Lucas","VKC201"
"PPD-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","51135D","001","TBA","TBA","10","0","0","Samantha Malisos","OFFICE"
"PPD-497a","Senior Thesis","C","2.0 units","Lecture","51146D","001","TBA","TBA","10","0","0","Samantha Malisos","OFFICE"
"PPD-500","Intersectoral Leadership","","2.0 units","Lecture","51201R","001","6:00-7:50pm","Monday","20","7","0","Frank Zerunyan","RGL209"
"","","","","Lecture","51460D","593","TBA","TBA","40","0","0","William Leach","ONLINE"
"PPD-502x","Statistical Foundations for Public Management and Policy","","2.0 units","Lecture","51395D","593","TBA","TBA","60","0","0","John Calanni","ONLINE"
"PPD-503","Economics for Public Policy","","4.0 units","Lecture","51216D","001","2:00-5:20pm","Wednesday","20","20","0","Mark Phillips","VPD112"
"","","","","Lecture","51217D","001","6:00-9:20pm","Monday","20","11","0","Antonio Bento","VPD112"
"","","","","Lecture","51405D","530","TBA","TBA","28","1","0","Robert Ingenito","SACRAMENTO"
"","","","","Lecture","51501D","001","2:00-5:20pm","Tuesday","20","0","0","Gary Painter","RGL101"
"PPD-504","Essential Statistics for Public Management","","2.0 units","Lecture","51288R","001","TBA","TBA","20","9","0","Mark Phillips","TBA"
"PPD-508","Health Care Operations Improvement","","3.0 units","Lecture","31508D","048","6:40-9:20pm","Wednesday","40","1","0","","OHE100D"
"PPD-509","Problems and Issues in the Health Field","C","4.0 units","Lecture","51206D","001","6:00-9:20pm","Wednesday","27","2","0","Howard Greenwald","VPD110"
"","","","","Lecture","51275D","001","2:00-5:20pm","Wednesday","27","0","0","Philip Dalton","RGL215"
"","","","","Lecture","51282D","061","TBA","TBA","27","2","0","Lavonna Lewis","OFFICE"
"PPD-511","Health Information Systems","","2.0 units","Lecture","51775D","820","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","51776D","820","TBA","TBA","15","0","0","","ONLINE"
"PPD-513","Legal Issues in Health Care Delivery","C","2.0 units","Lecture","51290D","061","TBA","TBA","35","35","0","Ralph Oyaga","OFFICE"
"","","","","Lecture","51291D","001","6:00-7:50pm","Tuesday","35","28","0","Ian Spatz","VPD110"
"PPD-516","Financial Accounting for Health Care Organizations","C","4.0 units","Lecture","51271D","001","6:00-9:20pm","Monday","35","2","0","John Raffoul","RGL219"
"","","","","Lecture","51500D","001","6:00-9:20pm","Monday","35","2","0","Lannie Tonnu","VKC101"
"PPD-518","Quality of Care Concepts","","2.0 units","Lecture","51778D","820","TBA","TBA","27","0","0","","ONLINE"
"","","","","Lecture","51779D","820","TBA","TBA","27","0","0","","ONLINE"
"","","","","Lecture","51781D","820","TBA","TBA","20","0","0","","ONLINE"
"PPD-522","Planning Theory and History for a Just Society","","4.0 units","Lecture","51200R","001","9:00-12:20pm","Wednesday","60","6","0","Lisa Schweitzer",""
"PPD-528","Physical Planning: Urban and Community Design","","2.0 units","Lecture","51205R","001","2:00-4:00pm","Tuesday","60","5","0","Elizabeth Falletta","RGL101"
