b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPDE-580","Social Innovation","","4.0 units","Lecture","50915R","001","6:00-9:20pm","Tuesday","30","6","0","Christine Beckman","VKC261"
"PPDE-628","Introduction to Lean Health Care","","2.0 units","Lecture","50900R","061","TBA","TBA","25","25","0","Kevin Kaldjian","OFFICE"
"PPDE-629","Transitional Care and Hospital Readmission Prevention","","2.0 units","Lecture","50901R","061","TBA","TBA","25","5","0","Joshua Luke","TBA"
"PPDE-636","Urban Spatial Ethnography and Critical Cartography","","4.0 units","Lecture","50907R","001","9:00-12:20pm","Tuesday","20","20","0","Annette Kim","OFFICE"
"PPDE-639","Housing Dynamics for Policy and Planning","","4.0 units","Lecture","51073R","001","6:00-9:20pm","Tuesday","30","4","0","Dowell Myers","RGL215"
"PPDE-640","Environmental Planning and Analysis","","4.0 units","Lecture","51074R","001","6:00-9:20pm","Monday","30","5","0","","VKC200"
"PPDE-645","Financial Management of Nonprofit Organizations","","4.0 units","Lecture","50908R","001","6:00-9:20pm","Wednesday","25","9","0","Linda Sanner","VKC201"
"PPDE-646","Grant Writing Practicum","","2.0 units","Lecture","50905R","061","TBA","TBA","25","18","0","Kimberly Tso","TBA"
"PPDE-648","Performance Management","","4.0 units","Lecture","51072D","593","TBA","TBA","25","0","0","Paul Bentley","ONLINE"
"PPDE-668","Applied Econometrics for Program Evaluation","P","4.0 units","Lecture","50912D","001","6:00-9:20pm","Tuesday","37","32","0","T J McCarthy","VPD116"
"PPDE-669","U.S. Education Policy","","4.0 units","Lecture","50913R","001","2:00-5:20pm","Thursday","20","18","0","Julie Marsh",""
'
