b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PR-209","Effective Writing for Strategic Public Relations","","4.0 units","Lecture","21070D","001","9:00-12:20pm","Monday","16","1","0","","ANN211"
"","","","","Lecture","21071D","001","9:00-12:20pm","Monday","16","0","0","","ANN405"
"","","","","Lecture","21072D","001","2:00-5:20pm","Monday","16","1","0","","ANN413"
"","","","","Lecture","21073D","001","9:00-12:20pm","Monday","16","0","0","","ANN413"
"","","","","Lecture","21074D","001","9:00-12:20pm","Thursday","16","1","0","","ANN413"
"PR-250","Strategic Public Relations: An Introduction","","4.0 units","Lecture","21184D","001","6:00-9:20pm","Monday","20","0","0","","ASC240"
"","","","","Lecture","21186D","001","9:00-12:20pm","Tuesday","20","2","0","","ANN405"
"","","","","Lecture","21187D","001","6:00-9:20pm","Wednesday","20","1","0","","ANN211"
"","","","","Lecture","21188D","001","2:00-5:20pm","Thursday","20","2","0","","ANN211"
"PR-340","Introduction to Advertising","","4.0 units","Lecture","21145R","001","6:30-9:50pm","Monday","36","10","0","","ANN406"
"","","","","Lecture","21146R","001","6:30-9:50pm","Tuesday","36","16","0","","ANN406"
"PR-341","Advertising Copywriting","P","4.0 units","Lecture","21155R","001","6:00-9:20pm","Tuesday","33","10","0","","ASC228"
"PR-342","Advertising Media and Analysis","P","4.0 units","Lecture","21160R","001","6:30-9:50pm","Thursday","33","3","0","","ANN L116"
"PR-351a","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21190D","001","2:00-5:20pm","Thursday","11","6","0","","ANN307"
"","","","","Lecture","21192D","001","2:00-5:20pm","Tuesday","11","11","0","","ANN L115"
"PR-351b","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21200D","001","6:30-9:50pm","Tuesday","14","3","0","","ANN305"
"","","","","Lecture","21201D","001","6:00-9:20pm","Tuesday","14","9","0","","ANN408"
"","","","","Lecture","21202D","001","9:00-12:20pm","Tuesday","14","12","0","Jennifer De La Fuente","ANN413"
"","","","","Lecture","21204D","001","2:00-5:20pm","Thursday","14","11","0","","ANN308"
"","","","","Lecture","21205D","001","9:00-12:20pm","Thursday","14","3","0","Keith Plocek","ANN408"
"PR-352","Public Relations Media and Content for Non-Majors","PM","4.0 units","Lecture","21208R","001","6:00-9:20pm","Thursday","15","10","0","","ANN308"
"PR-428","Social, Legal and Ethical Foundations of Public Relations","P","4.0 units","Lecture","21240D","001","2:00-5:20pm","Thursday","20","11","0","","ASC331"
"PR-429","Business and Economic Foundations of Public Relations","P","4.0 units","Lecture","21241D","001","2:00-5:20pm","Tuesday","17","17","0","Burghardt Tenderich","ANN211"
"","","","","Lecture","21242D","001","6:00-9:20pm","Thursday","17","10","0","","ANN L115"
"","","","","Lecture","21243D","001","9:00-12:20pm","Monday","17","7","0","","ANN L115"
"","","","","Lecture","21244D","001","2:00-5:20pm","Monday","17","16","0","","ANN L116"
"PR-444","Lifestyle Public Relations","","4.0 units","Lecture","21185R","001","6:30-9:50pm","Wednesday","30","30","0","Jennifer Floto","ANN L115"
"PR-450","Advanced Strategic Public Relations","P","4.0 units","Lecture","21268D","001","6:00-9:20pm","Tuesday","15","11","0","Fred Cook","ASC230"
"PR-452","Public Relations in Entertainment","","4.0 units","Lecture","21270R","001","6:30-9:50pm","Wednesday","36","21","0","","ANN406"
"PR-454","Sports Public Relations","","2.0 units","Lecture","21275R","001","6:30-8:10pm","Tuesday","25","21","0","","ANN L115"
"PR-455","Public Relations for Non-Profit Organizations","","4.0 units","Lecture","21278R","001","6:00-9:20pm","Thursday","16","12","0","","ANN305"
"PR-458","Public Relations in Politics and Political Campaigns","","4.0 units","Lecture","21280R","001","2:00-5:20pm","Wednesday","33","15","0","","ANN L116"
"PR-463","Strategic Public Relations Research, Analysis and Insights","P","4.0 units","Lecture","21290D","001","2:00-5:20pm","Thursday","20","7","0","","ASC240"
"","","","","Lecture","21291D","001","12:00-1:50pm","Mon, Wed","20","18","0","Jennifer Floto","ANN309"
"","","","","Lecture","21292D","001","2:00-5:20pm","Wednesday","20","18","0","Aimei Yang","ANN309"
"","","","","Lecture","21293D","001","12:00-1:50pm","Mon, Wed","20","8","0","Eunjin (anna) Kim","ANN406"
"PR-478","Social Media Analytics: Data and Content Creation for Real-time Public Relations","","4.0 units","Lecture","21316D","001","2:00-5:20pm","Tuesday","20","14","0","Matthew Leveque","ANN308"
"PR-486","Multimedia PR Content: Introduction to Digital Design Tools","","2.0 units","Lecture","21320R","001","12:00-1:40pm","Thursday","16","16","0","Jennifer De La Fuente","ANN307"
"PR-487","Multimedia PR Content: Introduction to Audio/Video Tools","","2.0 units","Lecture","21075R","001","2:00-3:40pm","Thursday","16","11","0","","ANN405"
"PR-488","Multimedia PR Content: Visual Communication of Information","","2.0 units","Lecture","21370R","001","10:00-11:40am","Wednesday","16","16","0","Jennifer De La Fuente","ANN413"
