b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTR-100Lxg","The Universe","","4.0 units","Lecture","50800R","001","12:00-1:50pm","Tue, Thu","128","128","0","Vahe Peroomian","SLH200"
"","","","","Lab","50802R","001","10:00-11:50am","Tuesday","16","16","0","","SGM313"
"","","","","Lab","50803R","001","10:00-11:50am","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50804R","001","10:00-11:50am","Thursday","16","16","0","","SGM313"
"","","","","Lab","50805R","001","12:00-1:50pm","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50806R","001","2:00-3:50pm","Tuesday","16","16","0","","SGM313"
"","","","","Lab","50807R","001","2:00-3:50pm","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50808R","001","2:00-3:50pm","Thursday","16","16","0","","SGM313"
"","","","","Lab","50809R","001","4:00-5:50pm","Thursday","16","16","0","","SGM313"
"","","","","Quiz","50801R","001","TBA","TBA","128","128","0","","OFFICE"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","128","55","0","Vahe Peroomian","SLH200"
"","","","","Lab","50812R","001","10:00-11:50am","Tuesday","16","5","0","","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Wednesday","16","11","0","","SGM313"
"","","","","Lab","50814R","001","10:00-11:50am","Thursday","16","4","0","","SGM313"
"","","","","Lab","50815R","001","12:00-1:50pm","Tuesday","16","4","0","","SGM313"
"","","","","Lab","50816R","001","12:00-1:50pm","Wednesday","16","15","0","","SGM313"
"","","","","Lab","50817R","001","12:00-1:50pm","Thursday","16","1","0","","SGM313"
"","","","","Lab","50818R","001","2:00-3:50pm","Tuesday","16","13","0","","SGM313"
"","","","","Lab","50819R","001","2:00-3:50pm","Thursday","16","2","0","","SGM313"
"","","","","Quiz","50811R","001","TBA","TBA","128","55","0","","OFFICE"
"ASTR-200Lg","Life in the Universe","","4.0 units","Lecture","50830R","001","2:00-3:20pm","Tue, Thu","90","75","0","Vahe Peroomian","SLH100"
"","","","","Lab","50832R","001","10:00-11:50am","Thursday","15","15","0","","SGM300"
"","","","","Lab","50833R","001","12:00-1:50pm","Thursday","15","15","0","","SGM300"
"","","","","Lab","50834R","001","10:00-11:50am","Friday","15","15","0","","SGM300"
"","","","","Lab","50835R","001","12:00-1:50pm","Friday","15","15","0","","SGM300"
"","","","","Lab","50836R","001","2:00-3:50pm","Thursday","15","0","0","","SGM300"
"","","","","Lab","50837R","001","2:00-3:50pm","Friday","15","15","0","","SGM300"
