b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSCI-501","Drugs: Principles of ADME and Bioavailability","","4.0 units","Lecture","49001D","005","3:00-4:50pm","Mon, Wed","40","0","0","","OFFICE"
"PSCI-502","Principles of Therapeutic Mechanisms","","4.0 units","Lecture","49002D","005","3:00-4:50pm","Tue, Thu","40","0","0","","OFFICE"
"PSCI-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-10:50am","Tue, Thu","90","0","0","<a href="http:// http://keck.usc.edu/pibbs/faculty/Axel-Schonthal/">Axel Schonthal,</a>Megan McCain,<br />Ebrahim Zandi,<br />Robert Chow,<br />Amir Goldkorn,<br />Chengyu Liang,<br /><a href="http://keck.usc.edu/pathology/faculty/Florence-M-Hofman/">Florence Hofman,</a>Ralf Langen,<br />Sarah Hamm-Alvarez,<br />Curtis Okamoto,<br />Yves Declerck,<br />Randall Widelitz,<br />Steve Swenson,<br /><a href="http://yinglab.usc.edu">Qilong Ying,</a>Josh Neman-Ebrahim",""
"PSCI-556","Principal Research Approaches and Scientific Writing","","4.0 units","Lecture","49056D","005","10:00-11:50am","Wed, Fri","25","0","0","","OFFICE"
"PSCI-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","Woojin An,<br />Roger Duncan,<br />Michael Lieber,<br />Sita Reddy,<br />Judd Rice,<br />Stanley Tahara,<br />Ebrahim Zandi,<br />Oliver Bell","TBA"
"PSCI-590","Directed Research","","1.0-12.0 units","Lecture","49020D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-594a","Master\'s Thesis","","2.0 units","Lecture","49024D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-594b","Master\'s Thesis","P","2.0 units","Lecture","49025D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-594z","Master\'s Thesis","P","0.0 units","Lecture","49026D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","49096D","005","TBA","TBA","20","0","0","","OFFICE"
"PSCI-655","Immunopharmaceutics","","2.0 units","Lecture","49035D","005","TBA","TBA","25","0","0","","TBA"
"PSCI-662","Advanced Pharmacokinetics/Pharmacodynamics","","2.0 units, max 4","Lecture","49028D","005","1:00-2:50pm","Monday","50","0","0","",""
"PSCI-790","Research","","1.0-12.0 units","Lecture","49060D","005","TBA","TBA","50","0","0","","OFFICE"
"PSCI-794a","Doctoral Dissertation","","2.0 units","Lecture","49070D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","49071D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","49072D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","49073D","005","TBA","TBA","30","0","0","","OFFICE"
"PSCI-794z","Doctoral Dissertation","PC","0.0 units","Lecture","49074D","005","TBA","TBA","30","0","0","","OFFICE"
'
