b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSYC-100Lg","Introduction to Psychology","","4.0 units","Lecture","52400R","001","9:30-10:50am","Tue, Thu","170","106","0","Leslie Berntsen","SGM123"
"","","","","Lab","52401R","001","10:00-11:50am","Friday","25","6","0","","KAP167"
"","","","","Lab","52402R","001","12:00-1:50pm","Tuesday","25","25","0","",""
"","","","","Lab","52403R","001","10:00-11:50am","Monday","25","11","0","","KAP167"
"","","","","Lab","52404R","001","8:00-9:50am","Wednesday","25","8","0","","KAP167"
"","","","","Lab","52406R","001","12:00-1:50pm","Monday","25","21","0","","KAP166"
"","","","","Lab","52407R","001","10:00-11:50am","Wednesday","25","21","0","","KAP167"
"","","","","Lab","52409R","001","12:00-1:50pm","Friday","25","3","0","","GFS223"
"","","","","Lab","52434R","001","4:00-5:50pm","Wednesday","25","11","0","","GFS220"
"","","","","Lecture","52410R","001","2:00-3:20pm","Mon, Wed","150","45","0","","SGM124"
"","","","","Lab","52412R","001","8:00-9:50am","Tuesday","25","4","0","","KAP164"
"","","","","Lab","52413R","001","12:00-1:50pm","Friday","25","4","0","","GFS222"
"","","","","Lab","52414R","001","8:00-9:50am","Thursday","25","1","0","","KAP166"
"","","","","Lab","52416R","001","8:00-9:50am","Wednesday","25","7","0","","KAP141"
"","","","","Lab","52418R","001","8:00-9:50am","Monday","25","1","0","","KAP141"
"","","","","Lab","52419R","001","2:00-3:50pm","Friday","25","4","0","","GFS222"
"","","","","Lab","52437R","001","10:00-11:50am","Friday","25","4","0","","KAP147"
"","","","","Lab","52445R","001","4:00-5:50pm","Wednesday","25","20","0","","KAP138"
"","","","","Lecture","52440R","001","3:30-4:50pm","Mon, Wed","150","20","0","Clayton Stephenson","SAL101"
"","","","","Lab","52433R","001","8:00-9:50am","Friday","25","0","0","","GFS109"
"","","","","Lab","52435R","001","8:00-9:50am","Thursday","25","0","0","","KAP164"
"","","","","Lab","52436R","001","8:00-9:50am","Tuesday","25","0","0","","KAP166"
"","","","","Lab","52441R","001","12:00-1:50pm","Wednesday","25","3","0","","VHE214"
"","","","","Lab","52444R","001","12:00-1:50pm","Monday","25","8","0","","KAP141"
"","","","","Lab","52446R","001","10:00-11:50am","Friday","25","2","0","","GFS207"
"","","","","Lab","52447R","001","2:00-3:50pm","Thursday","25","7","0","",""
"","","","","Lab","52448R","001","8:00-9:50am","Friday","25","0","0","","GFS221"
"PSYC-165Lg","Drugs, Behavior, and Society","","4.0 units","Lecture","52420R","001","2:00-3:20pm","Mon, Wed","140","141","0","John Monterosso","THH101"
"","","","","Lab","52422R","001","8:00-9:50am","Tuesday","25","14","0","","ZHS360"
"","","","","Lab","52423R","001","8:00-9:50am","Thursday","25","2","0","","SGM226"
"","","","","Lab","52424R","001","12:00-1:50pm","Friday","25","17","0","","WPHB30"
"","","","","Lab","52426R","001","4:00-5:50pm","Monday","25","25","0","","KAP166"
"","","","","Lab","52427R","001","4:00-5:50pm","Wednesday","25","24","0","","KAP166"
"","","","","Lab","52428R","001","10:00-11:50am","Friday","25","9","0","","KAP156"
"","","","","Lab","52429R","001","12:00-1:50pm","Monday","25","25","0","","WPHB30"
"","","","","Lab","52430R","001","12:00-1:50pm","Wednesday","25","25","0","","WPHB30"
"PSYC-210mgw","Social Analysis of Gender","","4.0 units","Lecture","34900R","001","12:30-1:50pm","Tue, Thu","20","20","0","Ange-Marie Alfaro","THH202"
"","","","","Discussion","34906R","001","9:00-9:50am","Friday","25","8","0","","THH213"
"","","","","Discussion","34907R","001","10:00-10:50am","Friday","25","3","0","","WPH206"
"","","","","Discussion","34908R","001","11:00-11:50am","Friday","25","4","0","","WPH206"
"","","","","Discussion","34909R","001","1:00-1:50pm","Friday","25","4","0","","THH213"
"","","","","Discussion","34910R","001","2:00-2:50pm","Friday","25","0","0","","THH213"
"","","","","Discussion","34911R","001","3:00-3:50pm","Friday","25","1","0","","THH213"
"PSYC-240xg","Scientific Inquiry and Reasoning in Health Care","","4.0 units","Lecture","52658R","001","2:00-3:50pm","Mon, Wed","44","10","0","Arthur Stone","WPH102"
"PSYC-274Lg","Statistics","","4.0 units","Lecture","52450R","001","3:30-4:50pm","Mon, Wed","35","2","0","William Breland","GFS207"
"","","","","Lab","52452R","001","10:00-11:50am","Tuesday","20","2","0","","SGM631"
"","","","","Lab","52454R","001","4:00-5:50pm","Friday","20","0","0","","SGM631"
"","","","","Lecture","52455R","001","9:30-10:50am","Tue, Thu","35","27","0","Rand Wilcox","SGM601"
"","","","","Lab","52456R","001","12:00-1:50pm","Thursday","20","11","0","","SGM631"
"","","","","Lab","52457R","001","2:00-3:50pm","Tuesday","20","16","0","","SGM631"
"","","","","Lecture","52460R","001","2:00-3:20pm","Mon, Wed","35","7","0","William Breland","SGM601"
"","","","","Lab","52461R","001","4:00-5:50pm","Tuesday","20","5","0","","SGM631"
"","","","","Lab","52462R","001","2:00-3:50pm","Friday","20","2","0","","SGM631"
"","","","","Lecture","52473R","001","8:30-9:50am","Mon, Wed","35","7","0","Clayton Stephenson","SGM601"
"","","","","Lab","52474R","001","10:00-11:50am","Thursday","20","2","0","","SGM631"
"","","","","Lab","52475R","001","6:00-7:50pm","Wednesday","20","5","0","","SGM631"
"","","","","Lecture","52476R","001","8:30-9:50am","Mon, Wed","35","4","0","William Breland","GFS207"
"","","","","Lab","52477R","001","12:00-1:50pm","Friday","20","4","0","","SGM631"
"","","","","Lab","52478R","001","10:00-11:50am","Friday","20","0","0","","SGM631"
"","","","","Lecture","52470R","001","12:30-1:50pm","Tue, Thu","35","26","0","Sule Guney","GFS207"
"","","","","Lab","52471R","001","8:00-9:50am","Tuesday","20","6","0","","SGM631"
"","","","","Lab","52472R","001","12:00-1:50pm","Wednesday","20","20","0","","SGM631"
"PSYC-275Lg","Language and Mind","","4.0 units","Lecture","38971R","001","11:00-12:20pm","Tue, Thu","80","4","0","Barry Schein,<br />Toby Mintz","GFS106"
"","","","","Lab","38821R","001","8:30-9:50am","Monday","20","0","0","","WPHB36"
"","","","","Lab","38823R","001","10:00-11:50am","Monday","20","3","0","","KAP159"
"","","","","Lab","38824R","001","10:00-11:50am","Monday","20","0","0","","VKC107"
"","","","","Lab","38825R","001","12:00-1:50pm","Monday","20","1","0","","KAP138"
"","","","","Lecture","38972R","001","12:30-1:50pm","Tue, Thu","80","7","0","Barry Schein,<br />Toby Mintz","GFS116"
"","","","","Lab","38978R","001","10:00-11:50am","Friday","20","3","0","",""
"","","","","Lab","38980R","001","10:00-11:50am","Friday","20","0","0","",""
"","","","","Lab","38982R","001","12:00-1:50pm","Friday","20","4","0","","WPHB36"
"","","","","Lab","38984R","001","12:00-1:50pm","Friday","20","0","0","",""
"PSYC-290x","Supervised Research in Psychology","P","2.0-4.0 units, max 8","Lecture","52483D","001","TBA","TBA","10","0","0","","OFFICE"
"PSYC-304L","Sensation and Perception","P","4.0 units","Lecture-Lab","52485R","001","4:00-5:50pm","Tue, Thu","77","47","0","Ernest Greene","GFS106"
"PSYC-305","Learning and Memory","P","4.0 units","Lecture","52500R","001","10:00-11:50am","Tue, Thu","85","71","0","Dave Lavond","SLH100"
"PSYC-314L","Experimental Research Methods","P","4.0 units","Lecture","52520R","001","2:00-3:20pm","Mon, Wed","48","21","0","Hok Chio (mark) Lai","GFS101"
"","","","","Lab","52521R","001","8:00-9:50am","Friday","25","5","0","","WPHB36"
"","","","","Lab","52522R","001","2:00-3:50pm","Friday","25","16","0","","KOH208"
"","","","","Lecture","52524R","001","8:00-9:20am","Tue, Thu","48","28","0","Sule Guney","SGM601"
"","","","","Lab","52517R","001","2:00-3:50pm","Thursday","25","13","0","","KOH208"
"","","","","Lab","52523R","001","10:00-11:50am","Wednesday","25","15","0","","KOH208"
"PSYC-316L","Non-Experimental Research Methods","P","4.0 units","Lecture","52619R","001","2:00-3:20pm","Tue, Thu","48","47","0","Canan Ipek","GFS118"
"","","","","Lab","52652R","001","8:00-9:50am","Wednesday","25","22","0","","KOH208"
