b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PTE-411x","Introduction to Transport Processes in Porous Media","M","3.0 units","Lecture","32200D","001","3:30-6:10pm","Friday","30","0","0","Jincai Chang","OHE100C"
"","","","","Lecture","32202D","014","3:30-6:10pm","Friday","20","0","0","Jincai Chang","DEN@Viterbi"
"PTE-461","Formation Data Sensing with Well Logs","","4.0 units","Lecture","32204D","001","9:00-10:50am","Tue, Thu","56","0","0","Birendra Jha","OHE100D"
"","","","","Lecture","32206D","014","9:00-10:50am","Tue, Thu","25","0","0","Birendra Jha","DEN@Viterbi"
"PTE-463L","Introduction to Transport Processes in Porous Media","P","4.0 units","Lecture","32208D","001","2:00-3:50pm","Mon, Wed","36","0","0","Kristian Jessen",""
"","","","","Lab","32210R","001","3:30-5:50pm","Monday","12","0","0","","PCE313"
"","","","","Lab","32288R","001","3:30-5:50pm","Tuesday","12","0","0","","PCE313"
"","","","","Lab","32290R","001","3:30-5:50pm","Thursday","12","0","0","","PCE313"
"PTE-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","5:30-8:00pm","Tuesday","30","2","0","","GFS223"
"","","","","Lab","32214R","001","8:10-9:10pm","Tuesday","30","2","0","","PCE313"
"PTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","32216D","001","TBA","TBA","15","0","0","","OFFICE"
"PTE-500","Computational Reservoir Modeling","M","3.0 units","Lecture","32205D","048","3:30-6:10pm","Tuesday","45","0","0","Jincai Chang","OHE100B"
"","","","","Lecture","32207D","034","3:30-6:10pm","Tuesday","20","0","0","Jincai Chang","DEN@Viterbi"
"PTE-502","Advanced Reservoir Characterization","PMC","3.0 units","Lecture","32215D","048","3:30-6:10pm","Monday","30","0","0","Iraj Ershaghi","OHE136"
"PTE-507","Engineering and Economic Evaluation of Subsurface Reservoirs","P","3.0 units","Lecture","32276D","048","6:40-9:20pm","Thursday","28","0","0","Jincai Chang","OHE120"
"","","","","Lecture","32278D","034","6:40-9:20pm","Thursday","20","0","0","Jincai Chang","DEN@Viterbi"
"PTE-519","Integrated Physical and Cyber Security for Oil and Gas Operations","C","3.0 units","Lecture","32292D","048","12:30-3:10pm","Wednesday","40","0","0","Donald Paul","OHE100C"
"","","","","Lecture","32294D","034","12:30-3:10pm","Wednesday","15","0","0","Donald Paul","DEN@Viterbi"
"PTE-582","Fluid Flow and Transport Processes in Porous Media","","3.0 units","Lecture","32268D","048","3:30-6:10pm","Wednesday","50","0","0","","OHE136"
"","","","","Lecture","32270D","034","3:30-6:10pm","Wednesday","18","0","0","","DEN@Viterbi"
"PTE-586","Intelligent and Collaborative Oilfield Systems Characterization and Management","C","3.0 units","Lecture","32280D","048","11:00-1:40pm","Thursday","28","0","0","Fred Aminzadeh","OHE120"
"","","","","Lecture","32282D","034","11:00-1:40pm","Thursday","20","0","0","Fred Aminzadeh","DEN@Viterbi"
"PTE-590","Directed Research","","1.0-12.0 units","Lecture","32246D","048","TBA","TBA","30","0","0","","OFFICE"
"PTE-594a","Master\'s Thesis","C","2.0 units","Lecture","32248D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-594b","Master\'s Thesis","PC","2.0 units","Lecture","32249D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-594z","Master\'s Thesis","PC","0.0 units","Lecture","32252D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32254D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-790","Research","","1.0-12.0 units","Lecture","32256D","048","TBA","TBA","25","0","0","","OFFICE"
"PTE-794a","Doctoral Dissertation","","2.0 units","Lecture","32228D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32229D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32262D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32264D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32266D","048","TBA","TBA","15","0","0","","OFFICE"
'
