b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PUBD-419","Public Diplomacy in Los Angeles","","4.0 units","Lecture","52807R","001","2:00-4:50pm","Tuesday","19","2","0","Robert Banks","ASC G34"
"PUBD-502","Historical and Comparative Approaches to Public Diplomacy","","4.0 units","Lecture","52832D","001","2:00-4:50pm","Tuesday","25","4","0","Nick Cull","ASC228"
"PUBD-504","Global Issues and Public Diplomacy","","4.0 units","Lecture","52834D","001","2:00-4:50pm","Wednesday","19","5","0","Robert Banks,<br /><a href="http://annenberg.usc.edu/Faculty/Communication/CullN.aspx">Nick Cull</a>","ASC331"
"PUBD-518","International Exchanges and Public Diplomacy","","4.0 units","Lecture","52848D","001","2:00-4:50pm","Thursday","19","1","0","Robert Banks","ASC328"
"PUBD-519","News Media and the Foreign Policy Process","","4.0 units","Lecture","52849D","001","9:00-11:50am","Thursday","19","6","0","Philip Seib","ASC328"
"PUBD-590","Directed Research","","1.0-12.0 units","Lecture","52880D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52881D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52882D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52883D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52884D","001","TBA","TBA","10","0","0","","OFFICE"
"PUBD-596","Practicum in Public Diplomacy Research","","4.0 units","Lecture","52887D","001","TBA","TBA","19","1","0","","OFFICE"
'
