b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARCH-213ag","Building Structures and Seismic Design","","3.0 units","Lecture","11209D","001","2:00-3:20pm","Tue, Thu","91","2","0","","HAR101"
"","","","","Lab","11210R","001","3:30-4:20pm","Thursday","30","2","0","",""
"","","","","Lab","11211R","001","3:30-4:20pm","Thursday","30","0","0","",""
"","","","","Lab","11213R","001","3:30-4:20pm","Thursday","30","0","0","",""
"BUAD-310g","Applied Business Statistics","C","4.0 units","Lecture","14882R","001","8:00-9:10am","Mon, Wed","76","24","0","","HOH EDI"
"","","","","Discussion","14883R","001","9:20-10:30am","Monday","19","15","0","","ACC205"
"","","","","Discussion","14884R","001","10:40-11:50am","Monday","19","2","0","","ACC205"
"","","","","Discussion","14885R","001","9:20-10:30am","Wednesday","19","6","0","","ACC205"
"","","","","Discussion","14886R","001","10:40-11:50am","Wednesday","19","1","0","","ACC205"
"","","","","Lecture","14896R","001","10:00-11:10am","Tue, Thu","76","50","0","","JFF LL105"
"","","","","Discussion","14892R","001","12:00-1:10pm","Tuesday","19","19","0","","JFF328"
"","","","","Discussion","14893R","001","1:30-2:40pm","Tuesday","19","9","0","","JFF328"
"","","","","Discussion","14894R","001","12:00-1:10pm","Thursday","19","19","0","","JFF328"
"","","","","Discussion","14895R","001","1:30-2:40pm","Thursday","19","3","0","","JFF328"
"","","","","Lecture","14912R","001","2:00-3:10pm","Mon, Wed","76","67","0","","HOH EDI"
"","","","","Discussion","14897R","001","4:00-5:10pm","Monday","19","19","0","","ACC205"
"","","","","Discussion","14898R","001","5:20-6:30pm","Monday","19","13","0","","ACC205"
"","","","","Discussion","14899R","001","4:00-5:10pm","Wednesday","19","19","0","","ACC205"
"","","","","Discussion","14910R","001","5:20-6:30pm","Wednesday","19","16","0","","ACC205"
"","","","","Lecture","14917R","001","4:00-5:10pm","Mon, Wed","76","15","0","","HOH EDI"
"","","","","Discussion","14913R","001","6:40-7:50pm","Monday","19","8","0","","ACC205"
"","","","","Discussion","14914R","001","8:00-9:10pm","Monday","19","3","0","","ACC205"
"","","","","Discussion","14915R","001","6:40-7:50pm","Wednesday","19","3","0","","ACC205"
"","","","","Discussion","14916R","001","8:00-9:10pm","Wednesday","19","1","0","","ACC205"
"","","","","Lecture","14921R","001","4:00-5:10pm","Tue, Thu","76","38","0","","JFF LL105"
"","","","","Discussion","14922R","001","5:20-6:30pm","Tuesday","19","19","0","","JFF328"
"","","","","Discussion","14923R","001","6:40-7:50pm","Tuesday","19","4","0","","JFF328"
"","","","","Discussion","14924R","001","5:20-6:30pm","Thursday","19","15","0","","JFF328"
"","","","","Discussion","14925R","001","6:40-7:50pm","Thursday","19","0","0","","JFF328"
"COMM-301Lg","Empirical Research in Communication","","4.0 units","Lecture-Lab","20458R","001","12:00-1:50pm","Mon, Wed","100","44","0","Carmen Lee","ANN L105A"
"CSCI-100xg","Explorations in Computing","","4.0 units","Lab","30212D","001","12:00-12:50pm","Wednesday","31","0","0","",""
"","","","","Lab","30213R","001","1:00-1:50pm","Wednesday","29","0","0","",""
"ECON-203g","Principles of Microeconomics","","4.0 units","Lecture","26022R","001","2:00-3:15pm","Tue, Thu","145","45","0","Brijesh Pinto","SGM101"
"","","","","Discussion","26024R","001","1:00-1:50pm","Friday","25","4","0","","KAP134"
"","","","","Discussion","26026R","001","10:00-10:50am","Friday","25","6","0","","KAP113"
"","","","","Discussion","26028R","001","6:00-6:50pm","Tuesday","25","22","0","","GFS107"
"","","","","Discussion","26030R","001","6:00-6:50pm","Thursday","25","8","0","","GFS109"
"","","","","Discussion","26032R","001","11:00-11:50am","Friday","25","5","0","","KAP113"
"","","","","Discussion","26038R","001","2:00-2:50pm","Friday","25","0","0","","GFS105"
"","","","","Lecture","26001R","001","8:30-9:50am","Mon, Wed","105","13","0","Manochehr Rashidian","MRF340"
"","","","","Discussion","26002R","001","6:00-6:50pm","Wednesday","25","6","0","","GFS213"
"","","","","Discussion","26003R","001","6:00-6:50pm","Thursday","27","1","0","","GFS108"
"","","","","Discussion","26006R","001","11:00-11:50am","Friday","6","2","0","","OFFICE"
"","","","","Discussion","26010R","001","6:00-6:50pm","Monday","29","4","0","","GFS213"
"ECON-205g","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","8:00-9:20am","Tue, Thu","92","15","0","Brijesh Pinto","SGM101"
"","","","","Discussion","26046R","001","9:00-9:50am","Friday","25","3","0","","KAP166"
"","","","","Discussion","26048R","001","10:00-10:50am","Friday","25","3","0","","KAP138"
"","","","","Discussion","26058R","001","6:00-6:50pm","Monday","28","3","0","","GFS220"
"","","","","Discussion","26059R","001","6:00-6:50pm","Thursday","28","6","0","","GFS222"
"","","","","Lecture","26062R","001","2:00-3:15pm","Mon, Wed","100","9","0","Lodovico Pizzati","SGM101"
"","","","","Discussion","26065R","001","10:00-10:50am","Friday","28","2","0","","KAP166"
"","","","","Discussion","26072R","001","6:00-6:50pm","Tuesday","25","3","0","","GFS222"
"","","","","Discussion","26076R","001","11:00-11:50am","Friday","20","0","0","","KAP134"
"","","","","Discussion","26078R","001","6:00-6:50pm","Wednesday","27","4","0","","GFS228"
"GESM-160g","Seminar in Quantitative Reasoning","C","4.0 units"
"","Mathematics for Earthling Ambassadors to Outer Space","","4.0","Lecture","35482D","001","1:00-1:50pm","MWF","2","0","0","Neelesh Tiruviluamala","GFS220"
"GESM-161g","Seminar in Quantitative Reasoning","C","4.0 units"
"","The Perils of Prediction","","4.0","Lecture","35485D","001","11:00-12:20pm","Tue, Thu","2","0","0","Todd Brun","LVL3Y"
"","Statistical Analysis for Games: Storytelling with Numbers","","4.0","Lecture","35486D","001","10:00-11:50am","Wed, Fri","2","0","0","Dennis Wixon",""
"","Statistics and Quantitative Literacy","","4.0","Lecture","35487D","001","2:00-3:20pm","Mon, Wed","19","0","0","Inga Maslova","LVL3Y"
"HP-340Lg","Health Behavior Statistical Methods","","4.0 units","Lecture-Lab","40567R","001","3:30-4:50pm","Mon, Wed","80","23","0","Trevor Pickering","MRF340"
"","","","","Lecture-Lab","40574R","001","2:00-3:20pm","Tue, Thu","85","9","0","Jimi Huh","ZHS159"
"HP-370g","Introduction to Epidemiology: Methods and Applications","","4.0 units","Lecture","40566R","001","3:30-4:50pm","Tue, Thu","60","7","0","Mariana Stern","LVL17"
"IR-211g","International Relations: Approaches to Research","","4.0 units","Lecture","37733R","001","11:00-11:50am","MWF","100","11","0","Megan Becker","WPHB27"
"","","","","Discussion","37734R","001","1:00-1:50pm","Friday","25","1","0","","VKC157"
"","","","","Discussion","37735R","001","1:00-1:50pm","Tuesday","25","4","0","","THH217"
"","","","","Discussion","37736R","001","9:00-9:50am","Wednesday","25","3","0","","VKC157"
"","","","","Discussion","37737R","001","12:00-12:50pm","Friday","25","3","0","","VKC154"
"LING-210g","Introduction to Linguistics","","4.0 units","Discussion","38927R","001","9:30-10:50am","Friday","25","7","0","","GFS108"
"","","","","Discussion","38928R","001","11:00-12:20pm","Friday","25","14","0","","GFS108"
"","","","","Lecture","38818R","001","12:00-1:50pm","Mon, Wed","30","21","0","Sandra Disner","GFS118"
"MATH-108g","Contemporary Precalculus","P","4.0 units","Lecture","39403R","001","9:00-9:50am","MWF","49","5","0","","KAP156"
"","","","","Discussion","39404R","001","10:00-10:50am","Tue, Thu","25","3","0","","GFS212"
"","","","","Discussion","39405R","001","11:00-11:50am","Tue, Thu","25","2","0","","GFS212"
"","","","","Lecture","39406R","001","12:00-12:50pm","MWF","49","3","0","","LVL17"
"","","","","Discussion","39407R","001","8:00-8:50am","Tue, Thu","25","0","0","","WPH201"
"","","","","Discussion","39408R","001","9:00-9:50am","Tue, Thu","25","3","0","","WPH201"
"MATH-114xg","Foundations of Statistics","","4.0 units","Lecture","39410R","001","10:00-10:50am","MWF","49","4","0","","THH212"
"","","","","Discussion","39411R","001","8:00-8:50am","Tue, Thu","25","1","0","","VHE206"
"","","","","Discussion","39412R","001","9:00-9:50am","Tue, Thu","25","3","0","","VHE206"
"","","","","Lecture","39413R","001","11:00-11:50am","MWF","49","2","0","","SOS B46"
"","","","","Discussion","39414R","001","2:00-2:50pm","Tue, Thu","25","1","0","","GFS113"
"","","","","Discussion","39415R","001","3:00-3:50pm","Tue, Thu","25","1","0","","GFS113"
