b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"RED-362","Real Estate Development Fundamentals","P","4.0 units","Lecture","51650R","001","8:00-9:50am","Tue, Thu","30","5","0","Jorge De La Roca","VPD112"
"","","","","Lecture","51651R","001","12:00-1:50pm","Tue, Thu","30","24","0","Jorge De La Roca","VPD110"
"RED-375","Real Estate Development Analysis","P","4.0 units","Lecture","51644R","001","12:00-1:50pm","Mon, Wed","25","25","0","John Loper","VPD110"
"","","","","Lecture","51652R","001","4:00-5:50pm","Mon, Wed","25","2","0","","VPD110"
"","","","","Lecture","51653R","001","12:00-1:50pm","Tue, Thu","25","15","0","John Loper","RGL219"
"RED-398","Shaping Cities Through Real Estate","","2.0-4.0 units, max 8"
"","Residential Properties","","4.0","Lecture","51662R","001","6:00-9:20pm","Monday","35","35","0","Aleks Baharlo","VKC261"
"","Retail Properties","","4.0","Lecture","51663R","001","6:00-9:20pm","Thursday","30","13","0","Bret Nielsen","VPD112"
"RED-417","History of Planning and Development","P","4.0 units","Lecture","51654R","001","10:00-11:50am","Tue, Thu","50","26","0","Cara Mullio",""
"","","","","Lecture","51655R","001","10:00-11:50am","Mon, Wed","50","39","0","David Sloane","VPD112"
"RED-425","Designing Livable Communities","P","4.0 units","Lecture","51656R","001","2:00-5:50pm","Monday","25","25","0","Elizabeth Falletta","SOS B47"
"","","","","Lecture","51657R","001","2:00-5:50pm","Wednesday","25","25","0","Elizabeth Falletta","RGL209"
"","","","","Lecture","51664R","001","6:00-9:20pm","Wednesday","25","25","0","Shawn Godkin","RGL219"
"RED-435","Analyzing Real Estate Markets","P","4.0 units","Lecture","51658R","001","12:00-1:50pm","Mon, Wed","30","27","0","James Howard","VPD112"
"","","","","Lecture","51659R","001","2:00-3:50pm","Tue, Thu","30","26","0","Marylynne Boorn","RGL100"
"RED-437","Advanced Finance and Investment for Real Estate Development","P","4.0 units","Lecture","51660R","001","6:00-9:20pm","Wednesday","25","16","0","Christian Redfearn","RGL215"
"","","","","Lecture","51665R","001","2:00-3:50pm","Tue, Thu","25","11","0","",""
"RED-490","Directed Research","","1.0-8.0 units, max 12","Lecture","51661D","001","TBA","TBA","10","0","0","Samantha Malisos","OFFICE"
"RED-509","Market Analysis for Real Estate","P","4.0 units","Lecture","51600D","038","6:00-9:30pm","Tuesday","30","0","0","Marylynne Boorn","VKC203"
"RED-510","Real Estate Practice and Principles","","4.0 units","Lecture","51602R","038","6:00-9:30pm","Monday","30","7","0","Joel Bryant","VKC210"
"RED-511","Foundations of Real Estate Analysis","P","4.0 units","Lecture","51603R","038","6:00-9:30pm","Monday","30","16","0","","VKC260"
"RED-542","Finance of Real Estate Development","P","3.0 units","Lecture","51605D","038","6:00-8:50pm","Thursday","25","0","0","Alon Kraft,<br />Babak Ziai","VKC203"
"","","","","Lab","51606R","038","4:00-5:50pm","Thursday","25","0","0","Iain Gulin",""
"RED-544","Real Estate Capital Markets","P","2.0 units","Lecture","51607D","038","6:30-8:20pm","Wednesday","50","0","0","Shlomi Ronen","RGL100"
"RED-551","The Approval Process","","4.0 units","Lecture","51608D","038","9:00-11:50am","Thursday","30","0","0","","RGL209"
"RED-562","Legal Issues in Real Estate Development","","4.0 units","Lecture","51609D","038","8:00-11:50am","Monday","25","0","0","Keith Allen-Niesen","RGL215"
"RED-563","Introduction to the Asset Management of Real Estate","","2.0 units","Lecture","51610D","038","8:00-9:50am","Tuesday","25","0","0","Stanley Iezman","VPD110"
"RED-574","Building Typologies","","2.0 units","Lecture","51612D","038","4:00-5:50pm","Wednesday","25","0","0","Carl Meyer,<br />Shawn Godkin","RGL101"
"","","","","Lecture","51613D","038","TBA","TBA","10","0","0","Carl Meyer,<br />Shawn Godkin","TBA"
"RED-590","Directed Research","","1.0-12.0 units","Lecture","51614D","038","TBA","TBA","10","0","0","","OFFICE"
"RED-598","Real Estate Product Development","","2.0-4.0 units, max 12","Lecture","51615D","038","6:00-7:50pm","Monday","25","0","0","Nam Joe","THH110"
'
