b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"REL-111g","The World of the Hebrew Bible","","4.0 units","Lecture-Discussion","60000R","001","2:00-3:20pm","Mon, Wed","19","19","0","Bruce Zuckerman","THH202"
"REL-115g","Jerusalem, City of Three Faiths","","4.0 units","Lecture","60036R","001","9:30-10:50am","Tue, Thu","50","17","0","Jessica Marglin","VKC150"
"","","","","Discussion","60037R","001","10:00-10:50am","Monday","26","6","0","","THH B10"
"","","","","Discussion","60038R","001","11:00-11:50am","Monday","25","11","0","","THH B10"
"REL-136g","Sense and Sensuality in Indian Religions and Culture","","4.0 units","Lecture","60013R","001","3:30-4:50pm","Mon, Wed","100","37","0","James McHugh","THH301"
"","","","","Discussion","60014R","001","12:00-12:50pm","Friday","25","7","0","","SOSB37"
"","","","","Discussion","60015R","001","1:00-1:50pm","Friday","25","7","0","","THH110"
"","","","","Discussion","60016R","001","10:00-10:50am","Friday","25","15","0","","THH110"
"","","","","Discussion","60017R","001","11:00-11:50am","Friday","25","8","0","","VKC258"
"REL-137g","Introduction to Islam","","4.0 units","Lecture","60042R","001","11:00-12:20pm","Tue, Thu","100","89","0","Sherman Jackson","WPHB27"
"","","","","Discussion","60043R","001","10:00-10:50am","Wednesday","25","14","0","","VKC151"
"","","","","Discussion","60044R","001","11:00-11:50am","Wednesday","25","25","0","","VKC151"
"","","","","Discussion","60045R","001","12:00-12:50pm","Wednesday","25","25","0","","VKC106"
"","","","","Discussion","60046R","001","1:00-1:50pm","Wednesday","25","25","0","","VKC106"
"REL-301","Introduction to the Study of Religion","","4.0 units","Lecture","60055R","001","2:00-3:20pm","Tue, Thu","19","5","0","Cavan Concannon","THH214"
"REL-325g","Religious Experience in the Greco-Roman World","","4.0 units","Lecture","60060R","001","2:00-3:20pm","Mon, Wed","19","13","0","Sheila Briggs","VKC160"
"REL-350","Drugs, Alcohol, Visions and Altered States in Religion","","4.0 units","Lecture","60075R","001","5:00-6:20pm","Mon, Wed","19","19","0","James McHugh","THH112"
"REL-359g","Culture in Diaspora: The Jews of Spain","","4.0 units","Lecture-Discussion","60084R","001","11:00-12:20pm","Tue, Thu","19","19","0","Jessica Marglin","THH215"
"REL-462","Religion and Violence","","4.0 units","Lecture","60125R","001","2:00-4:50pm","Tuesday","19","4","0","James Lewis Heft","THH207"
"REL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60150D","001","TBA","TBA","10","0","0","Lori Meeks","OFFICE"
"","","","","Lecture","60151D","001","TBA","TBA","20","0","0","Lori Meeks","OFFICE"
"REL-491x","Undergraduate Honors Research","MC","4.0 units","Lecture","60155D","001","TBA","TBA","10","0","0","Lori Meeks","OFFICE"
"REL-500","Methods and Theories in the Study of Religion","","4.0 units","Lecture","60167D","001","12:30-1:50pm","Tue, Thu","5","1","0","Cavan Concannon","VKC153"
"REL-590","Directed Research","","1.0-12.0 units","Lecture","60160D","001","TBA","TBA","10","0","0","Lori Meeks","OFFICE"
"","","","","Lecture","60161D","001","TBA","TBA","5","0","0","Lori Meeks","OFFICE"
"REL-592","Professionalization Proseminar in Religious Studies","","2.0 units","Lecture","60162D","001","12:30-1:50pm","Wednesday","5","0","0","David Albertson","ACB330"
"REL-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","60163D","001","12:30-1:50pm","Monday","5","0","0","David Albertson","ACB238"
"REL-652","Readings in Buddhist Texts","","4.0 units, max 12"
"","Readings in Buddhist Texts: East Asian","","4.0","Lecture","60182D","001","12:00-2:50pm","Friday","5","0","0","Lori Meeks","TBA"
"REL-790","Research","","1.0-12.0 units","Lecture","60190D","001","TBA","TBA","5","0","0","Lori Meeks","OFFICE"
"REL-794a","Doctoral Dissertation","C","2.0 units","Lecture","60194D","001","TBA","TBA","3","0","0","Lori Meeks","OFFICE"
"REL-794b","Doctoral Dissertation","P","2.0 units","Lecture","60195D","001","TBA","TBA","3","0","0","Lori Meeks","OFFICE"
"REL-794c","Doctoral Dissertation","P","2.0 units","Lecture","60196D","001","TBA","TBA","3","0","0","Lori Meeks","OFFICE"
"REL-794d","Doctoral Dissertation","P","2.0 units","Lecture","60197D","001","TBA","TBA","3","0","0","Lori Meeks","OFFICE"
"REL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","60198D","001","TBA","TBA","3","0","0","Lori Meeks","OFFICE"
'
