b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTR-100Lxg","The Universe","","4.0 units","Lecture","50800R","001","12:00-1:50pm","Tue, Thu","128","128","0","Vahe Peroomian","SLH200"
"","","","","Lab","50802R","001","10:00-11:50am","Tuesday","16","16","0","","SGM313"
"","","","","Lab","50803R","001","10:00-11:50am","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50804R","001","10:00-11:50am","Thursday","16","16","0","","SGM313"
"","","","","Lab","50805R","001","12:00-1:50pm","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50806R","001","2:00-3:50pm","Tuesday","16","16","0","","SGM313"
"","","","","Lab","50807R","001","2:00-3:50pm","Wednesday","16","16","0","","SGM313"
"","","","","Lab","50808R","001","2:00-3:50pm","Thursday","16","16","0","","SGM313"
"","","","","Lab","50809R","001","4:00-5:50pm","Thursday","16","16","0","","SGM313"
"","","","","Quiz","50801R","001","TBA","TBA","128","128","0","","OFFICE"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","128","55","0","Vahe Peroomian","SLH200"
"","","","","Lab","50812R","001","10:00-11:50am","Tuesday","16","5","0","","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Wednesday","16","11","0","","SGM313"
"","","","","Lab","50814R","001","10:00-11:50am","Thursday","16","4","0","","SGM313"
"","","","","Lab","50815R","001","12:00-1:50pm","Tuesday","16","4","0","","SGM313"
"","","","","Lab","50816R","001","12:00-1:50pm","Wednesday","16","15","0","","SGM313"
"","","","","Lab","50817R","001","12:00-1:50pm","Thursday","16","1","0","","SGM313"
"","","","","Lab","50818R","001","2:00-3:50pm","Tuesday","16","13","0","","SGM313"
"","","","","Lab","50819R","001","2:00-3:50pm","Thursday","16","2","0","","SGM313"
"","","","","Quiz","50811R","001","TBA","TBA","128","55","0","","OFFICE"
"BISC-101Lxg","Cellular and Molecular Biology","","4.0 units","Lecture","13102R","001","3:30-4:50pm","Wed, Fri","60","13","0","Raffaella Ghittoni","ZHS159"
"","","","","Lab","13103R","001","11:00-12:50pm","Tuesday","20","4","0","","ZHS258"
"","","","","Lab","13105R","001","11:00-12:50pm","Friday","20","6","0","","ZHS258"
"","","","","Lab","13117R","001","2:00-3:50pm","Tuesday","20","3","0","","ZHS258"
"BISC-104Lxg","How the Body Works","","4.0 units","Lecture","13001R","001","1:00-1:50pm","MWF","120","17","0","Bruce Yazejian","THH102"
"","","","","Lab","13120R","001","10:00-11:50am","Tuesday","20","1","0","","ZHS372"
