b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","144","9","0","<a href="https://dornsife.usc.edu/cf/bisc/meb-faculty-profile.cfm?Person_ID=1016828">Carly Kenkel,</a><a href="https://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1003407">Dale Kiefer</a>","SAL101"
"","","","","Lab","13101R","001","8:00-9:50am","Wednesday","16","1","0","","ZHS257"
"","","","","Lab","13104R","001","10:00-11:50am","Wednesday","16","2","0","","ZHS257"
"","","","","Lab","13106R","001","2:00-3:50pm","Tuesday","16","2","0","","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","16","0","0","","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","16","2","0","","ZHS257"
"","","","","Lab","13109R","001","2:00-3:50pm","Thursday","16","0","0","","ZHS257"
"","","","","Lab","13111R","001","4:00-5:50pm","Tuesday","16","1","0","","ZHS257"
"","","","","Lab","13112R","001","12:00-1:50pm","Wednesday","16","1","0","","ZHS257"
"","","","","Lab","13113R","001","2:00-3:50pm","Wednesday","16","0","0","","ZHS257"
"BISC-150Lxg","The Nature of Human Health and Disease","","4.0 units","Lecture","13007R","001","9:30-10:50am","Tue, Thu","108","17","0","<a href="https://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1043738">Oliver Rizk,</a><a href="https://dornsife.usc.edu/cf/faculty-and-staff/faculty.cfm?pid=1056426">Raffaella Ghittoni</a>","ZHS159"
"","","","","Lab","13213R","001","10:00-11:50am","Wednesday","14","0","0","","ZHS458"
"","","","","Lab","13214R","001","10:00-11:50am","Monday","18","1","0","","ZHS458"
"","","","","Lab","13215R","001","12:00-1:50pm","Monday","18","2","0","","ZHS458"
"","","","","Lab","13216R","001","12:00-1:50pm","Tuesday","18","5","0","","ZHS458"
"","","","","Lab","13220R","001","2:00-3:50pm","Monday","18","7","0","","ZHS458"
"","","","","Lab","13221R","001","2:00-3:50pm","Tuesday","18","2","0","","ZHS458"
"BISC-230Lxg","The Biology of the Brain","","4.0 units","Lecture","13250R","001","12:00-12:50pm","MWF","60","5","0","Bruce Yazejian","ZHS252"
"","","","","Lab","13253R","001","10:00-11:50am","Monday","20","2","0","","ZHS372"
"","","","","Lab","13254R","001","10:00-11:50am","Friday","20","3","0","","ZHS372"
"","","","","Lab","13256R","001","3:00-4:50pm","Friday","20","0","0","","ZHS372"
