b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SCOR-403","Introduction to Scoring Movies and Television","P","2.0 units","Lecture","42301D","001","10:00-11:50am","Monday","16","1","0","Eric Schmidt","TMC G150"
"SCOR-490","Directed Research","C","1.0-8.0 units, max 12","Lecture","42310D","001","TBA","TBA","10","0","0","Daniel Carlin","TMC118"
"SCOR-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Screen Scoring","","1.0-2.0","Lecture","42320D","001","TBA","TBA","10","0","0","Daniel Carlin","TMC118"
"SCOR-502","Individual Instruction in Advanced Screen Scoring","","1.0-2.0 units, max 4","Lecture","42323D","001","TBA","TBA","20","0","0","Daniel Carlin","TMC118"
"","","","","Lab","42324D","001","2:20-3:50pm","Wednesday","20","0","0","Daniel Carlin,<br /><a href="https://music.usc.edu/jon-burlingame/">Jon Burlingame</a>","TMC AUD"
"SCOR-503a","Advanced Scoring for Motion Pictures and Television","","2.0 units","Lecture","42326D","001","10:00-11:50am","Tuesday","20","0","0","Eric Schmidt","TMC AUD"
"SCOR-504a","Orchestral Scoring","","2.0 units","Lecture","42332D","001","10:00-11:50am","Monday","20","0","0","Bruce Broughton","TMC AUD"
"SCOR-505a","Advanced Game Scoring and Integration","","2.0 units","Lecture","42338D","001","12:30-2:20pm","Thursday","20","0","0","Garry Schyman","TMC G150"
"SCOR-511a","History of Film Scoring","","2.0 units","Lecture","42351D","001","12:00-1:50pm","Wednesday","20","0","0","Jon Burlingame","TMC G150"
"SCOR-512","Entrepreneurialism for the Screen Composer","","2.0 units","Lecture","42357D","001","6:00-7:50pm","Wednesday","20","0","0","Richard Mc Ilvery","TMC G150"
"SCOR-521a","Recording, Mixing and Editing for the Screen Composer","","2.0 units","Lecture","42365D","001","10:00-11:50am","Wednesday","20","0","0","Richard Mc Ilvery","TMC G147"
"SCOR-523a","Advanced Screen Scoring Technology","","2.0 units","Lecture","42373D","001","10:00-11:50am","Thursday","20","0","0","Patrick Kirst","TMC G147"
"SCOR-590","Directed Research","","1.0-12.0 units","Lecture","42385D","001","TBA","TBA","10","0","0","Daniel Carlin","TMC118"
"SCOR-790","Research","","1.0-12.0 units","Lecture","42397D","001","TBA","TBA","10","0","0","Daniel Carlin","TMC118"
'
