b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SCRM-511","Developmental Biology and Human Embryology","M","4.0 units","Lecture","41600R","046","TBA","Tuesday","45","1","0","<a href="http://pibbs.usc.edu/faculty/profile/?fid=359">Francesca Mariani,</a>Robert Maxson","BCC101, BCC101"
"SCRM-513","Stem Cells and Regenerative Medicine","M","4.0 units","Lecture","41601R","046","TBA","Monday","45","1","0","Qilong Ying","BCC101, BCC101"
"SCRM-555","Writing About Stem Cell Biology and Regenerative Medicine","M","1.0 unit","Lecture","41605R","046","3:00-4:50pm","Monday","45","1","0","<a href="https://news.usc.edu/author/cristy-lytal/">Cristy Lytal,</a><a href="http://rodgerslab.usc.edu/">Joseph Rodgers</a>","BCC101"
"SCRM-574","Stem Cell and Developmental Biology Seminar Series","","1.0 units, max 10","Lecture","40127D","046","12:00-12:50pm","Friday","75","0","0","","TBA"
"","For master\'s students only","","1.0","Lecture","40128R","046","12:00-12:50pm","Friday","50","3","0","Francesca Mariani",""
"SCRM-580","SCRM External Speaker Seminar Series","M","2.0 units, max 8","Lecture-Discussion","41602R","046","11:00-12:50pm","Tuesday","45","1","0","Giorgia Quadrato","BCC101"
"SCRM-590","Independent Research","PM","1.0-4.0 units, max 16","Lecture-Lab","41645D","046","TBA","TBA","10","0","0","","OFFICE"
"SCRM-620","Current Topics in Stem Cell Biology and Organogenesis","","1.0 units, max 12"
"","For PhD students only","","1.0","Lecture","40129D","046","3:00-3:50pm","Wednesday","25","0","0","",""
"","For master\'s students only","","1.0","Lecture","40136D","046","TBA","Wednesday","45","0","0","Francesca Mariani","BCC101"
'
