b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-255g","Culture Wars: Art and Social Conflict in the Modern World","","4.0 units","Lecture","11888R","001","9:30-10:50am","Tue, Thu","100","7","0","Suzanne Hudson","SOSB2"
"","","","","Discussion","11889R","001","12:00-12:50pm","Friday","22","2","0","","VKC157"
"","","","","Discussion","11890R","001","1:00-1:50pm","Friday","25","1","0","","VKC206"
"","","","","Discussion","11891R","001","10:00-10:50am","Friday","22","1","0","","WPH205"
"","","","","Discussion","11892R","001","11:00-11:50am","Friday","22","3","0","","VKC157"
"AMST-101mgw","Race and Class in Los Angeles","","4.0 units","Lecture","10310R","001","12:30-1:50pm","Tue, Thu","20","20","0","Natalia Molina","THH301"
"","","","","Discussion","10311R","001","12:00-12:50pm","Wednesday","25","4","0","","WPHB26"
"","","","","Discussion","10312R","001","1:00-1:50pm","Thursday","25","0","0","",""
"","","","","Discussion","10313R","001","9:00-9:50am","Wednesday","25","5","0","","THH B10"
"","","","","Discussion","10314R","001","10:00-10:50am","Wednesday","25","9","0","","SOSB48"
"","","","","Discussion","10315R","001","10:00-10:50am","Friday","25","1","0","","WPH107"
"","","","","Discussion","10316R","001","9:00-9:50am","Friday","25","1","0","","WPH107"
"AMST-252mgw","Black Social Movements in the U.S.","","4.0 units","Lecture","10381R","001","12:00-1:50pm","Mon, Wed","12","12","0","Francille Wilson","THH202"
"","","","","Discussion","10382R","001","9:00-9:50am","Thursday","25","4","0","","THH110"
"","","","","Discussion","10387R","001","11:00-11:50am","Tuesday","25","8","0","","SOSB48"
"AMST-274mgw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","150","13","0","","THH201"
"","","","","Discussion","10391R","001","10:00-10:50am","Wednesday","25","3","0","","SOSB52"
"","","","","Discussion","10392R","001","12:00-12:50pm","Monday","25","3","0","","THHB10"
"","","","","Discussion","10393R","001","11:00-11:50am","Wednesday","26","2","0","","SOSB52"
"","","","","Discussion","10394R","001","4:00-4:50pm","Monday","25","2","0","","VKC155"
"","","","","Discussion","10395R","001","4:00-4:50pm","Wednesday","25","3","0","","SOSB48"
"","","","","Discussion","10396R","001","5:00-5:50pm","Wednesday","26","0","0","","SOSB48"
"ENST-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","2:00-3:20pm","Tue, Thu","75","51","0","Robert English","THH208"
"","","","","Lecture","33006R","001","11:00-12:20pm","Tue, Thu","75","3","0","Douglas Becker","SOS B46"
"","","","","Discussion","33007R","001","4:00-4:50pm","Thursday","25","5","0","","VKC157"
"","","","","Discussion","33008R","001","5:00-5:50pm","Thursday","25","1","0","","VKC155"
"","","","","Discussion","33009R","001","4:00-4:50pm","Tuesday","25","25","0","","VKC154"
"","","","","Discussion","33010R","001","5:00-5:50pm","Tuesday","25","5","0","","VKC154"
"","","","","Discussion","33011R","001","4:00-4:50pm","Wednesday","25","15","0","","VKC155"
"","","","","Discussion","33012R","001","5:00-5:50pm","Wednesday","25","3","0","","VKC155"
"HIST-225g","Film, Power, and American History","","4.0 units","Lecture","36991R","001","10:00-11:50am","Mon, Wed","100","21","0","Steve Ross","THH202"
"","","","","Discussion","36992R","001","9:00-9:50am","Friday","25","4","0","","THH115"
"","","","","Discussion","36993R","001","10:00-10:50am","Friday","25","7","0","","THH115"
"","","","","Discussion","36994R","001","11:00-11:50am","Friday","25","4","0","","VKC106"
"","","","","Discussion","36995R","001","12:00-12:50pm","Friday","25","6","0","","VKC206"
"HIST-240gp","History of California","","4.0 units","Lecture","37040R","001","11:00-12:20pm","Tue, Thu","40","40","0","William Deverell","THH301"
"","","","","Discussion","37033R","001","9:00-9:50am","Friday","25","12","0","","THH203"
"","","","","Discussion","37034R","001","10:00-10:50am","Friday","25","10","0","","WPH201"
"","","","","Discussion","37035R","001","11:00-11:50am","Friday","25","16","0","","THH214"
"","","","","Discussion","37036R","001","9:00-9:50am","Friday","25","2","0","","THH B9"
"IR-101xgw","International Relations","","4.0 units","Lecture","37710R","001","3:30-4:50pm","Tue, Thu","20","20","0","Wayne Sandholtz","THH201"
"","","","","Discussion","37711R","001","1:00-1:50pm","Monday","25","2","0","","VKC154"
"","","","","Discussion","37712R","001","10:00-10:50am","Monday","25","10","0","","VKC155"
"","","","","Discussion","37713R","001","10:00-10:50am","Friday","25","4","0","","VKC154"
"","","","","Discussion","37714R","001","10:00-10:50am","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","37715R","001","1:00-1:50pm","Wednesday","25","2","0","","VKC109"
"","","","","Discussion","37716R","001","1:00-1:50pm","Friday","25","2","0","","VKC158"
"JS-211gw","The Holocaust","","4.0 units","Lecture","38255R","001","12:30-1:50pm","Tue, Thu","20","20","0","Sharon Gillerman,<br />Leah Hochman","MRF340"
"","","","","Discussion","38256R","001","4:00-4:50pm","Tuesday","25","9","0","","THHB10"
"","","","","Discussion","38257R","001","4:00-4:50pm","Wednesday","25","4","0","","WPHB26"
"","","","","Discussion","38258R","001","3:00-3:50pm","Tuesday","25","6","0","","THH217"
"","","","","Discussion","38259R","001","3:00-3:50pm","Thursday","25","1","0","","VKC109"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","9:30-10:50am","Tue, Thu","20","20","0","Andrew Simpson","GFS106"
"","","","","Discussion","38813R","001","11:00-11:50am","Monday","20","8","0","","GFS213"
"","","","","Discussion","38814R","001","9:00-9:50am","Monday","20","2","0","","KAP113"
"","","","","Discussion","38815R","001","10:00-10:50am","Monday","20","1","0","","KAP137"
"","","","","Discussion","38816R","001","8:00-8:50am","Monday","20","1","0","","GFS213"
"","","","","Discussion","38817R","001","9:00-9:50am","Monday","20","3","0","","GFS213"
"","","","","Discussion","38819R","001","10:00-10:50am","Monday","20","5","0","","GFS213"
"","","","","Lecture","38837R","001","12:30-1:50pm","Tue, Thu","20","20","0","Andrew Simpson","SAL101"
"","","","","Discussion","38844R","001","11:00-11:50am","Friday","20","11","0","","GFS213"
"","","","","Discussion","38846R","001","9:00-9:50am","Friday","20","1","0","","KAP113"
"","","","","Discussion","38848R","001","10:00-10:50am","Friday","20","8","0","","GFS210"
"","","","","Discussion","38850R","001","8:00-8:50am","Friday","20","0","0","","GFS213"
"","","","","Discussion","38922R","001","9:00-9:50am","Friday","20","0","0","","GFS210"
"","","","","Discussion","38924R","001","10:00-10:50am","Friday","20","0","0","","GFS213"
"POSC-130g","Law, Politics and Public Policy","","4.0 units","Lecture","51920R","001","2:00-3:20pm","Tue, Thu","40","40","0","Jeb Barnes","SGM124"
"","","","","Discussion","51921R","001","11:00-11:50am","Tuesday","26","6","0","","SOSB41"
"","","","","Discussion","51922R","001","1:00-1:50pm","Tuesday","25","6","0","","VKC209"
"","","","","Discussion","51923R","001","4:00-4:50pm","Tuesday","25","4","0","","VKC157"
"","","","","Discussion","51924R","001","1:00-1:50pm","Wednesday","25","9","0","","WPHB26"
"","","","","Discussion","51925R","001","10:00-10:50am","Thursday","25","7","0","","SOSB47"
"","","","","Discussion","51926R","001","1:00-1:50pm","Thursday","25","5","0","","VKC209"
"","","","","Discussion","51927R","001","4:00-4:50pm","Thursday","26","0","0","","THHB9"
"","","","","Discussion","51928R","001","12:00-12:50pm","Friday","25","3","0","","VKC158"
"POSC-265gw","Environmental Challenges","","4.0 units","Lecture","51940R","001","2:00-3:20pm","Mon, Wed","20","20","0","Jefferey Sellers","THH102"
"","","","","Discussion","51941R","001","1:00-1:50pm","Monday","26","6","0","","THHB10"
"","","","","Discussion","51942R","001","1:00-1:50pm","Wednesday","26","3","0","","VKC158"
"","","","","Discussion","51943R","001","3:30-4:20pm","Monday","25","8","0","","THHB10"
"","","","","Discussion","51944R","001","3:30-4:20pm","Wednesday","26","3","0","","THHB10"
"SOCI-155mg","Immigrant America","","4.0 units","Lecture","61425R","001","12:30-1:50pm","Tue, Thu","20","20","0","Jody Agius Vallejo","HAR101"
"","","","","Discussion","61426R","001","5:00-5:50pm","Wednesday","25","10","0","","VKC157"
"","","","","Discussion","61427R","001","8:00-8:50am","Tuesday","25","4","0","","VKC210"
"","","","","Discussion","61428R","001","12:00-12:50pm","Friday","25","3","0","","VKC210"
"","","","","Discussion","61429R","001","11:00-11:50am","Friday","25","3","0","","VKC210"
"SOCI-169mg","Changing Family Forms","","4.0 units","Lecture","61430R","001","8:30-9:50am","Mon, Wed","20","20","0","Tim Biblarz","THH201"
"","","","","Discussion","61431R","001","12:00-12:50pm","Monday","25","7","0","","WPHB26"
"","","","","Discussion","61432R","001","1:00-1:50pm","Monday","25","8","0","","WPHB26"
"","","","","Discussion","61433R","001","12:00-12:50pm","Friday","25","3","0","","THH121"
"","","","","Discussion","61434R","001","1:00-1:50pm","Friday","25","2","0","","THH121"
"SOCI-210g","Science, Technology, and Social Conflict","","4.0 units","Lecture","61445R","001","3:30-4:50pm","Mon, Wed","20","20","0","Dan Lainer-Vos","THH102"
"","","","","Discussion","61446R","001","8:00-8:50am","Wednesday","25","1","0","","VKC155"
"","","","","Discussion","61447R","001","12:00-12:50pm","Monday","25","7","0","","THH B9"
"","","","","Discussion","61448R","001","10:00-10:50am","Wednesday","25","5","0","","VKC105"
"","","","","Discussion","61449R","001","11:00-11:50am","Wednesday","25","7","0","","VKC105"
"SOCI-242g","Sociology, Demography, and Health","P","4.0 units","Lecture","61540R","001","12:30-1:50pm","Tue, Thu","80","42","0","Juliana Mc Gene","SLH100"
"","","","","Discussion","61541R","001","8:00-8:50am","Friday","20","5","0","","THH113"
"","","","","Discussion","61542R","001","10:00-10:50am","Friday","20","20","0","","THH113"
"","","","","Discussion","61543R","001","11:00-11:50am","Friday","20","11","0","","THH117"
"","","","","Discussion","61581R","001","1:00-1:50pm","Friday","20","6","0","","VKC151"
"SSCI-165Lgw","Sustainability Science in the City","","4.0 units","Lecture","35628R","001","11:00-11:50am","MWF","120","72","0","Robert Vos","SLH200"
"","","","","Lab","35629R","001","4:00-5:50pm","Monday","20","15","0","","AHF145A"
"","","","","Lab","35630R","001","12:00-1:50pm","Wednesday","20","20","0","","AHF145A"
"","","","","Lab","35631R","001","4:00-5:50pm","Wednesday","20","10","0","","AHF145A"
"","","","","Lab","35632R","001","4:00-5:50pm","Friday","20","1","0","","AHF145A"
"","","","","Lab","35633R","001","2:00-3:50pm","Thursday","20","15","0","","AHF145A"
