b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SLL-110g","Russia in the Modern Era","","4.0 units","Lecture","60200R","001","3:30-4:50pm","Tue, Thu","100","4","0","Greta Matzner-Gore","WPHB27"
"","","","","Discussion","60290R","001","9:00-9:50am","Friday","25","0","0","","THH214"
"","","","","Discussion","60292R","001","10:00-10:50am","Friday","25","3","0","","THH214"
"","","","","Discussion","60294R","001","11:00-11:50am","Friday","25","1","0","","WPH101"
"","","","","Discussion","60296R","001","12:00-12:50pm","Friday","25","0","0","","WPH101"
"SLL-199","Chess and Critical Thinking","","2.0 units","Lecture","60212R","001","5:00-6:50pm","Tuesday","25","5","0","Jack Peters","THH214"
"","","","","Lecture","60214R","001","5:00-6:50pm","Thursday","25","1","0","Jack Peters","VKC206"
"SLL-299","Chess - Advanced Thinking Techniques","P","2.0 units","Lecture","60222D","001","2:00-3:50pm","Thursday","12","0","0","Jack Peters","SOSB50"
"SLL-330gp","Russian Thought and Civilization","","4.0 units","Discussion","60288R","001","9:00-9:50am","Friday","25","3","0","","WPHB30"
"","","","","Discussion","60298R","001","10:00-10:50am","Friday","25","5","0","",""
"","","","","Lecture","60228R","001","8:30-9:50am","Mon, Wed","49","8","0","Sally Pratt","VKC156"
"SLL-340","Intercultural Communication in Russian","P","4.0 units","Lecture","60230D","001","12:00-1:50pm","Mon, Wed","15","0","0","Tatiana Akishina","THH109"
"SLL-345g","Literature and Philosophy: Dostoevsky","","4.0 units","Lecture","60234D","001","12:30-1:50pm","Tue, Thu","19","13","0","Greta Matzner-Gore","THH214"
"SLL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60236D","001","TBA","TBA","8","0","0","","OFFICE"
"SLL-500","Topics in Advanced Russian","","2.0 units, max 8","Lecture","60240D","001","TBA","Tuesday","6","0","0","Tatiana Akishina","OFFICE"
"SLL-501","Proseminar in Russian Literature","","3.0 units","Lecture","60244D","001","2:00-4:50pm","Wednesday","8","0","0","","WPH204"
"SLL-512","History of the Russian Language","","3.0 units","Lecture","60246D","001","2:00-4:50pm","Thursday","10","0","0","","WPH603"
"SLL-532","18th Century Russian Literature","","3.0 units","Lecture","60250D","001","2:00-4:50pm","Tuesday","10","0","0","Kelsey Rubin-Detlev","WPH603"
"SLL-590","Directed Research","","1.0-12.0 units","Lecture","60256D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-790","Research","","1.0-12.0 units","Lecture","60276D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794a","Doctoral Dissertation","","2.0 units","Lecture","60278D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794b","Doctoral Dissertation","P","2.0 units","Lecture","60280D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794c","Doctoral Dissertation","P","2.0 units","Lecture","60282D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794d","Doctoral Dissertation","P","2.0 units","Lecture","60284D","001","TBA","TBA","5","1","0","","OFFICE"
"SLL-794z","Doctoral Dissertation","P","0.0 units","Lecture","60286D","001","TBA","TBA","10","0","0","","OFFICE"
'
