b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOCI-155mg","Immigrant America","","4.0 units","Lecture","61425R","001","12:30-1:50pm","Tue, Thu","20","20","0","Jody Agius Vallejo","HAR101"
"","","","","Discussion","61426R","001","5:00-5:50pm","Wednesday","25","10","0","","VKC157"
"","","","","Discussion","61427R","001","8:00-8:50am","Tuesday","25","4","0","","VKC210"
"","","","","Discussion","61428R","001","12:00-12:50pm","Friday","25","3","0","","VKC210"
"","","","","Discussion","61429R","001","11:00-11:50am","Friday","25","3","0","","VKC210"
"SOCI-169mg","Changing Family Forms","","4.0 units","Lecture","61430R","001","8:30-9:50am","Mon, Wed","20","20","0","Tim Biblarz","THH201"
"","","","","Discussion","61431R","001","12:00-12:50pm","Monday","25","7","0","","WPHB26"
"","","","","Discussion","61432R","001","1:00-1:50pm","Monday","25","8","0","","WPHB26"
"","","","","Discussion","61433R","001","12:00-12:50pm","Friday","25","3","0","","THH121"
"","","","","Discussion","61434R","001","1:00-1:50pm","Friday","25","2","0","","THH121"
"SOCI-200mg","Introduction to Sociology","","4.0 units","Lecture","61440R","001","11:00-12:20pm","Tue, Thu","50","50","0","Juliana Mc Gene","MRF340"
"","","","","Discussion","61441R","001","12:00-12:50pm","Monday","25","19","0","","VKC258"
"","","","","Discussion","61442R","001","1:00-1:50pm","Monday","25","14","0","","VKC258"
"","","","","Discussion","61443R","001","8:00-8:50am","Wednesday","25","2","0","","VKC105"
"","","","","Discussion","61444R","001","9:00-9:50am","Wednesday","25","15","0","","VKC105"
"SOCI-210g","Science, Technology, and Social Conflict","","4.0 units","Lecture","61445R","001","3:30-4:50pm","Mon, Wed","20","20","0","Dan Lainer-Vos","THH102"
"","","","","Discussion","61446R","001","8:00-8:50am","Wednesday","25","1","0","","VKC155"
"","","","","Discussion","61447R","001","12:00-12:50pm","Monday","25","7","0","","THH B9"
"","","","","Discussion","61448R","001","10:00-10:50am","Wednesday","25","5","0","","VKC105"
"","","","","Discussion","61449R","001","11:00-11:50am","Wednesday","25","7","0","","VKC105"
"SOCI-215g","Sociology of Wall Street","","4.0 units","Lecture","61450R","001","3:30-4:50pm","Tue, Thu","20","20","0","Dan Schrage","THH102"
"","","","","Discussion","61451R","001","1:00-1:50pm","Monday","25","1","0","","THH B9"
"","","","","Discussion","61452R","001","11:00-11:50am","Wednesday","25","8","0","","VKC155"
"","","","","Discussion","61453R","001","5:00-5:50pm","Wednesday","25","4","0","","VKC158"
"","","","","Discussion","61454R","001","1:00-1:50pm","Wednesday","25","7","0","","THHB9"
"SOCI-242g","Sociology, Demography, and Health","P","4.0 units","Lecture","61540R","001","12:30-1:50pm","Tue, Thu","80","42","0","Juliana Mc Gene","SLH100"
"","","","","Discussion","61541R","001","8:00-8:50am","Friday","20","5","0","","THH113"
"","","","","Discussion","61542R","001","10:00-10:50am","Friday","20","20","0","","THH113"
"","","","","Discussion","61543R","001","11:00-11:50am","Friday","20","11","0","","THH117"
"","","","","Discussion","61581R","001","1:00-1:50pm","Friday","20","6","0","","VKC151"
"SOCI-270g","Sociological Theory","P","4.0 units","Lecture","61511D","001","2:00-3:20pm","Mon, Wed","16","5","0","","VKC256"
"SOCI-305m","Sociology of Childhood","P","4.0 units","Lecture","61483D","001","2:00-3:20pm","Tue, Thu","16","14","0","Karen Sternheimer","WPH206"
"SOCI-310","Gender and Social Justice","P","4.0 units","Lecture","34922R","001","9:30-10:50am","Tue, Thu","25","11","0","Jane Junn","THH215"
"SOCI-313L","Sociological Research Methods","P","4.0 units","Lecture-Lab","61482D","001","2:00-3:20pm","Mon, Wed","15","2","0","Dan Lainer-Vos","WPH107"
"","","","","Lecture-Lab","61484D","001","9:30-10:50am","Tue, Thu","15","5","0","Karen Sternheimer","GFS210"
"SOCI-314Lg","Analyzing Social Statistics","P","4.0 units","Lecture-Lab","61485D","001","10:00-11:20am","Mon, Wed","15","11","0","Juliana Mc Gene","KAP305"
"","","","","Lecture-Lab","61487D","001","2:00-3:20pm","Mon, Wed","12","4","0","","KAP305"
"SOCI-325","Applied Social Research Methods","P","4.0 units","Lecture","61481R","001","5:00-6:20pm","Tue, Thu","19","8","0","Leland Saito","KAP305"
"SOCI-360m","Social Inequality: Class, Status, and Power","P","4.0 units","Lecture","61500D","001","8:00-9:20am","Tue, Thu","16","7","0","Karen Sternheimer","WPH107"
"SOCI-445","Political and Social Theory","","4.0 units, max 8","Lecture","61516R","001","9:30-10:50am","Tue, Thu","13","13","0","Dan Lainer-Vos","THH205"
"SOCI-450","Non-Governmental Organizations/Non-profits Field Practicum","P","4.0 units","Lecture","61545D","001","2:00-4:50pm","Thursday","10","4","0","Nina Eliasoph","SOSB51"
"SOCI-465","Visual Sociology of the City and Its Residents","P","4.0 units","Lecture","61504R","001","2:00-4:50pm","Thursday","19","9","0","Elaine Bell Kaplan","VKC151"
"SOCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","61530D","001","TBA","TBA","10","2","0","","OFFICE"
"","","","","Lecture","61532D","001","TBA","TBA","15","1","0","","OFFICE"
"SOCI-500","Sociology Professional Seminar","MC","2.0 units","Lecture","61600D","001","TBA","TBA","10","0","0","Ann Owens","HSH303"
"SOCI-510","Sociological Theory I","","4.0 units","Lecture","61550D","001","9:30-12:20pm","Tuesday","10","1","0","Nina Eliasoph","HSH303"
"SOCI-521L","Quantitative Methods and Statistics I","","4.0 units","Lecture-Lab","61555D","001","1:30-2:50pm","Tue, Thu","15","0","0","Dan Schrage","KAP305"
"SOCI-590","Directed Research","","1.0-12.0 units","Lecture","61604D","001","TBA","TBA","10","2","0","","OFFICE"
"","","","","Lecture","61606D","001","TBA","TBA","10","0","0","","TBA"
"SOCI-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","61610D","001","TBA","TBA","10","4","0","Ann Owens","HSH303"
"SOCI-620","Advanced Methods--Qualitative Research","P","4.0 units","Lecture","61571D","001","9:30-12:20pm","Thursday","15","2","0","Paul Lichterman","HSH303"
"SOCI-654","Social Movements","","4.0 units","Lecture","61599D","001","9:00-11:50am","Wednesday","15","1","0","Hajar Yazdiha","HSH303"
"SOCI-655","Seminar in Race Relations","","4.0 units","Lecture","61650D","001","TBA","TBA","10","4","0","Leland Saito","HSH303"
"SOCI-790","Research","","1.0-12.0 units","Lecture","61662D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794a","Doctoral Dissertation","","2.0 units","Lecture","61666D","001","TBA","TBA","20","1","0","","OFFICE"
"SOCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","61667D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","61668D","001","TBA","TBA","10","1","0","","OFFICE"
"SOCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","61669D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794z","Doctoral Dissertation","P","0.0 units","Lecture","61670D","001","TBA","TBA","25","5","0","","OFFICE"
'
