b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOWK-350","Adolescent Gang Intervention","","4.0 units","Lecture","60401R","001","4:00-5:50pm","Mon, Wed","30","17","0","Raymundo Zacarias","MRF229"
"SOWK-702","Theories of Human Behavior in the Contexts of Social Environments","","3.0 units","Lecture","60644D","001","1:00-3:50pm","Thursday","10","0","0","Maria Aranda","SWC108"
"SOWK-703","Explanatory Theories for Larger Social Systems","","3.0 units","Lecture","60645D","001","1:00-3:50pm","Tuesday","10","0","0","Carl Castro","MRF303"
"SOWK-733","Policy Analysis and Advocacy in a Comparative Social Policy Context","","3.0 units","Lecture","60646D","001","8:00-10:50am","Tuesday","10","0","0","Daniel Hackman","SWC108"
"SOWK-761L","Multiple Regression for Social Work Research","","3.0 units","Lecture","60501D","001","8:00-10:50am","Wednesday","10","0","0","Jungeun Olivia Lee","MRF204, CITY E"
"SOWK-762","Social Work Research Methods I","C","3.0 units","Lecture","60650D","001","8:00-10:50am","Thursday","10","0","0","Jordan Davis","SWC118"
"SOWK-763","Social Work Research Methods II: Issues in Research for Social Work Practice","P","3.0 units","Lecture","60502D","001","1:00-3:50pm","Tuesday","10","0","0","Shinyi Wu","SWC118"
"SOWK-764","Advanced Multivariate Statistics","","3.0 units","Lecture","60647D","001","2:00-4:50pm","Wednesday","10","5","0","Michael Hurlburt","CITY A"
"SOWK-790","Research","","1.0-12.0 units","Lecture","60483D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60491D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60649D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60653D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60654D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60655D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60656D","001","TBA","TBA","10","0","0","","OFFICE"
"SOWK-794a","Doctoral Dissertation","","2.0 units","Lecture","60658D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","60659D","001","TBA","TBA","10","0","0","","OFFICE"
"SOWK-794b","Doctoral Dissertation","P","2.0 units","Lecture","60660D","001","TBA","TBA","10","0","0","","OFFICE"
"SOWK-794c","Doctoral Dissertation","P","2.0 units","Lecture","60661D","001","TBA","TBA","10","0","0","","OFFICE"
"SOWK-794d","Doctoral Dissertation","P","2.0 units","Lecture","60662D","001","TBA","TBA","10","0","0","","OFFICE"
"SOWK-794z","Doctoral Dissertation","P","0.0 units","Lecture","60701D","001","TBA","TBA","10","0","0","","OFFICE"
'
